From,To,Distance_km,From_latlon,To_latlon
South Ambient DC,South Ambient DC,0.0,"10.89750, 106.75110","10.89750, 106.75110"
South Ambient DC,MM AN PHU,11.8,"10.89750, 106.75110","10.79142, 106.74578"
South Ambient DC,MM BIEN HOA,9.3,"10.89750, 106.75110","10.95592, 106.81199"
South Ambient DC,MM BINH DUONG,14.2,"10.89750, 106.75110","10.98040, 106.65190"
South Ambient DC,MM BINH PHU,21.3,"10.89750, 106.75110","10.74533, 106.63228"
South Ambient DC,MM BUON MA THUOT,246.4,"10.89750, 106.75110","12.69771, 108.07174"
South Ambient DC,MM DA NANG,596.5,"10.89750, 106.75110","16.06778, 108.22083"
South Ambient DC,MM HA DONG,1124.5,"10.89750, 106.75110","20.96653, 105.77482"
South Ambient DC,MM HA LONG,1119.6,"10.89750, 106.75110","20.95880, 107.15422"
South Ambient DC,MM HIEP PHU,12.4,"10.89750, 106.75110","10.86690, 106.64185"
South Ambient DC,MM HOANG MAI,1123.4,"10.89750, 106.75110","20.96410, 105.85900"
South Ambient DC,MM HONG BANG,1108.3,"10.89750, 106.75110","20.86481, 106.68345"
South Ambient DC,MM HUNG LOI,145.6,"10.89750, 106.75110","10.01717, 105.76537"
South Ambient DC,MM LONG XUYEN,154.2,"10.89750, 106.75110","10.37043, 105.44585"
South Ambient DC,MM NHA TRANG,300.1,"10.89750, 106.75110","12.25744, 109.13105"
South Ambient DC,MM QUY NHON,414.4,"10.89750, 106.75110","13.74464, 109.21225"
South Ambient DC,MM RACH GIA,207.5,"10.89750, 106.75110","10.01250, 105.08090"
South Ambient DC,MM THANG LONG,1134.1,"10.89750, 106.75110","21.05450, 105.78230"
South Ambient DC,MM THANH XUAN,1127.1,"10.89750, 106.75110","20.99585, 105.84034"
South Ambient DC,MM VINH,870.8,"10.89750, 106.75110","18.66290, 105.70407"
South Ambient DC,MM VUNG TAU,71.3,"10.89750, 106.75110","10.34599, 107.08426"
MM AN PHU,South Ambient DC,11.8,"10.79142, 106.74578","10.89750, 106.75110"
MM AN PHU,MM AN PHU,0.0,"10.79142, 106.74578","10.79142, 106.74578"
MM AN PHU,MM BIEN HOA,19.7,"10.79142, 106.74578","10.95592, 106.81199"
MM AN PHU,MM BINH DUONG,23.4,"10.79142, 106.74578","10.98040, 106.65190"
MM AN PHU,MM BINH PHU,13.4,"10.79142, 106.74578","10.74533, 106.63228"
MM AN PHU,MM BUON MA THUOT,256.5,"10.79142, 106.74578","12.69771, 108.07174"
MM AN PHU,MM DA NANG,608.0,"10.79142, 106.74578","16.06778, 108.22083"
MM AN PHU,MM HA DONG,1136.2,"10.79142, 106.74578","20.96653, 105.77482"
MM AN PHU,MM HA LONG,1131.4,"10.79142, 106.74578","20.95880, 107.15422"
MM AN PHU,MM HIEP PHU,14.1,"10.79142, 106.74578","10.86690, 106.64185"
MM AN PHU,MM HOANG MAI,1135.1,"10.79142, 106.74578","20.96410, 105.85900"
MM AN PHU,MM HONG BANG,1120.1,"10.79142, 106.74578","20.86481, 106.68345"
MM AN PHU,MM HUNG LOI,137.5,"10.79142, 106.74578","10.01717, 105.76537"
MM AN PHU,MM LONG XUYEN,149.6,"10.79142, 106.74578","10.37043, 105.44585"
MM AN PHU,MM NHA TRANG,306.8,"10.79142, 106.74578","12.25744, 109.13105"
MM AN PHU,MM QUY NHON,423.8,"10.79142, 106.74578","13.74464, 109.21225"
MM AN PHU,MM RACH GIA,201.6,"10.79142, 106.74578","10.01250, 105.08090"
MM AN PHU,MM THANG LONG,1145.8,"10.79142, 106.74578","21.05450, 105.78230"
MM AN PHU,MM THANH XUAN,1138.8,"10.79142, 106.74578","20.99585, 105.84034"
MM AN PHU,MM VINH,882.4,"10.79142, 106.74578","18.66290, 105.70407"
MM AN PHU,MM VUNG TAU,61.8,"10.79142, 106.74578","10.34599, 107.08426"
MM BIEN HOA,South Ambient DC,9.3,"10.95592, 106.81199","10.89750, 106.75110"
MM BIEN HOA,MM AN PHU,19.7,"10.95592, 106.81199","10.79142, 106.74578"
MM BIEN HOA,MM BIEN HOA,0.0,"10.95592, 106.81199","10.95592, 106.81199"
MM BIEN HOA,MM BINH DUONG,17.7,"10.95592, 106.81199","10.98040, 106.65190"
MM BIEN HOA,MM BINH PHU,30.6,"10.95592, 106.81199","10.74533, 106.63228"
MM BIEN HOA,MM BUON MA THUOT,237.3,"10.95592, 106.81199","12.69771, 108.07174"
MM BIEN HOA,MM DA NANG,588.5,"10.95592, 106.81199","16.06778, 108.22083"
MM BIEN HOA,MM HA DONG,1118.6,"10.95592, 106.81199","20.96653, 105.77482"
MM BIEN HOA,MM HA LONG,1112.9,"10.95592, 106.81199","20.95880, 107.15422"
MM BIEN HOA,MM HIEP PHU,21.0,"10.95592, 106.81199","10.86690, 106.64185"
MM BIEN HOA,MM HOANG MAI,1117.5,"10.95592, 106.81199","20.96410, 105.85900"
