Node,South Ambient DC,MM AN PHU,MM BIEN HOA,MM BINH DUONG,MM BINH PHU,MM BUON MA THUOT,MM DA NANG,MM HA DONG,MM HA LONG,MM HIEP PHU,MM HOANG MAI,MM HONG BANG,MM HUNG LOI,MM LONG XUYEN,MM NHA TRANG,MM QUY NHON,MM RACH GIA,MM THANG LONG,MM THANH XUAN,MM VINH,MM VUNG TAU
South Ambient DC,0.0,11.8,9.3,14.2,21.3,246.4,596.5,1124.5,1119.6,12.4,1123.4,1108.3,145.6,154.2,300.1,414.4,207.5,1134.1,1127.1,870.8,71.3
MM AN PHU,11.8,0.0,19.7,23.4,13.4,256.5,608.0,1136.2,1131.4,14.1,1135.1,1120.1,137.5,149.6,306.8,423.8,201.6,1145.8,1138.8,882.4,61.8
MM BIEN HOA,9.3,19.7,0.0,17.7,30.6,237.3,588.5,1118.6,1112.9,21.0,1117.5,1101.9,154.9,162.9,291.1,405.1,216.4,1128.3,1121.2,865.2,74.1
MM BINH DUONG,14.2,23.4,17.7,0.0,26.2,245.6,590.6,1114.3,1110.8,12.7,1113.4,1099.1,144.5,148.2,305.1,414.5,202.7,1124.0,1117.0,860.3,84.9
MM BINH PHU,21.3,13.4,30.6,26.2,0.0,267.7,616.2,1140.2,1137.1,13.6,1139.3,1125.2,124.7,136.2,320.0,435.7,188.2,1149.9,1142.9,886.0,66.4
MM BUON MA THUOT,246.4,256.5,237.3,245.6,267.7,0.0,375.1,951.3,923.8,256.3,948.8,920.1,389.9,385.7,125.0,169.7,442.1,960.6,952.7,710.0,282.8
MM DA NANG,596.5,608.0,588.5,590.6,616.2,375.1,0.0,602.6,555.4,603.0,598.7,557.5,723.4,701.1,434.9,279.4,754.3,611.1,602.7,393.2,648.0
MM HA DONG,1124.5,1136.2,1118.6,1114.3,1140.2,951.3,602.6,0.0,143.2,1126.8,8.7,95.1,1217.5,1178.8,1032.2,881.9,1220.3,9.8,7.5,256.3,1189.2
MM HA LONG,1119.6,1131.4,1112.9,1110.8,1137.1,923.8,555.4,143.2,0.0,1123.5,134.5,50.0,1225.7,1191.4,990.2,831.3,1237.2,142.8,136.5,297.0,1180.1
MM HIEP PHU,12.4,14.1,21.0,12.7,13.6,256.3,603.0,1126.8,1123.5,0.0,1125.9,1111.7,134.6,141.9,312.1,424.7,195.4,1136.5,1129.5,872.7,75.5
MM HOANG MAI,1123.4,1135.1,1117.5,1113.4,1139.3,948.8,598.7,8.7,134.5,1125.9,0.0,86.3,1217.3,1178.8,1028.9,878.0,1220.6,12.8,4.0,256.4,1187.9
MM HONG BANG,1108.3,1120.1,1101.9,1099.1,1125.2,920.1,557.5,95.1,50.0,1111.7,86.3,0.0,1210.2,1174.4,991.9,835.9,1218.8,95.9,88.8,265.4,1170.4
MM HUNG LOI,145.6,137.5,154.9,144.5,124.7,389.9,723.4,1217.5,1225.7,134.6,1217.3,1210.2,0.0,52.6,443.7,558.9,75.0,1227.3,1220.8,961.4,148.9
MM LONG XUYEN,154.2,149.6,162.9,148.2,136.2,385.7,701.1,1178.8,1191.4,141.9,1178.8,1174.4,52.6,0.0,453.3,555.4,56.4,1188.6,1182.2,922.5,179.2
MM NHA TRANG,300.1,306.8,291.1,305.1,320.0,125.0,434.9,1032.2,990.2,312.1,1028.9,991.9,443.7,453.3,0.0,165.6,507.5,1041.1,1032.8,801.3,308.2
MM QUY NHON,414.4,423.8,405.1,414.5,435.7,169.7,279.4,881.9,831.3,424.7,878.0,835.9,558.9,555.4,165.6,0.0,611.7,890.4,882.0,662.8,443.1
MM RACH GIA,207.5,201.6,216.4,202.7,188.2,442.1,754.3,1220.3,1237.2,195.4,1220.6,1218.8,75.0,56.4,507.5,611.7,0.0,1230.1,1224.0,964.2,222.4
MM THANG LONG,1134.1,1145.8,1128.3,1124.0,1149.9,960.6,611.1,9.8,142.8,1136.5,12.8,95.9,1227.3,1188.6,1041.1,890.4,1230.1,0.0,8.9,266.1,1198.8
MM THANH XUAN,1127.1,1138.8,1121.2,1117.0,1142.9,952.7,602.7,7.5,136.5,1129.5,4.0,88.8,1220.8,1182.2,1032.8,882.0,1224.0,8.9,0.0,259.8,1191.6
MM VINH,870.8,882.4,865.2,860.3,886.0,710.0,393.2,256.3,297.0,872.7,256.4,265.4,961.4,922.5,801.3,662.8,964.2,266.1,259.8,0.0,936.6
MM VUNG TAU,71.3,61.8,74.1,84.9,66.4,282.8,648.0,1189.2,1180.1,75.5,1187.9,1170.4,148.9,179.2,308.2,443.1,222.4,1198.8,1191.6,936.6,0.0
