Node,Type,MM address,Latitude,Longitude,Coordinate source URL,Address source URL,Notes
South Ambient DC,DC,"No. 10 Street, Song Than 1 Industrial Park, Di An City, Binh Duong Province",10.8975,106.7511,https://www.jcm.go.jp/projects/7/pdd_file,https://mmvietnam.com/en/our-branches/,Approximate coordinate in Song Than logistics area; used as proxy for South Ambient DC.
MM AN PHU,Store,"An Phu, An Khanh Ward, District 2, City. Ho Chi Minh",10.79142,106.74578,https://maps.apple.com/place?auid=8157081357354301768,https://mmvietnam.com/en/our-branches/,Used An Phu ward centroid from Apple Maps.
MM BIEN HOA,Store,"Nguyen Ai Quoc Street, Quang Vinh Ward, City. Bien Hoa",10.95592,106.81199,https://maps.apple.com/place?auid=14392993117456875631,https://mmvietnam.com/en/our-branches/,Used Quang Vinh ward centroid from Apple Maps.
MM BINH DUONG,Store,"Binh Duong Avenue, Phu Tho Ward, Thu Dau Mot Town",10.9804,106.6519,https://www.geodatos.net/en/coordinates/vietnam/thu-dau-mot,https://mmvietnam.com/en/our-branches/,Used Thu Dau Mot city coordinates as proxy for Phu Tho/Thu Dau Mot.
MM BINH PHU,Store,"Binh Phu, Ward 11, District 6, City. Ho Chi Minh",10.74533,106.63228,https://maps.apple.com/place?auid=4021337466395619617,https://mmvietnam.com/en/our-branches/,Used Ward 11 coordinates from Apple Maps.
MM BUON MA THUOT,Store,"Quarter 5, Dong Khoi Street, Tan An Ward, Buon Ma Thuoc City, Dak Lak Province",12.69771,108.07174,https://maps.apple.com/place?auid=4208857936976775914,https://mmvietnam.com/en/our-branches/,Used Tan An ward centroid from Apple Maps.
MM DA NANG,Store,"Cach Mang Thang 8 Street, Hoa Cuong Nam Ward, Hai Chau District, Danang City",16.06778,108.22083,https://www.geodatos.net/en/coordinates/vietnam/da-nang,https://mmvietnam.com/en/our-branches/,Used Da Nang city coordinates as proxy for Hoa Cuong Nam/Hai Chau.
MM HA DONG,Store,"To Hieu Street, Ha Cau Ward, Ha Dong District, Hanoi City",20.96653,105.77482,https://maps.apple.com/place?auid=11063401061142065821,https://mmvietnam.com/en/our-branches/,Used Ha Cau ward centroid from Apple Maps.
MM HA LONG,Store,"Vu Van Hieu Street, Ha Tu Ward, Ha Long City",20.9588,107.15422,https://maps.apple.com/place?auid=18191136719249794238,https://mmvietnam.com/en/our-branches/,Used Ha Tu ward centroid from Apple Maps.
MM HIEP PHU,Store,"Tan Thoi Hiep, Tan Thoi Hiep Ward, District 12, City. Ho Chi Minh",10.8669,106.64185,https://maps.apple.com/place?auid=7368299203696878941,https://mmvietnam.com/en/our-branches/,Used Tan Thoi Hiep ward centroid from Apple Maps.
MM HOANG MAI,Store,"Tam Trinh Street, Yen So Ward, Hoang Mai District, Hanoi City",20.9641,105.859,https://maps.apple.com/place?auid=7265145898113656498,https://mmvietnam.com/en/our-branches/,Used Yen So/Gamuda City coordinates as proxy for Yen So ward.
MM HONG BANG,Store,"2A, Hong Bang Street, So Dau Ward, Hong Bang District, Hai Phong City",20.86481,106.68345,https://www.geodatos.net/en/coordinates/vietnam,https://mmvietnam.com/en/our-branches/,Used Hai Phong city coordinates as proxy for So Dau/Hong Bang.
MM HUNG LOI,Store,"Highway 91B, Hung Loi Ward, Ninh Kieu District, City. Can Tho",10.01717,105.76537,https://maps.apple.com/place?auid=13689216621163133518,https://mmvietnam.com/en/our-branches/,Used Hung Loi ward centroid from Apple Maps.
MM LONG XUYEN,Store,"414, Tran Hung Dao Street, My Phuoc Ward, City. Long Xuyen",10.37043,105.44585,https://maps.apple.com/place?auid=13751760895297857450,https://mmvietnam.com/en/our-branches/,Used My Phuoc ward centroid from Apple Maps.
MM NHA TRANG,Store,"Hai Ba Thang Muoi Street, Vo Canh Village, Vinh Trung Commune, Nha Trang City",12.25744,109.13105,https://maps.apple.com/place?auid=11538394136366308637,https://mmvietnam.com/en/our-branches/,Used Vinh Trung commune centroid from Apple Maps.
MM QUY NHON,Store,"Highway 1D, Ghenh Rang Ward, Quy Nhon City",13.74464,109.21225,https://maps.apple.com/place?auid=15900758138974684574,https://mmvietnam.com/en/our-branches/,Used Ghenh Rang ward centroid from Apple Maps.
MM RACH GIA,Store,"3 Thang 2 Street, Vinh Bao Ward, City. Rach Gia",10.0125,105.0809,https://www.geodatos.net/en/distances/from-rach-zhia-to-nieuw-nickerie,https://mmvietnam.com/en/our-branches/,Used Rach Gia city coordinates as proxy for Vinh Bao/Rach Gia.
MM THANG LONG,Store,"Pham Van Dong Street, Co Nhue Commune, Bac Tu Liem District, Hanoi City",21.0545,105.7823,https://maps.apple.com/place?auid=7523829319336610968,https://mmvietnam.com/en/our-branches/,Used Co Nhue 1 ward centroid from Apple Maps.
MM THANH XUAN,Store,"Imperial Plaza Building Basement, 360 Giai Phong, Phuong Liet, Thanh Xuan, Hanoi City",20.99585,105.84034,https://maps.apple.com/place?auid=548582968572064934,https://mmvietnam.com/en/our-branches/,Used Phuong Liet ward centroid from Apple Maps.
MM VINH,Store,"Dung Quyet Street, Ben Thuy Ward, Vinh City",18.6629,105.70407,https://maps.apple.com/place?auid=15988880652664448832,https://mmvietnam.com/en/our-branches/,Used Ben Thuy ward centroid from Apple Maps.
MM VUNG TAU,Store,"Highway 51B, Ward 11, Vung Tau City",10.34599,107.08426,https://www.geodatos.net/en/coordinates/vietnam/vung-tau,https://mmvietnam.com/en/our-branches/,Used Vung Tau city coordinates as proxy for Ward 11/Vung Tau.
