candidate_pairs_before_pruning,pairs_after_pruning,pairs_accepted_stackelberg,pairs_recovered_stackelberg_fallback,patterns_built_before_dedup,patterns_deduplicated_before_gnn,patterns_removed_by_product_period_cap,patterns_built_before_gnn,max_columns_per_product_period,active_product_period_count,patterns_kept_after_gnn,collect_teacher_mode,runtime_gnn_mode,episode,duplicate_id_rejects,duplicate_signature_rejects,empty_flow_rejects,patterns_added_to_pool,selected_patterns,objective,improvement
35,140,0,96,96,73,8,15,3,6,15,True,False,1,0,0,0,15,30,3911805.2846436454,119731.37477934035
28,112,0,12,12,9,0,3,3,5,3,True,False,2,0,0,0,3,33,3903347.3469983707,8457.93764527468
28,112,0,12,12,12,0,0,3,5,0,True,False,3,0,0,0,0,33,3903347.3469983707,0.0
28,112,0,20,20,18,0,2,3,5,2,True,False,1,2,0,0,0,33,3903348.0425615665,0.0
28,112,0,40,40,31,4,5,3,5,5,True,False,1,3,0,0,2,34,3903348.3369431263,0.2645764322951436
28,112,0,36,36,30,1,5,3,5,5,True,False,2,0,0,0,5,36,3903346.221468155,2.1154749714769423
26,104,0,20,20,18,0,2,3,4,2,True,False,3,0,0,0,2,36,3903346.2105126213,0.010955533478409052
26,104,0,12,12,12,0,0,3,4,0,True,False,4,0,0,0,0,36,3903346.2105126213,0.0
26,104,0,28,28,24,1,3,3,4,3,True,False,1,3,0,0,0,35,3903348.9024062324,0.0
25,100,0,28,28,24,1,3,3,4,3,True,False,1,3,0,0,0,34,3903356.068320832,0.0
25,100,0,28,28,24,1,3,3,4,3,True,False,1,3,0,0,0,33,3903357.772014987,0.0
25,100,0,28,28,24,1,3,3,4,3,True,False,1,3,0,0,0,33,3903361.5965169044,0.0
25,100,0,28,28,24,1,3,3,4,3,True,False,1,3,0,0,0,33,3903357.9882835355,0.0
29,116,0,44,44,36,2,6,3,5,6,True,False,1,3,0,0,3,34,3903354.5080558076,1.917737496085465
25,100,0,28,28,24,1,3,3,4,3,True,False,2,2,0,0,1,35,3903353.2884989064,1.2195569011382759
25,100,0,24,24,21,0,3,3,4,3,True,False,3,2,0,0,1,35,3903352.644206691,0.6442922153510153
25,100,0,20,20,18,0,2,3,4,2,True,False,4,0,0,0,2,35,3903352.306593203,0.33761348808184266
25,100,0,12,12,12,0,0,3,4,0,True,False,5,0,0,0,0,35,3903352.306593203,0.0
25,100,0,12,12,12,0,0,3,4,0,True,False,1,0,0,0,0,35,3903352.306593203,0.0
25,100,0,12,12,12,0,0,3,4,0,True,False,1,0,0,0,0,35,3903352.306593203,0.0
28,112,0,16,16,15,0,1,3,4,1,True,False,1,1,0,0,0,36,3910716.8364086673,0.0
31,124,0,24,24,22,0,2,3,4,2,True,False,1,2,0,0,0,35,3924036.034491515,0.0
31,124,0,24,24,22,0,2,3,4,2,True,False,1,2,0,0,0,35,3924036.034491515,0.0
31,124,0,24,24,22,0,2,3,4,2,True,False,1,2,0,0,0,35,3924036.034491515,0.0
