period,vehicle,route,arcs,total_direct_qty,total_lt_qty,product_flow_summary
1,V1,CW -> MM THANG LONG -> MM DA NANG -> MM AN PHU -> CW,"[('CW', 'MM THANG LONG'), ('MM AN PHU', 'CW'), ('MM DA NANG', 'MM AN PHU'), ('MM THANG LONG', 'MM DA NANG')]",120.0,0.0,{'ORION CHOCOPIE 33/36.3G*12P': 120.0}
2,V1,CW -> MM AN PHU -> MM DA NANG -> CW,"[('CW', 'MM AN PHU'), ('MM AN PHU', 'MM DA NANG'), ('MM DA NANG', 'CW')]",120.0,0.0,{'ORION CHOCOPIE 33/36.3G*12P': 120.0}
3,V1,CW -> MM THANG LONG -> MM DA NANG -> CW,"[('CW', 'MM THANG LONG'), ('MM DA NANG', 'CW'), ('MM THANG LONG', 'MM DA NANG')]",120.0,0.0,{'ORION CHOCOPIE 33/36.3G*12P': 120.0}
4,V1,CW -> MM THANG LONG -> MM DA NANG -> CW,"[('CW', 'MM THANG LONG'), ('MM DA NANG', 'CW'), ('MM THANG LONG', 'MM DA NANG')]",120.0,0.0,"{'GIFT SET ORION AN 2 890.6G': 70.0, 'ORION CHOCOPIE 33/36.3G*12P': 50.0}"
5,V1,CW -> MM THANG LONG -> MM DA NANG -> CW,"[('CW', 'MM THANG LONG'), ('MM DA NANG', 'CW'), ('MM THANG LONG', 'MM DA NANG')]",120.0,0.0,{'GIFT SET ORION AN 2 890.6G': 120.0}
6,V1,CW -> MM THANG LONG -> MM DA NANG -> CW,"[('CW', 'MM THANG LONG'), ('MM DA NANG', 'CW'), ('MM THANG LONG', 'MM DA NANG')]",120.0,0.0,{'GIFT SET ORION AN 2 890.6G': 120.0}
7,V1,CW -> MM THANG LONG -> MM AN PHU -> MM DA NANG -> CW,"[('CW', 'MM THANG LONG'), ('MM AN PHU', 'MM DA NANG'), ('MM DA NANG', 'CW'), ('MM THANG LONG', 'MM AN PHU')]",120.0,0.0,{'GIFT SET ORION AN 2 890.6G': 120.0}
8,V1,CW -> MM THANG LONG -> MM DA NANG -> MM AN PHU -> CW,"[('CW', 'MM THANG LONG'), ('MM AN PHU', 'CW'), ('MM DA NANG', 'MM AN PHU'), ('MM THANG LONG', 'MM DA NANG')]",120.0,0.0,{'GIFT SET ORION AN 2 890.6G': 120.0}
9,V1,CW -> MM THANG LONG -> MM AN PHU -> MM DA NANG -> CW,"[('CW', 'MM THANG LONG'), ('MM AN PHU', 'MM DA NANG'), ('MM DA NANG', 'CW'), ('MM THANG LONG', 'MM AN PHU')]",120.0,0.0,{'GIFT SET ORION AN 2 890.6G': 120.0}
10,V1,CW -> MM THANG LONG -> MM AN PHU -> MM DA NANG -> CW,"[('CW', 'MM THANG LONG'), ('MM AN PHU', 'MM DA NANG'), ('MM DA NANG', 'CW'), ('MM THANG LONG', 'MM AN PHU')]",120.0,0.0,{'GIFT SET ORION AN 2 890.6G': 120.0}
