node_id,parent_id,depth,status,objective,fractional_lambda_count,branch_var,branch_lambda_value,branch_sense_from_parent,branch_value_from_parent,incumbent_objective
0,,0,branched,3903347.3469983707,14,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T4_1,0.4641284259484778,root,,inf
2,0.0,1,branched,3903348.0425615665,14,LT_OREO VANILLA 110.4/105G_T14_4,0.4624976246036115,>= 1,1.0,inf
4,2.0,2,branched,3903346.2105126213,17,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T14_1,0.5028812698060751,>= 1,1.0,inf
6,4.0,3,branched,3903348.9024062324,15,LT_OREO VANILLA 110.4/105G_T9_3,0.43030855625288805,>= 1,1.0,inf
8,6.0,4,branched,3903356.068320832,12,LT_OREO VANILLA 110.4/105G_T7_1,0.416328702075632,>= 1,1.0,inf
10,8.0,5,branched,3903357.772014987,12,LT_OREO VANILLA 110.4/105G_T7_5,0.517161992454784,>= 1,1.0,inf
12,10.0,6,pruned_by_depth,3903361.5965169044,11,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_3,0.3932487006080949,>= 1,1.0,inf
11,10.0,6,pruned_by_depth,3903357.9882835355,12,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_3,0.3932487006080949,<= 0,0.0,inf
9,8.0,5,branched,3903352.306593203,13,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_2,0.3932487006080949,<= 0,0.0,inf
14,9.0,6,pruned_by_depth,3903352.306593203,13,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_1,0.3932487006080949,>= 1,1.0,inf
13,9.0,6,pruned_by_depth,3903352.306593203,13,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_1,0.3932487006080949,<= 0,0.0,inf
7,6.0,4,branched,3910716.8364086673,15,LT_OREO VANILLA 110.4/105G_T9_1,0.48529544916848555,<= 0,0.0,inf
16,7.0,5,branched,3924036.034491515,14,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_3,0.3932487006080949,>= 1,1.0,inf
18,16.0,6,pruned_by_depth,3924036.034491515,14,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_1,0.3932487006080949,>= 1,1.0,inf
17,16.0,6,pruned_by_depth,3924036.034491515,14,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_2,0.3932487006080949,<= 0,0.0,inf
