store,period,total_demand,fulfilled_demand,shortage,demand_fulfillment_rate
MM AN PHU,1,83.0,83.0,0.0,1.0
MM AN PHU,2,127.0,127.0,0.0,1.0
MM AN PHU,3,25.0,25.0,0.0,1.0
MM AN PHU,4,213.0,213.0,0.0,1.0
MM AN PHU,5,103.0,103.0,0.0,1.0
MM AN PHU,6,15.0,15.0,0.0,1.0
MM AN PHU,7,31.0,31.0,0.0,1.0
MM AN PHU,8,118.0,118.0,0.0,1.0
MM AN PHU,9,51.0,51.0,0.0,1.0
MM AN PHU,10,39.0,39.0,0.0,1.0
MM AN PHU,11,102.0,102.0,0.0,1.0
MM AN PHU,12,135.0,135.0,0.0,1.0
MM AN PHU,13,35.0,35.0,0.0,1.0
MM AN PHU,14,41.0,41.0,0.0,1.0
MM AN PHU,15,58.0,58.0,0.0,1.0
MM BIEN HOA,1,10.0,10.0,0.0,1.0
MM BIEN HOA,2,11.0,11.0,0.0,1.0
MM BIEN HOA,3,15.0,15.0,0.0,1.0
MM BIEN HOA,4,55.0,55.0,0.0,1.0
MM BIEN HOA,5,22.0,22.0,0.0,1.0
MM BIEN HOA,6,8.0,8.0,0.0,1.0
MM BIEN HOA,7,51.0,51.0,0.0,1.0
MM BIEN HOA,8,8.0,8.0,0.0,1.0
MM BIEN HOA,9,10.0,10.0,0.0,1.0
MM BIEN HOA,10,19.0,19.0,0.0,1.0
MM BIEN HOA,11,8.0,8.0,0.0,1.0
MM BIEN HOA,12,11.0,11.0,0.0,1.0
MM BIEN HOA,13,18.0,18.0,0.0,1.0
MM BIEN HOA,14,15.0,15.0,0.0,1.0
MM BIEN HOA,15,77.0,77.0,0.0,1.0
MM BINH PHU,1,29.0,29.0,0.0,1.0
MM BINH PHU,2,34.0,34.0,0.0,1.0
MM BINH PHU,3,15.0,15.0,0.0,1.0
MM BINH PHU,4,14.0,14.0,0.0,1.0
MM BINH PHU,5,3.0,3.0,0.0,1.0
MM BINH PHU,6,10.0,10.0,0.0,1.0
MM BINH PHU,7,14.0,14.0,0.0,1.0
MM BINH PHU,8,93.0,93.0,0.0,1.0
MM BINH PHU,9,19.0,19.0,0.0,1.0
MM BINH PHU,10,34.0,34.0,0.0,1.0
MM BINH PHU,11,11.0,11.0,0.0,1.0
MM BINH PHU,12,21.0,21.0,0.0,1.0
MM BINH PHU,13,9.0,9.0,0.0,1.0
MM BINH PHU,14,32.0,32.0,0.0,1.0
MM BINH PHU,15,65.0,65.0,0.0,1.0
MM DA NANG,1,24.0,24.0,0.0,1.0
MM DA NANG,2,57.0,57.0,0.0,1.0
MM DA NANG,3,17.0,17.0,0.0,1.0
MM DA NANG,4,13.0,13.0,0.0,1.0
MM DA NANG,5,143.0,143.0,0.0,1.0
MM DA NANG,6,26.0,26.0,0.0,1.0
MM DA NANG,7,15.0,15.0,0.0,1.0
MM DA NANG,8,41.0,41.0,0.0,1.0
MM DA NANG,9,8.0,8.0,0.0,1.0
MM DA NANG,10,34.0,34.0,0.0,1.0
MM DA NANG,11,16.0,16.0,0.0,1.0
MM DA NANG,12,39.0,39.0,0.0,1.0
MM DA NANG,13,17.0,17.0,0.0,1.0
MM DA NANG,14,34.0,34.0,0.0,1.0
MM DA NANG,15,41.0,41.0,0.0,1.0
MM HIEP PHU,1,9.0,9.0,0.0,1.0
MM HIEP PHU,2,21.0,21.0,0.0,1.0
MM HIEP PHU,3,12.0,12.0,0.0,1.0
MM HIEP PHU,4,10.0,10.0,0.0,1.0
MM HIEP PHU,5,37.0,37.0,0.0,1.0
MM HIEP PHU,6,7.0,7.0,0.0,1.0
MM HIEP PHU,7,15.0,15.0,0.0,1.0
MM HIEP PHU,8,3.0,3.0,0.0,1.0
MM HIEP PHU,9,20.0,20.0,0.0,1.0
MM HIEP PHU,10,11.0,11.0,0.0,1.0
MM HIEP PHU,11,49.0,49.0,0.0,1.0
MM HIEP PHU,12,11.0,11.0,0.0,1.0
MM HIEP PHU,13,11.0,11.0,0.0,1.0
MM HIEP PHU,14,8.0,8.0,0.0,1.0
MM HIEP PHU,15,10.0,10.0,0.0,1.0
