episode,total_cost,improvement,proposed_columns,added_columns,selected_patterns,branch_node_id,branch_depth,branch_sense_from_parent,branch_var_from_parent
0,4031536.6594229857,0.0,0,0,24,0,0,root,
1,3911805.2846436454,119731.37477934035,15,15,30,0,0,root,
2,3903347.3469983707,8457.93764527468,3,3,33,0,0,root,
3,3903347.3469983707,0.0,0,0,33,0,0,root,
0,3903348.0425615665,0.0,0,0,33,2,1,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T4_1
1,3903348.0425615665,0.0,2,0,33,2,1,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T4_1
0,3903348.6015195586,0.0,0,0,34,4,2,>= 1,LT_OREO VANILLA 110.4/105G_T14_4
1,3903348.3369431263,0.2645764322951436,5,2,34,4,2,>= 1,LT_OREO VANILLA 110.4/105G_T14_4
2,3903346.221468155,2.1154749714769423,5,5,36,4,2,>= 1,LT_OREO VANILLA 110.4/105G_T14_4
3,3903346.2105126213,0.010955533478409052,2,2,36,4,2,>= 1,LT_OREO VANILLA 110.4/105G_T14_4
4,3903346.2105126213,0.0,0,0,36,4,2,>= 1,LT_OREO VANILLA 110.4/105G_T14_4
0,3903348.9024062324,0.0,0,0,35,6,3,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T14_1
1,3903348.9024062324,0.0,3,0,35,6,3,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T14_1
0,3903356.068320832,0.0,0,0,34,8,4,>= 1,LT_OREO VANILLA 110.4/105G_T9_3
1,3903356.068320832,0.0,3,0,34,8,4,>= 1,LT_OREO VANILLA 110.4/105G_T9_3
0,3903357.772014987,0.0,0,0,33,10,5,>= 1,LT_OREO VANILLA 110.4/105G_T7_1
1,3903357.772014987,0.0,3,0,33,10,5,>= 1,LT_OREO VANILLA 110.4/105G_T7_1
0,3903361.5965169044,0.0,0,0,33,12,6,>= 1,LT_OREO VANILLA 110.4/105G_T7_5
1,3903361.5965169044,0.0,3,0,33,12,6,>= 1,LT_OREO VANILLA 110.4/105G_T7_5
0,3903357.9882835355,0.0,0,0,33,11,6,<= 0,LT_OREO VANILLA 110.4/105G_T7_5
1,3903357.9882835355,0.0,3,0,33,11,6,<= 0,LT_OREO VANILLA 110.4/105G_T7_5
0,3903356.4257933036,0.0,0,0,33,9,5,<= 0,LT_OREO VANILLA 110.4/105G_T7_1
1,3903354.5080558076,1.917737496085465,6,3,34,9,5,<= 0,LT_OREO VANILLA 110.4/105G_T7_1
2,3903353.2884989064,1.2195569011382759,3,1,35,9,5,<= 0,LT_OREO VANILLA 110.4/105G_T7_1
3,3903352.644206691,0.6442922153510153,3,1,35,9,5,<= 0,LT_OREO VANILLA 110.4/105G_T7_1
4,3903352.306593203,0.33761348808184266,2,2,35,9,5,<= 0,LT_OREO VANILLA 110.4/105G_T7_1
5,3903352.306593203,0.0,0,0,35,9,5,<= 0,LT_OREO VANILLA 110.4/105G_T7_1
0,3903352.306593203,0.0,0,0,35,14,6,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_2
1,3903352.306593203,0.0,0,0,35,14,6,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_2
0,3903352.306593203,0.0,0,0,35,13,6,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_2
1,3903352.306593203,0.0,0,0,35,13,6,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_2
0,3910716.8364086673,0.0,0,0,36,7,4,<= 0,LT_OREO VANILLA 110.4/105G_T9_3
1,3910716.8364086673,0.0,1,0,36,7,4,<= 0,LT_OREO VANILLA 110.4/105G_T9_3
0,3924036.034491515,0.0,0,0,35,16,5,>= 1,LT_OREO VANILLA 110.4/105G_T9_1
1,3924036.034491515,0.0,2,0,35,16,5,>= 1,LT_OREO VANILLA 110.4/105G_T9_1
0,3924036.034491515,0.0,0,0,35,18,6,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_3
1,3924036.034491515,0.0,2,0,35,18,6,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_3
0,3924036.034491515,0.0,0,0,35,17,6,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_3
1,3924036.034491515,0.0,2,0,35,17,6,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T10_3
