source,period,vehicle,from_store,to_store,sku,lt_qty,lt_unit_cost,lt_fixed_cost,lt_total_cost,pattern_id,lambda_value
CG_LT,1,,MM THANG LONG,MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,4.665176,0.6,2.0,4.799106,LT_ORION CHOCOPIE 33/36.3G*12P_T1_1,1.0
CG_LT,1,,MM THANG LONG,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,1.610307,0.6,2.0,2.966184,LT_ORION CHOCOPIE 33/36.3G*12P_T1_1,1.0
CG_LT,1,,MM THANG LONG,MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,8.66878,0.6,2.0,7.201268,LT_ORION CHOCOPIE 33/36.3G*12P_T1_3,1.0
CG_LT,1,,MM THANG LONG,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,2.117637,0.6,2.0,3.270582,LT_ORION CHOCOPIE 33/36.3G*12P_T1_3,1.0
CG_LT,1,,MM THANG LONG,MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,7.315208,0.6,2.0,6.389125,LT_ORION CHOCOPIE 33/36.3G*12P_T1_4,1.0
CG_LT,1,,MM THANG LONG,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,2.146438,0.6,2.0,3.287863,LT_ORION CHOCOPIE 33/36.3G*12P_T1_4,1.0
CG_LT,26,,MM AN PHU,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,0.561033,0.6,0.480024,0.816644,LT_ORION CHOCOPIE 33/36.3G*12P_T26_2,0.240012
CG_LT,26,,MM AN PHU,MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,0.179732,0.6,0.480024,0.587863,LT_ORION CHOCOPIE 33/36.3G*12P_T26_2,0.240012
CG_LT,26,,MM AN PHU,MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,2.259235,0.6,2.0,3.355541,LT_ORION CHOCOPIE 33/36.3G*12P_T26_5,1.0
CG_LT,27,,MM DA NANG,MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,3.363556,0.6,1.861308,3.879442,LT_ORION CHOCOPIE 33/36.3G*12P_T27_4,0.930654
CG_LT,27,,MM DA NANG,MM THANG LONG,ORION CHOCOPIE 33/36.3G*12P,0.636444,0.6,1.861308,2.243175,LT_ORION CHOCOPIE 33/36.3G*12P_T27_4,0.930654
CG_LT,28,,MM THANG LONG,MM AN PHU,ORION CHOCOPIE 33/36.3G*12P,2.786867,0.6,2.0,3.67212,LT_ORION CHOCOPIE 33/36.3G*12P_T28_1,1.0
CG_LT,28,,MM THANG LONG,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,0.213133,0.6,0.153721,0.2816,LT_ORION CHOCOPIE 33/36.3G*12P_T28_3,0.07686
CG_LT,2,,MM AN PHU,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,9.148588,0.6,2.0,7.489153,LT_ORION CHOCOPIE 33/36.3G*12P_T2_2,1.0
CG_LT,2,,MM AN PHU,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,0.776691,0.6,0.168839,0.634854,LT_ORION CHOCOPIE 33/36.3G*12P_T2_4,0.08442
CG_LT,2,,MM THANG LONG,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,0.074721,0.6,0.168839,0.213672,LT_ORION CHOCOPIE 33/36.3G*12P_T2_4,0.08442
CG_LT,3,,MM AN PHU,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,1.096689,0.6,0.845899,1.503913,LT_ORION CHOCOPIE 33/36.3G*12P_T3_2,0.42295
CG_LT,3,,MM THANG LONG,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,3.903311,0.6,2.0,4.341987,LT_ORION CHOCOPIE 33/36.3G*12P_T3_4,1.0
CG_LT,4,,MM AN PHU,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,0.724537,0.6,0.161813,0.596535,LT_ORION CHOCOPIE 33/36.3G*12P_T4_1,0.080906
CG_LT,4,,MM THANG LONG,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,0.607447,0.6,0.161813,0.526281,LT_ORION CHOCOPIE 33/36.3G*12P_T4_1,0.080906
CG_LT,4,,MM AN PHU,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,9.065346,0.6,2.0,7.439208,LT_ORION CHOCOPIE 33/36.3G*12P_T4_3,1.0
CG_LT,4,,MM AN PHU,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,9.926138,0.6,2.0,7.955683,LT_ORION CHOCOPIE 33/36.3G*12P_T4_5,1.0
CG_LT,4,,MM THANG LONG,MM DA NANG,ORION CHOCOPIE 33/36.3G*12P,9.676533,0.6,2.0,7.80592,LT_ORION CHOCOPIE 33/36.3G*12P_T4_5,1.0
