variant,run_label,source_instance,dataset_id,scenario_id,seed,benchmark_mode,rmp_objective,realized_cost_no_lt,realized_cost_with_lt,final_objective_or_total_cost,lt_cost_with_lt,shortage_cost_with_lt,cg_iterations,stopping_reason,total_runtime_seconds,variant_runtime_seconds,shared_baseline_runtime_seconds,total_runtime_with_shared_baseline_seconds,phase1_baseline_runtime_seconds,phase2_cg_runtime_seconds,gnn_inference_runtime_seconds,post_run_fine_tune_runtime_seconds,columns_generated,columns_selected_by_gnn,columns_added_to_rmp,column_pool_utilization,gnn_scoring_failures,repeat,shock_world_id,window_id,shock_seed,window_start_period,window_end_period,window_n_periods,baseline_cache_path,cached_baseline_runtime_seconds,a0_exact_pricing_time_limit
A0_cg_full_exact,A0_cg_full_exact__shock01_window01,,,shock01_window01,42,sliced_cg_only_cached_baseline,2461639999.694992,234339404.0048,221260763.302165,221260763.302165,4220.921365,526894.0,42,convergence_no_negative_rc,3.571889745999897,3.571889745999897,0.0,3.571889745999897,691.1348897149999,0.010846853256225586,0.0,0.0,179,179,173,0.4979919678714859,0,1,1,1,42,1,19,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock01_window02,,,shock01_window02,42,sliced_cg_only_cached_baseline,2442519632.0421453,252814405.08,218078269.095787,218078269.095787,8439.967787,2995594.0,43,convergence_no_negative_rc,4.300762571000178,4.300762571000178,0.0,4.300762571000178,691.1348897149999,0.02143096923828125,0.0,0.0,272,272,272,0.588957055214724,0,2,1,2,42,20,38,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock01_window03,,,shock01_window03,42,sliced_cg_only_cached_baseline,2442303094.897201,259657092.82,223620869.15803,223620869.15803,8799.67403,10614135.8,43,convergence_no_negative_rc,4.4813702250000915,4.4813702250000915,0.0,4.4813702250000915,691.1348897149999,0.0236661434173584,0.0,0.0,323,323,275,0.6137404580152672,0,3,1,3,42,39,57,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock01_window04,,,shock01_window04,42,sliced_cg_only_cached_baseline,2440809954.56186,246287457.288,213848691.625696,213848691.625696,9022.321696,1496023.4,43,convergence_no_negative_rc,5.011079797000093,5.011079797000093,0.0,5.011079797000093,691.1348897149999,0.014091968536376953,0.0,0.0,254,254,254,0.6265060240963856,0,4,1,4,42,58,76,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock01_window05,,,shock01_window05,42,sliced_cg_only_cached_baseline,2462172303.91328,310185417.732,252184781.35996,252184781.35996,12489.74796,39830870.2,43,convergence_no_negative_rc,6.253177477999998,6.253177477999998,0.0,6.253177477999998,691.1348897149999,0.029134273529052734,0.0,0.0,420,420,368,0.604982206405694,0,5,1,5,42,77,95,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock01_window06,,,shock01_window06,42,sliced_cg_only_cached_baseline,2434065863.9473763,256753262.46,213651765.717798,213651765.717798,9943.065798,3076184.4,43,convergence_no_negative_rc,5.321232506999877,5.321232506999877,0.0,5.321232506999877,691.1348897149999,0.025526762008666992,0.0,0.0,381,381,315,0.6329113924050633,0,6,1,6,42,96,114,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock01_window07,,,shock01_window07,42,sliced_cg_only_cached_baseline,2432358545.760468,277095956.28,222149518.784191,222149518.784191,12773.152191,11970642.6,44,convergence_no_negative_rc,6.1418524880000405,6.1418524880000405,0.0,6.1418524880000405,691.1348897149999,0.03705596923828125,0.0,0.0,389,389,347,0.6204379562043796,0,7,1,7,42,115,133,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock01_window08,,,shock01_window08,42,sliced_cg_only_cached_baseline,2417779154.9366655,267715463.464,213764839.262385,213764839.262385,13583.902385,2407097.0,43,convergence_no_negative_rc,5.077851403000068,5.077851403000068,0.0,5.077851403000068,691.1348897149999,0.024552106857299805,0.0,0.0,364,364,364,0.6746126340882003,0,8,1,8,42,134,152,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock01_window09,,,shock01_window09,42,sliced_cg_only_cached_baseline,2395772701.2611775,309919011.312,221926939.12189,221926939.12189,19627.33789,9127752.0,43,convergence_no_negative_rc,5.775925340999947,5.775925340999947,0.0,5.775925340999947,691.1348897149999,0.027420997619628906,0.0,0.0,516,516,417,0.6636771300448431,0,9,1,9,42,153,171,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock01_window10,,,shock01_window10,42,sliced_cg_only_cached_baseline,2452730192.5413833,131804897.208,111336921.850036,111336921.850036,4809.642036,532675.0,42,convergence_no_negative_rc,2.718866892000051,2.718866892000051,0.0,2.718866892000051,691.1348897149999,0.008744001388549805,0.0,0.0,161,161,161,0.5863746958637469,0,10,1,10,42,172,181,10,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock02_window01,,,shock02_window01,10049,sliced_cg_only_cached_baseline,2461570698.3898673,234346779.6848,221321650.800955,221321650.800955,4165.932155,582119.8,42,convergence_no_negative_rc,3.592124945000023,3.592124945000023,0.0,3.592124945000023,691.1348897149999,0.010490894317626953,0.0,0.0,176,176,170,0.498989898989899,0,11,2,1,10049,1,19,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock02_window02,,,shock02_window02,10049,sliced_cg_only_cached_baseline,2443144704.079505,252868644.624,218075484.325302,218075484.325302,8372.285302,2996217.2,43,convergence_no_negative_rc,4.533425312999952,4.533425312999952,0.0,4.533425312999952,691.1348897149999,0.021468162536621094,0.0,0.0,271,271,271,0.5883256528417818,0,12,2,2,10049,20,38,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock02_window03,,,shock02_window03,10049,sliced_cg_only_cached_baseline,2441918671.4712954,259360183.828,223639344.276005,223639344.276005,8815.488005,10694263.4,43,convergence_no_negative_rc,4.602778939000018,4.602778939000018,0.0,4.602778939000018,691.1348897149999,0.023186922073364258,0.0,0.0,280,280,280,0.6196969696969697,0,13,2,3,10049,39,57,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
A0_cg_full_exact,A0_cg_full_exact__shock02_window04,,,shock02_window04,10049,sliced_cg_only_cached_baseline,2440784531.401787,245891968.056,213768675.322692,213768675.322692,8981.730692,1611063.0,43,convergence_no_negative_rc,4.355222519000108,4.355222519000108,0.0,4.355222519000108,691.1348897149999,0.012758970260620117,0.0,0.0,250,250,250,0.6378787878787879,0,14,2,4,10049,58,76,19,/kaggle/working/shared_benchmark_state.pkl.gz,691.304631252,
