epoch,regime,train_loss,train_acc,train_f1,train_roc_auc,train_pr_auc,valid_loss,valid_acc,valid_precision,valid_recall,valid_f1,valid_roc_auc,valid_pr_auc,full_valid_loss,full_valid_pr_auc,full_valid_f1,full_valid_roc_auc,epoch_seconds
1,easy,0.6803676128745079,0.5656,0.526797385620915,0.60185904,0.5757752081324676,0.6793670927435159,0.5695,0.5810968494749125,0.498,0.5363489499192245,0.590913,0.6073836507596759,,,,,3.3383169174194336
2,easy,0.6717310610115528,0.5752,0.5552763819095478,0.62418816,0.6687008846316502,0.6784515337198973,0.593,0.5808695652173913,0.668,0.6213953488372093,0.6006855000000001,0.6205090782834417,,,,,2.2166266441345215
3,easy,0.6525658385932446,0.6448,0.6306156405990017,0.6842440000000002,0.7001385316890598,0.6759311687797308,0.5975,0.5785656728444802,0.718,0.64078536367693,0.616017,0.6285859865534954,,,,,2.1971330642700195
4,easy,0.6355776827692986,0.6476,0.6361007847996696,0.72088912,0.7287050074473463,0.6766636366993188,0.592,0.5725552050473186,0.726,0.6402116402116402,0.6227875,0.6338416247508037,,,,,2.1680970191955566
5,easy,0.6362075987100602,0.6646,0.6673279111287443,0.71443568,0.7613389714123927,0.6734817462265491,0.599,0.5795819935691319,0.721,0.642602495543672,0.6247369999999999,0.6375280858757306,,,,,2.1538338661193848
6,easy,0.6205012533187866,0.6904,0.6804293971924029,0.73805632,0.763413925909617,0.6732334593087435,0.592,0.5712074303405573,0.738,0.643979057591623,0.6383589999999999,0.6293101303679661,,,,,2.1377170085906982
7,easy,0.601629936683178,0.7304,0.7235438884331419,0.7861846400000001,0.8325520952918234,0.6753112701922656,0.559,0.5446293494704992,0.72,0.6201550387596899,0.6331659999999999,0.6370726385716676,,,,,2.1697311401367188
8,easy,0.6070388466894626,0.6854,0.6896823831130401,0.77434768,0.8232953390488738,0.6717783266156911,0.565,0.5495426829268293,0.721,0.6237024221453287,0.6427670000000001,0.6622560359350588,,,,,2.202871561050415
9,easy,0.6080963587462902,0.7148,0.7271335629544585,0.77556912,0.8049356545461825,0.6750338950753212,0.565,0.5493920972644377,0.723,0.6243523316062176,0.6417905,0.6673308163796473,,,,,2.228400707244873
10,easy,0.5813064953267574,0.7126,0.7123123123123123,0.8078841600000001,0.8468558232106902,0.6758131117969751,0.573,0.5571205007824727,0.712,0.6251097453906936,0.63927,0.6696633832423426,0.6759185668817312,0.6750393584772236,0.6285714285714286,0.6378698224852071,3.3040122985839844
11,easy,0.5914740667462349,0.723,0.729227761485826,0.78062448,0.7928885878138944,0.6793198319375515,0.5425,0.5328185328185329,0.69,0.6013071895424836,0.634065,0.6732770708225306,,,,,2.1421587467193604
12,easy,0.5792358249366284,0.7524,0.7431535269709544,0.79699456,0.7960995638518545,0.6918398387730121,0.5345,0.5279805352798054,0.651,0.5830721003134797,0.617612,0.6594630578163825,,,,,2.2088711261749268
13,easy,0.5588016495704651,0.7936,0.7751633986928105,0.81698496,0.8430837430431526,0.6860505640357732,0.542,0.534257748776509,0.655,0.5884995507637018,0.6342409999999999,0.6785640968298157,,,,,2.1834216117858887
14,easy,0.5482291087567807,0.7558,0.7447208864729249,0.83123392,0.8485864571729949,0.6924813857376575,0.551,0.5415309446254072,0.665,0.5969479353680431,0.626642,0.670078145762276,,,,,2.159609079360962
15,easy,0.5476887556612492,0.7666,0.7562147482765824,0.82173296,0.8534476665603992,0.6891153289079666,0.5435,0.5346613545816733,0.671,0.5951219512195122,0.6385799999999999,0.677527935558177,,,,,2.2022974491119385
16,easy,0.5284446411430835,0.7872,0.7629233511586453,0.84676144,0.8517520059146698,0.6947670694589615,0.5495,0.5388845247446976,0.686,0.603607567091949,0.6399189999999999,0.6833586171780051,,,,,2.1243984699249268
17,easy,0.5275234810233116,0.802,0.7834645669291339,0.82866048,0.8718690087476519,0.6865207301527262,0.5725,0.5583266291230893,0.694,0.6188140882746321,0.6441245,0.6836901331454537,,,,,2.167177677154541
18,easy,0.5209678457587957,0.7974,0.7695108077360637,0.8480977599999999,0.8800018592125478,0.7256838495060801,0.5325,0.5260625501202887,0.656,0.5838896306186026,0.608797,0.6712381878377905,,,,,2.1985435485839844
19,easy,0.5348025789886713,0.7378,0.7304133251079581,0.822448,0.8473057721687689,0.7145782507359981,0.562,0.5499194847020934,0.683,0.6092774308652988,0.621112,0.6683207804830508,,,,,2.1233339309692383
20,easy,0.49982529922425745,0.8156,0.794104510942385,0.84405584,0.8359948733975938,0.7115851686745882,0.565,0.5525040387722132,0.684,0.6112600536193029,0.64252,0.6930684160532818,0.7232088741123852,0.6708635989135774,0.6073298429319371,0.6241559345631744,3.318567991256714
21,easy,0.5038374027490616,0.7792,0.7774193548387097,0.84739136,0.8649517215283997,0.7177453398332,0.5785,0.56215360253365,0.71,0.6274856385329209,0.6370945,0.6816161710824968,,,,,2.187074899673462
22,easy,0.483898508900404,0.8242,0.8142826959645045,0.86018608,0.8941936075763601,0.7408155048489571,0.5515,0.5410358565737052,0.679,0.6022172949002217,0.622879,0.6699015095817099,,,,,2.1543970108032227
23,easy,0.47835524622797965,0.7944,0.7872516556291391,0.8660971199999999,0.8806345392277902,0.7398122617080808,0.558,0.5467741935483871,0.678,0.6053571428571428,0.627543,0.6660076070415186,,,,,2.178706407546997
24,easy,0.46835657948851583,0.8452,0.8335483870967741,0.8700439999999999,0.8386491047606591,0.7176140793561936,0.5735,0.5570209464701319,0.718,0.6273481869812145,0.6555105000000001,0.6946340758427978,,,,,2.165809392929077
25,easy,0.48062927756905555,0.8336,0.8202247191011236,0.8621247999999999,0.8666733102730895,0.7574748100042343,0.547,0.5374800637958532,0.674,0.5980479148181012,0.630303,0.6705441686501354,,,,,2.156266450881958
26,easy,0.4621218709498644,0.8282,0.8168052889741949,0.8718904,0.8712816564309953,0.7790554415732622,0.537,0.5305785123966942,0.642,0.5809954751131222,0.6105244999999999,0.6559579289608388,,,,,2.153097629547119
27,easy,0.47635451512038707,0.8004,0.7819055944055944,0.85851264,0.8483384631366973,0.7610846832096577,0.559,0.5466772151898734,0.691,0.6104240282685512,0.636557,0.6598262766114205,,,,,2.1244471073150635
28,easy,0.4950966347903013,0.7508,0.7411715828832571,0.8406574400000001,0.8403843746147738,0.7400831929370761,0.5685,0.5543219666931007,0.699,0.6183104820875719,0.6637245,0.6944502730412878,,,,,2.1507248878479004
