node_id,parent_id,depth,status,objective,fractional_lambda_count,branch_var,branch_lambda_value,branch_sense_from_parent,branch_value_from_parent,incumbent_objective
0,,0,branched,4493908144511.736,349,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T91_2,0.5024681022811445,root,,inf
2,0.0,1,branched,4493908144511.736,349,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T91_4,0.5024681022811445,>= 1,1.0,inf
4,2.0,2,branched,4493908144571.243,348,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T18_2,0.506720540767543,>= 1,1.0,inf
6,4.0,3,branched,4493908149459.206,347,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_2,0.4913855093361606,>= 1,1.0,inf
8,6.0,4,branched,4493908149459.206,347,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_1,0.4913855093361606,>= 1,1.0,inf
10,8.0,5,branched,4493908149490.098,346,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T49_2,0.5088673464631431,>= 1,1.0,inf
12,10.0,6,pruned_by_depth,4493908149491.08,346,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T49_1,0.5088673464631431,>= 1,1.0,inf
11,10.0,6,pruned_by_depth,4493908149519.711,344,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T132_1,0.5094429244140991,<= 0,0.0,inf
9,8.0,5,branched,4493908149460.188,347,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_3,0.4913855093361606,<= 0,0.0,inf
14,9.0,6,pruned_by_depth,4493908149492.098,346,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T49_2,0.5088673464631431,>= 1,1.0,inf
13,9.0,6,pruned_by_depth,4493908149476.223,346,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T49_2,0.5088673464631431,<= 0,0.0,inf
7,6.0,4,branched,4493908149460.217,348,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_3,0.5054510959388167,<= 0,0.0,inf
16,7.0,5,branched,4493908149461.206,347,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_1,0.4913855093361606,>= 1,1.0,inf
18,16.0,6,infeasible,inf,0,,,>= 1,1.0,inf
17,16.0,6,pruned_by_depth,4493908149478.223,346,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T49_2,0.5088673464631431,<= 0,0.0,inf
