candidate_pairs_before_pruning,pairs_after_pruning,pairs_accepted_stackelberg,pairs_recovered_stackelberg_fallback,patterns_built_before_dedup,patterns_deduplicated_before_gnn,patterns_removed_by_product_period_cap,patterns_built_before_gnn,max_columns_per_product_period,active_product_period_count,patterns_kept_after_gnn,collect_teacher_mode,runtime_gnn_mode,episode,duplicate_id_rejects,duplicate_signature_rejects,empty_flow_rejects,patterns_added_to_pool,selected_patterns,objective,improvement
919,3676,16,3448,3464,2651,67,746,3,281,746,True,False,1,0,0,0,746,1036,4493908188187.803,39966798.03613281
92,368,12,204,204,153,0,51,3,45,51,True,False,2,0,0,0,51,1064,4493908145328.1,42859.703125
46,184,12,12,12,9,0,3,3,22,3,True,False,3,0,0,0,3,1066,4493908144569.793,758.306640625
48,192,12,8,8,6,0,2,3,23,2,True,False,4,0,0,0,2,1068,4493908144513.271,56.521484375
48,192,12,8,8,6,0,2,3,23,2,True,False,5,0,0,0,2,1070,4493908144511.736,1.53515625
47,188,12,0,0,0,0,0,3,23,0,True,False,6,0,0,0,0,1070,4493908144511.736,0.0
47,188,12,0,0,0,0,0,3,23,0,True,False,1,0,0,0,0,1070,4493908144511.736,0.0
47,188,12,0,0,0,0,0,3,23,0,True,False,1,0,0,0,0,1070,4493908144571.243,0.0
47,188,12,4,4,3,0,1,3,23,1,True,False,1,1,0,0,0,1071,4493908149459.206,0.0
47,188,12,4,4,3,0,1,3,23,1,True,False,1,1,0,0,0,1071,4493908149459.206,0.0
47,188,12,4,4,3,0,1,3,23,1,True,False,1,1,0,0,0,1071,4493908149490.098,0.0
45,180,12,4,4,3,0,1,3,22,1,True,False,1,1,0,0,0,1071,4493908149491.08,0.0
45,180,12,4,4,3,0,1,3,22,1,True,False,1,1,0,0,0,1072,4493908149519.711,0.0
47,188,12,4,4,3,0,1,3,23,1,True,False,1,1,0,0,0,1071,4493908149460.188,0.0
47,188,12,4,4,3,0,1,3,23,1,True,False,1,1,0,0,0,1071,4493908149492.098,0.0
47,188,12,4,4,3,0,1,3,23,1,True,False,1,1,0,0,0,1075,4493908149476.223,0.0
47,188,12,4,4,3,0,1,3,23,1,True,False,1,1,0,0,0,1071,4493908149460.217,0.0
47,188,12,4,4,3,0,1,3,23,1,True,False,1,1,0,0,0,1071,4493908149461.206,0.0
1058,4232,8,0,0,0,0,0,3,294,0,True,False,1,0,0,0,0,0,inf,0.0
47,188,12,4,4,3,0,1,3,23,1,True,False,1,1,0,0,0,1075,4493908149478.223,0.0
