episode,total_cost,improvement,proposed_columns,added_columns,selected_patterns,branch_node_id,branch_depth,branch_sense_from_parent,branch_var_from_parent
0,4493948154985.839,0.0,0,0,1336,0,0,root,
1,4493908188187.803,39966798.03613281,746,746,1036,0,0,root,
2,4493908145328.1,42859.703125,51,51,1064,0,0,root,
3,4493908144569.793,758.306640625,3,3,1066,0,0,root,
4,4493908144513.271,56.521484375,2,2,1068,0,0,root,
5,4493908144511.736,1.53515625,2,2,1070,0,0,root,
6,4493908144511.736,0.0,0,0,1070,0,0,root,
0,4493908144511.736,0.0,0,0,1070,2,1,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T91_2
1,4493908144511.736,0.0,0,0,1070,2,1,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T91_2
0,4493908144571.243,0.0,0,0,1070,4,2,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T91_4
1,4493908144571.243,0.0,0,0,1070,4,2,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T91_4
0,4493908149459.206,0.0,0,0,1071,6,3,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T18_2
1,4493908149459.206,0.0,1,0,1071,6,3,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T18_2
0,4493908149459.206,0.0,0,0,1071,8,4,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_2
1,4493908149459.206,0.0,1,0,1071,8,4,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_2
0,4493908149490.098,0.0,0,0,1071,10,5,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_1
1,4493908149490.098,0.0,1,0,1071,10,5,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_1
0,4493908149491.08,0.0,0,0,1071,12,6,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T49_2
1,4493908149491.08,0.0,1,0,1071,12,6,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T49_2
0,4493908149519.711,0.0,0,0,1072,11,6,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T49_2
1,4493908149519.711,0.0,1,0,1072,11,6,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T49_2
0,4493908149460.188,0.0,0,0,1071,9,5,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_1
1,4493908149460.188,0.0,1,0,1071,9,5,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_1
0,4493908149492.098,0.0,0,0,1071,14,6,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_3
1,4493908149492.098,0.0,1,0,1071,14,6,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_3
0,4493908149476.223,0.0,0,0,1075,13,6,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_3
1,4493908149476.223,0.0,1,0,1075,13,6,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_3
0,4493908149460.217,0.0,0,0,1071,7,4,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_2
1,4493908149460.217,0.0,1,0,1071,7,4,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_2
0,4493908149461.206,0.0,0,0,1071,16,5,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_3
1,4493908149461.206,0.0,1,0,1071,16,5,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_3
0,inf,0.0,0,0,0,18,6,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_1
1,inf,0.0,0,0,0,18,6,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_1
0,4493908149478.223,0.0,0,0,1075,17,6,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_1
1,4493908149478.223,0.0,1,0,1075,17,6,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T126_1
