source,period,vehicle,from_store,to_store,sku,lt_qty,lt_unit_cost,lt_fixed_cost,lt_total_cost,pattern_id,lambda_value
CG_LT,103,,MM BINH PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,10,0.6,2.0,7.736953,LT_AN RICE CRACKER SEAWEED 111.3G_T103_2,1.0
CG_LT,103,,MM BINH PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,1.363149,4.48074,LT_AN RICE CRACKER SEAWEED 111.3G_T103_3,0.681575
CG_LT,103,,MM BINH PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,5,0.6,1.363149,4.189371,LT_AN RICE CRACKER SEAWEED 111.3G_T103_3,0.681575
CG_LT,103,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,1.363149,3.189846,LT_AN RICE CRACKER SEAWEED 111.3G_T103_3,0.681575
CG_LT,103,,MM HIEP PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,1,0.6,1.363149,2.033329,LT_AN RICE CRACKER SEAWEED 111.3G_T103_3,0.681575
CG_LT,103,,MM BINH PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.518759,LT_AN RICE CRACKER SEAWEED 111.3G_T103_4,1.0
CG_LT,103,,MM BINH PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.513559,LT_AN RICE CRACKER SEAWEED 111.3G_T103_4,1.0
CG_LT,104,,MM BINH PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,3,0.6,1.49245,3.087588,LT_AN RICE CRACKER SEAWEED 111.3G_T104_2,0.746225
CG_LT,104,,MM HIEP PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,10,0.6,2.0,7.820193,LT_AN RICE CRACKER SEAWEED 111.3G_T104_3,1.0
CG_LT,105,,MM BINH PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,6.061984,LT_AN RICE CRACKER SEAWEED 111.3G_T105_1,1.0
CG_LT,105,,MM BINH PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,5.966073,LT_AN RICE CRACKER SEAWEED 111.3G_T105_2,1.0
CG_LT,105,,MM HIEP PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,6,0.6,2.0,5.616097,LT_AN RICE CRACKER SEAWEED 111.3G_T105_2,1.0
CG_LT,105,,MM BINH PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,2.0,2.619183,LT_AN RICE CRACKER SEAWEED 111.3G_T105_3,1.0
CG_LT,105,,MM BINH PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,4,0.6,2.0,4.17949,LT_AN RICE CRACKER SEAWEED 111.3G_T105_3,1.0
CG_LT,105,,MM BINH PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,2.0,5.015142,LT_AN RICE CRACKER SEAWEED 111.3G_T105_4,1.0
