iteration,current_cost,candidate_cost,best_cost,temperature,accepted,new_best,destroy_op,repair_op,feasible
0,4659262248194.296,4659262248194.296,4659262248194.296,232963112410.7148,1.0,1.0,initial,initial,1.0
1,4493932149976.395,4493932149976.395,4493932149976.395,232963112410.7148,1.0,1.0,destroy_random_route,repair_random,1.0
2,4493932149976.395,4550326123671.295,4493932149976.395,232497186185.89337,0.0,0.0,destroy_random_period,repair_random,1.0
3,4493932149976.395,4555728051067.795,4493932149976.395,232032191813.52158,0.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
4,4493932149976.395,4705953973575.293,4493932149976.395,231568127429.89453,0.0,0.0,destroy_random_delivery,repair_greedy,1.0
5,4533703449226.694,4533703449226.694,4493932149976.395,231104991175.03473,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
6,4581709484815.895,4581709484815.895,4493932149976.395,230642781192.68466,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
7,4638530351889.595,4638530351889.595,4493932149976.395,230181495630.2993,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
8,4698700331113.795,4698700331113.795,4493932149976.395,229721132639.0387,1.0,0.0,destroy_random_route,repair_greedy,1.0
9,4698747252277.994,4698747252277.994,4493932149976.395,229261690373.76062,1.0,0.0,destroy_random_period,repair_greedy,1.0
10,4828382747157.695,4828382747157.695,4493932149976.395,228803166993.0131,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
11,4944826478578.995,4944826478578.995,4493932149976.395,228345560659.02707,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
12,5188561433201.3955,5188561433201.3955,4493932149976.395,227888869537.709,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
13,5214077402061.3955,5214077402061.3955,4493932149976.395,227433091798.6336,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
14,5214077402061.3955,5214077402061.3955,4493932149976.395,226978225615.03635,1.0,0.0,destroy_random_period,repair_regret2,1.0
15,5214077402061.3955,5214077402061.3955,4493932149976.395,226524269163.80627,1.0,0.0,destroy_random_period,repair_regret2,1.0
16,5217745017710.096,5217745017710.096,4493932149976.395,226071220625.47867,1.0,0.0,destroy_random_period,repair_regret2,1.0
17,5217745017710.096,5217745017710.096,4493932149976.395,225619078184.22772,1.0,0.0,destroy_shaw_stores,repair_random,1.0
18,5219088272574.697,5219088272574.697,4493932149976.395,225167840027.85925,1.0,0.0,destroy_random_route,repair_regret2,1.0
19,5219088272574.697,5219088272574.697,4493932149976.395,224717504347.80353,1.0,0.0,destroy_random_period,repair_regret2,1.0
20,5300875565383.097,5300875565383.097,4493932149976.395,224268069339.1079,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
21,5300875565383.097,5300875565383.097,4493932149976.395,223819533200.4297,1.0,0.0,destroy_random_period,repair_greedy,1.0
22,5298907731322.097,5298907731322.097,4493932149976.395,223371894134.02884,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
23,5298907731322.097,5298907731322.097,4493932149976.395,222925150345.76077,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
24,5288966589940.597,5288966589940.597,4493932149976.395,222479300045.06924,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
25,5288966589940.597,5288966589940.597,4493932149976.395,222034341444.9791,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
26,5288966590020.296,5288966590020.296,4493932149976.395,221590272762.08914,1.0,0.0,destroy_random_delivery,repair_random,1.0
27,5288966590021.194,5288966590021.194,4493932149976.395,221147092216.56497,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
28,5288966590020.296,5288966590020.296,4493932149976.395,220704798032.13184,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
29,5288966590020.296,5288966590020.296,4493932149976.395,220263388436.06757,1.0,0.0,destroy_random_period,repair_greedy,1.0
30,5288966590020.296,5288966590020.296,4493932149976.395,219822861659.19543,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
31,5288966589805.598,5288966589805.598,4493932149976.395,219383215935.87704,1.0,0.0,destroy_random_route,repair_greedy,1.0
32,5288966589894.797,5288966589894.797,4493932149976.395,218944449504.00528,1.0,0.0,destroy_random_route,repair_random,1.0
33,5288966589894.797,5288966589894.797,4493932149976.395,218506560604.99725,1.0,0.0,destroy_random_period,repair_greedy,1.0
34,5288966589978.797,5288966589978.797,4493932149976.395,218069547483.78726,1.0,0.0,destroy_random_period,repair_random,1.0
35,5288966589978.797,5288966589978.797,4493932149976.395,217633408388.8197,1.0,0.0,destroy_random_period,repair_regret2,1.0
36,5288966590054.096,5288966590054.096,4493932149976.395,217198141572.04205,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
37,5288966590054.096,5288966590054.096,4493932149976.395,216763745288.89798,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
38,5288966590133.795,5288966590133.795,4493932149976.395,216330217798.3202,1.0,0.0,destroy_random_period,repair_random,1.0
39,5288966590054.096,5288966590054.096,4493932149976.395,215897557362.72354,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
40,5288966589502.997,5288966589502.997,4493932149976.395,215465762247.9981,1.0,0.0,destroy_random_route,repair_greedy,1.0
41,5288966589502.997,5288966589502.997,4493932149976.395,215034830723.5021,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
42,5288966589582.697,5288966589582.697,4493932149976.395,214604761062.0551,1.0,0.0,destroy_random_period,repair_random,1.0
43,5288966589577.396,5288966589577.396,4493932149976.395,214175551539.931,1.0,0.0,destroy_shaw_stores,repair_random,1.0
44,5288966589563.196,5288966589563.196,4493932149976.395,213747200436.85114,1.0,0.0,destroy_shaw_stores,repair_random,1.0
45,5288966589563.196,5288966589563.196,4493932149976.395,213319706035.97745,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
46,5288966589939.295,5288966589939.295,4493932149976.395,212893066623.9055,1.0,0.0,destroy_random_route,repair_random,1.0
47,5302820194537.995,5302820194537.995,4493932149976.395,212467280490.65768,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
48,5302820194537.995,5302820194537.995,4493932149976.395,212042345929.67636,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
49,5302820194537.995,5302820194537.995,4493932149976.395,211618261237.81702,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
50,5302820194299.096,5302820194299.096,4493932149976.395,211195024715.34137,1.0,0.0,destroy_random_route,repair_regret2,1.0
51,5302820194223.796,5302820194223.796,4493932149976.395,210772634665.91068,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
52,5302820194223.796,5319255602136.397,4493932149976.395,210351089396.57886,0.0,0.0,destroy_random_route,repair_regret2,1.0
53,5302820194299.096,5302820194299.096,4493932149976.395,209930387217.7857,1.0,0.0,destroy_shaw_stores,repair_random,1.0
54,5288966590041.697,5288966590041.697,4493932149976.395,209510526443.35013,1.0,0.0,destroy_random_route,repair_random,1.0
55,5288966590051.296,5288966590051.296,4493932149976.395,209091505390.46344,1.0,0.0,destroy_shaw_stores,repair_random,1.0
56,5295889139478.696,5295889139478.696,4493932149976.395,208673322379.68253,1.0,0.0,destroy_random_route,repair_greedy,1.0
57,5295889139459.296,5295889139459.296,4493932149976.395,208255975734.92316,1.0,0.0,destroy_random_route,repair_regret2,1.0
58,5295889139533.695,5295889139533.695,4493932149976.395,207839463783.4533,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
59,5295889139617.695,5295889139617.695,4493932149976.395,207423784855.8864,1.0,0.0,destroy_random_period,repair_random,1.0
60,5295889139617.695,5295889139617.695,4493932149976.395,207008937286.17465,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
61,5295889139617.695,5295889139617.695,4493932149976.395,206594919411.6023,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
62,5295889139617.695,5295889139617.695,4493932149976.395,206181729572.77908,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
63,5295889139542.3955,5295889139542.3955,4493932149976.395,205769366113.6335,1.0,0.0,destroy_random_period,repair_greedy,1.0
64,5302436787537.296,5302436787537.296,4493932149976.395,205357827381.40625,1.0,0.0,destroy_random_route,repair_greedy,1.0
65,5302436787537.296,5302436787537.296,4493932149976.395,204947111726.64343,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
66,5302436787537.296,5302436787537.296,4493932149976.395,204537217503.19016,1.0,0.0,destroy_random_period,repair_random,1.0
67,5314345762806.297,5314345762806.297,4493932149976.395,204128143068.18378,1.0,0.0,destroy_random_route,repair_greedy,1.0
68,5314345762806.297,5314345762806.297,4493932149976.395,203719886782.0474,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
69,5329326205929.496,5329326205929.496,4493932149976.395,203312447008.4833,1.0,0.0,destroy_random_delivery,repair_random,1.0
70,5329326205849.796,5329326205849.796,4493932149976.395,202905822114.46634,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
71,5329326205849.796,5329326205849.796,4493932149976.395,202500010470.2374,1.0,0.0,destroy_random_period,repair_greedy,1.0
72,5327589703612.296,5327589703612.296,4493932149976.395,202095010449.29694,1.0,0.0,destroy_worst_delivery,repair_random,1.0
73,5321320097460.695,5321320097460.695,4493932149976.395,201690820428.39835,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
74,5307466492776.795,5307466492776.795,4493932149976.395,201287438787.54153,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
75,5307466492776.795,5307466492776.795,4493932149976.395,200884863909.96646,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
