node_id,parent_id,depth,status,objective,fractional_lambda_count,branch_var,branch_lambda_value,branch_sense_from_parent,branch_value_from_parent,incumbent_objective
0,,0,branched,4493908366131.975,348,LT_AN RICE CRACKER SEAWEED 111.3G_T111_4,0.49810005943014485,root,,inf
2,0.0,1,branched,4493908366132.368,348,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T126_2,0.4972402670688221,>= 1,1.0,inf
4,2.0,2,branched,4493908366132.368,348,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T126_3,0.4972402670688221,>= 1,1.0,inf
6,4.0,3,branched,4493908366158.751,347,LT_OREO VANILLA 110.4/105G_T51_4,0.4944604648238504,>= 1,1.0,inf
8,6.0,4,branched,4493908366160.605,346,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_2,0.5059024636712366,>= 1,1.0,inf
10,8.0,5,branched,4493908366160.605,346,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_1,0.5059024636712366,>= 1,1.0,inf
12,10.0,6,pruned_by_depth,4493908366167.13,345,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T77_3,0.49272973178723456,>= 1,1.0,inf
11,10.0,6,pruned_by_depth,4493908366163.372,346,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T77_2,0.49272973178723456,<= 0,0.0,inf
9,8.0,5,branched,4493908366163.372,346,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T77_2,0.49272973178723456,<= 0,0.0,inf
14,9.0,6,pruned_by_depth,4493908366163.372,346,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T77_3,0.49272973178723456,>= 1,1.0,inf
13,9.0,6,pruned_by_depth,4493908366167.064,346,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T58_1,0.49196754437178347,<= 0,0.0,inf
7,6.0,4,branched,4493908366158.875,347,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_2,0.5059024636712366,<= 0,0.0,inf
16,7.0,5,branched,4493908366158.875,347,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_1,0.5059024636712366,>= 1,1.0,inf
18,16.0,6,pruned_by_depth,4493908366165.399,346,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T77_3,0.49272973178723456,>= 1,1.0,inf
17,16.0,6,pruned_by_depth,4493908366161.643,347,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T77_2,0.49272973178723456,<= 0,0.0,inf
