candidate_pairs_before_pruning,pairs_after_pruning,pairs_accepted_stackelberg,pairs_recovered_stackelberg_fallback,patterns_built_before_dedup,patterns_deduplicated_before_gnn,patterns_removed_by_product_period_cap,patterns_built_before_gnn,max_columns_per_product_period,active_product_period_count,patterns_kept_after_gnn,collect_teacher_mode,runtime_gnn_mode,episode,duplicate_id_rejects,duplicate_signature_rejects,empty_flow_rejects,patterns_added_to_pool,selected_patterns,objective,improvement
916,3664,40,3456,3468,2658,58,752,3,281,752,True,False,1,0,0,0,752,1007,4493908367511.618,38711339.89453125
93,372,40,148,148,111,0,37,3,44,37,True,False,2,0,0,0,37,1026,4493908367079.28,432.337890625
58,232,44,4,4,3,0,1,3,26,1,True,False,3,0,0,0,1,1027,4493908366896.432,182.8486328125
56,224,44,4,4,3,0,1,3,25,1,True,False,4,0,0,0,1,1028,4493908366737.127,159.3046875
58,232,44,4,4,3,0,1,3,26,1,True,False,5,0,0,0,1,1029,4493908366598.367,138.759765625
58,232,44,4,4,3,0,1,3,26,1,True,False,6,0,0,0,1,1030,4493908366477.537,120.830078125
58,232,44,4,4,3,0,1,3,26,1,True,False,7,0,0,0,1,1031,4493908366372.352,105.185546875
58,232,44,4,4,3,0,1,3,26,1,True,False,8,0,0,0,1,1032,4493908366280.818,91.533203125
58,232,44,4,4,3,0,1,3,26,1,True,False,9,0,0,0,1,1033,4493908366201.198,79.6201171875
56,224,44,4,4,3,0,1,3,25,1,True,False,10,0,0,0,1,1034,4493908366131.975,69.2236328125
57,228,44,8,8,6,0,2,3,25,2,True,False,1,2,0,0,0,1034,4493908366132.368,0.0
57,228,44,8,8,6,0,2,3,25,2,True,False,1,2,0,0,0,1034,4493908366132.368,0.0
57,228,44,8,8,6,0,2,3,25,2,True,False,1,2,0,0,0,1034,4493908366158.751,0.0
59,236,44,8,8,6,0,2,3,26,2,True,False,1,2,0,0,0,1034,4493908366160.605,0.0
61,244,44,8,8,6,0,2,3,27,2,True,False,1,2,0,0,0,1034,4493908366160.605,0.0
59,236,40,8,8,6,0,2,3,26,2,True,False,1,2,0,0,0,1034,4493908366167.13,0.0
61,244,48,8,8,6,0,2,3,27,2,True,False,1,2,0,0,0,1034,4493908366163.372,0.0
61,244,48,8,8,6,0,2,3,27,2,True,False,1,2,0,0,0,1034,4493908366163.372,0.0
59,236,48,8,8,6,0,2,3,26,2,True,False,1,2,0,0,0,1034,4493908366163.372,0.0
59,236,48,8,8,6,0,2,3,26,2,True,False,1,2,0,0,0,1035,4493908366167.064,0.0
57,228,44,8,8,6,0,2,3,25,2,True,False,1,2,0,0,0,1034,4493908366158.875,0.0
59,236,44,8,8,6,0,2,3,26,2,True,False,1,2,0,0,0,1034,4493908366158.875,0.0
57,228,40,8,8,6,0,2,3,25,2,True,False,1,2,0,0,0,1034,4493908366165.399,0.0
59,236,48,8,8,6,0,2,3,26,2,True,False,1,2,0,0,0,1034,4493908366161.643,0.0
