episode,total_cost,improvement,proposed_columns,added_columns,selected_patterns,branch_node_id,branch_depth,branch_sense_from_parent,branch_var_from_parent
0,4493947078851.513,0.0,0,0,1315,0,0,root,
1,4493908367511.618,38711339.89453125,752,752,1007,0,0,root,
2,4493908367079.28,432.337890625,37,37,1026,0,0,root,
3,4493908366896.432,182.8486328125,1,1,1027,0,0,root,
4,4493908366737.127,159.3046875,1,1,1028,0,0,root,
5,4493908366598.367,138.759765625,1,1,1029,0,0,root,
6,4493908366477.537,120.830078125,1,1,1030,0,0,root,
7,4493908366372.352,105.185546875,1,1,1031,0,0,root,
8,4493908366280.818,91.533203125,1,1,1032,0,0,root,
9,4493908366201.198,79.6201171875,1,1,1033,0,0,root,
10,4493908366131.975,69.2236328125,1,1,1034,0,0,root,
0,4493908366132.368,0.0,0,0,1034,2,1,>= 1,LT_AN RICE CRACKER SEAWEED 111.3G_T111_4
1,4493908366132.368,0.0,2,0,1034,2,1,>= 1,LT_AN RICE CRACKER SEAWEED 111.3G_T111_4
0,4493908366132.368,0.0,0,0,1034,4,2,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T126_2
1,4493908366132.368,0.0,2,0,1034,4,2,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T126_2
0,4493908366158.751,0.0,0,0,1034,6,3,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T126_3
1,4493908366158.751,0.0,2,0,1034,6,3,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T126_3
0,4493908366160.605,0.0,0,0,1034,8,4,>= 1,LT_OREO VANILLA 110.4/105G_T51_4
1,4493908366160.605,0.0,2,0,1034,8,4,>= 1,LT_OREO VANILLA 110.4/105G_T51_4
0,4493908366160.605,0.0,0,0,1034,10,5,>= 1,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_2
1,4493908366160.605,0.0,2,0,1034,10,5,>= 1,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_2
0,4493908366167.13,0.0,0,0,1034,12,6,>= 1,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_1
1,4493908366167.13,0.0,2,0,1034,12,6,>= 1,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_1
0,4493908366163.372,0.0,0,0,1034,11,6,<= 0,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_1
1,4493908366163.372,0.0,2,0,1034,11,6,<= 0,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_1
0,4493908366163.372,0.0,0,0,1034,9,5,<= 0,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_2
1,4493908366163.372,0.0,2,0,1034,9,5,<= 0,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_2
0,4493908366163.372,0.0,0,0,1034,14,6,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T77_2
1,4493908366163.372,0.0,2,0,1034,14,6,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T77_2
0,4493908366167.064,0.0,0,0,1035,13,6,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T77_2
1,4493908366167.064,0.0,2,0,1035,13,6,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T77_2
0,4493908366158.875,0.0,0,0,1034,7,4,<= 0,LT_OREO VANILLA 110.4/105G_T51_4
1,4493908366158.875,0.0,2,0,1034,7,4,<= 0,LT_OREO VANILLA 110.4/105G_T51_4
0,4493908366158.875,0.0,0,0,1034,16,5,>= 1,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_2
1,4493908366158.875,0.0,2,0,1034,16,5,>= 1,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_2
0,4493908366165.399,0.0,0,0,1034,18,6,>= 1,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_1
1,4493908366165.399,0.0,2,0,1034,18,6,>= 1,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_1
0,4493908366161.643,0.0,0,0,1034,17,6,<= 0,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_1
1,4493908366161.643,0.0,2,0,1034,17,6,<= 0,PRICED_E2_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T37_1
