source,period,vehicle,from_store,to_store,sku,lt_qty,lt_unit_cost,lt_fixed_cost,lt_total_cost,pattern_id,lambda_value
CG_LT,100,,MM BINH PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,6.172889,LT_AN RICE CRACKER SEAWEED 111.3G_T100_2,1.0
CG_LT,100,,MM BINH PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.584153,LT_AN RICE CRACKER SEAWEED 111.3G_T100_4,1.0
CG_LT,100,,MM HIEP PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.70537,LT_AN RICE CRACKER SEAWEED 111.3G_T100_4,1.0
CG_LT,103,,MM BINH PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,0.908641,1.64497,LT_AN RICE CRACKER SEAWEED 111.3G_T103_2,0.45432
CG_LT,103,,MM BINH PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,4,0.6,0.908641,3.47769,LT_AN RICE CRACKER SEAWEED 111.3G_T103_2,0.45432
CG_LT,103,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,0.908641,1.367407,LT_AN RICE CRACKER SEAWEED 111.3G_T103_2,0.45432
CG_LT,103,,MM HIEP PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,2,0.6,0.908641,1.992623,LT_AN RICE CRACKER SEAWEED 111.3G_T103_2,0.45432
CG_LT,103,,MM BINH PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,2.0,5.083099,LT_AN RICE CRACKER SEAWEED 111.3G_T103_3,1.0
CG_LT,103,,MM BINH PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.924918,LT_AN RICE CRACKER SEAWEED 111.3G_T103_3,1.0
CG_LT,103,,MM HIEP PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,4,0.6,2.0,4.301507,LT_AN RICE CRACKER SEAWEED 111.3G_T103_3,1.0
CG_LT,103,,MM BINH PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.693693,LT_AN RICE CRACKER SEAWEED 111.3G_T103_4,1.0
