node_id,parent_id,depth,status,objective,fractional_lambda_count,branch_var,branch_lambda_value,branch_sense_from_parent,branch_value_from_parent,incumbent_objective
0,,0,branched,5110204442342.665,433,PRICED_E1_surplus_ratio_OREO VANILLA 110.4/105G_T68_1,0.49773628884606647,root,,inf
2,0.0,1,branched,5110204442342.665,433,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T68_2,0.49773628884606647,>= 1,1.0,inf
4,2.0,2,branched,5110204442362.475,431,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T66_2,0.4962866533982089,>= 1,1.0,inf
6,4.0,3,branched,5110204442362.475,431,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T66_3,0.4962866533982089,>= 1,1.0,inf
8,6.0,4,branched,5110204442367.962,430,LT_OREO VANILLA 110.4/105G_T71_2,0.4946967253209826,>= 1,1.0,inf
10,8.0,5,branched,5110204442368.204,430,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_1,0.5073827081334207,>= 1,1.0,inf
12,10.0,6,pruned_by_depth,5110204442368.204,430,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_2,0.5073827081334207,>= 1,1.0,inf
11,10.0,6,pruned_by_depth,5110204442369.219,430,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_3,0.5073827081334207,<= 0,0.0,inf
9,8.0,5,branched,5110204442368.743,429,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_1,0.5073827081334207,<= 0,0.0,inf
14,9.0,6,pruned_by_depth,5110204442368.743,429,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_2,0.5073827081334207,>= 1,1.0,inf
13,9.0,6,pruned_by_depth,5110204442369.758,429,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_3,0.5073827081334207,<= 0,0.0,inf
7,6.0,4,branched,5110204442362.475,431,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T66_1,0.4962866533982089,<= 0,0.0,inf
16,7.0,5,branched,5110204442367.962,430,LT_OREO VANILLA 110.4/105G_T71_2,0.4946967253209826,>= 1,1.0,inf
18,16.0,6,pruned_by_depth,5110204442368.204,430,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_2,0.5073827081334207,>= 1,1.0,inf
17,16.0,6,pruned_by_depth,5110204442368.743,429,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_2,0.5073827081334207,<= 0,0.0,inf
