candidate_pairs_before_pruning,pairs_after_pruning,pairs_accepted_stackelberg,pairs_recovered_stackelberg_fallback,patterns_built_before_dedup,patterns_deduplicated_before_gnn,patterns_removed_by_product_period_cap,patterns_built_before_gnn,max_columns_per_product_period,active_product_period_count,patterns_kept_after_gnn,collect_teacher_mode,runtime_gnn_mode,episode,duplicate_id_rejects,duplicate_signature_rejects,empty_flow_rejects,patterns_added_to_pool,selected_patterns,objective,improvement
1346,5384,8,4580,4580,3273,507,800,3,279,800,True,False,1,0,0,0,800,1136,5110204469716.383,42405374.703125
183,732,16,420,420,315,5,100,3,66,100,True,False,2,0,0,0,100,1185,5110204442344.3545,27372.0283203125
90,360,16,20,20,17,0,3,3,37,3,True,False,3,0,0,0,3,1186,5110204442342.665,1.689453125
87,348,16,8,8,8,0,0,3,37,0,True,False,4,0,0,0,0,1186,5110204442342.665,0.0
87,348,16,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1186,5110204442342.665,0.0
87,348,16,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1185,5110204442362.475,0.0
87,348,16,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1185,5110204442362.475,0.0
87,348,16,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1185,5110204442367.962,0.0
87,348,16,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1185,5110204442368.204,0.0
87,348,16,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1185,5110204442368.204,0.0
87,348,16,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1185,5110204442369.219,0.0
87,348,16,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1184,5110204442368.743,0.0
87,348,16,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1184,5110204442368.743,0.0
87,348,16,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1184,5110204442369.758,0.0
87,348,16,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1185,5110204442362.475,0.0
87,348,16,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1185,5110204442367.962,0.0
87,348,16,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1185,5110204442368.204,0.0
87,348,16,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1184,5110204442368.743,0.0
