episode,total_cost,improvement,proposed_columns,added_columns,selected_patterns,branch_node_id,branch_depth,branch_sense_from_parent,branch_var_from_parent
0,5110246875091.086,0.0,0,0,1303,0,0,root,
1,5110204469716.383,42405374.703125,800,800,1136,0,0,root,
2,5110204442344.3545,27372.0283203125,100,100,1185,0,0,root,
3,5110204442342.665,1.689453125,3,3,1186,0,0,root,
4,5110204442342.665,0.0,0,0,1186,0,0,root,
0,5110204442342.665,0.0,0,0,1186,2,1,>= 1,PRICED_E1_surplus_ratio_OREO VANILLA 110.4/105G_T68_1
1,5110204442342.665,0.0,0,0,1186,2,1,>= 1,PRICED_E1_surplus_ratio_OREO VANILLA 110.4/105G_T68_1
0,5110204442362.475,0.0,0,0,1185,4,2,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T68_2
1,5110204442362.475,0.0,0,0,1185,4,2,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T68_2
0,5110204442362.475,0.0,0,0,1185,6,3,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T66_2
1,5110204442362.475,0.0,0,0,1185,6,3,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T66_2
0,5110204442367.962,0.0,0,0,1185,8,4,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T66_3
1,5110204442367.962,0.0,0,0,1185,8,4,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T66_3
0,5110204442368.204,0.0,0,0,1185,10,5,>= 1,LT_OREO VANILLA 110.4/105G_T71_2
1,5110204442368.204,0.0,0,0,1185,10,5,>= 1,LT_OREO VANILLA 110.4/105G_T71_2
0,5110204442368.204,0.0,0,0,1185,12,6,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_1
1,5110204442368.204,0.0,0,0,1185,12,6,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_1
0,5110204442369.219,0.0,0,0,1185,11,6,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_1
1,5110204442369.219,0.0,0,0,1185,11,6,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_1
0,5110204442368.743,0.0,0,0,1184,9,5,<= 0,LT_OREO VANILLA 110.4/105G_T71_2
1,5110204442368.743,0.0,0,0,1184,9,5,<= 0,LT_OREO VANILLA 110.4/105G_T71_2
0,5110204442368.743,0.0,0,0,1184,14,6,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_1
1,5110204442368.743,0.0,0,0,1184,14,6,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_1
0,5110204442369.758,0.0,0,0,1184,13,6,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_1
1,5110204442369.758,0.0,0,0,1184,13,6,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T66_1
0,5110204442362.475,0.0,0,0,1185,7,4,<= 0,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T66_3
1,5110204442362.475,0.0,0,0,1185,7,4,<= 0,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T66_3
0,5110204442367.962,0.0,0,0,1185,16,5,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T66_1
1,5110204442367.962,0.0,0,0,1185,16,5,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T66_1
0,5110204442368.204,0.0,0,0,1185,18,6,>= 1,LT_OREO VANILLA 110.4/105G_T71_2
1,5110204442368.204,0.0,0,0,1185,18,6,>= 1,LT_OREO VANILLA 110.4/105G_T71_2
0,5110204442368.743,0.0,0,0,1184,17,6,<= 0,LT_OREO VANILLA 110.4/105G_T71_2
1,5110204442368.743,0.0,0,0,1184,17,6,<= 0,LT_OREO VANILLA 110.4/105G_T71_2
