store,period,forecast_demand,forecast_fulfilled_demand,forecast_shortage,forecast_fulfillment_rate,mode,total_realized_demand,fulfilled_demand,post_shock_shortage,post_shock_fulfillment_rate
MM AN PHU,1,113,113,0,1.0,pre_shock_forecast,,,,
MM AN PHU,2,151,151,0,1.0,pre_shock_forecast,,,,
MM AN PHU,3,51,51,0,1.0,pre_shock_forecast,,,,
MM AN PHU,4,221,221,0,1.0,pre_shock_forecast,,,,
MM AN PHU,5,133,133,0,1.0,pre_shock_forecast,,,,
MM AN PHU,6,70,70,0,1.0,pre_shock_forecast,,,,
MM AN PHU,7,88,0,88,0.0,pre_shock_forecast,,,,
MM AN PHU,8,194,0,194,0.0,pre_shock_forecast,,,,
MM AN PHU,9,137,0,137,0.0,pre_shock_forecast,,,,
MM AN PHU,10,137,0,137,0.0,pre_shock_forecast,,,,
MM AN PHU,11,214,112,102,0.523364,pre_shock_forecast,,,,
MM AN PHU,12,161,0,161,0.0,pre_shock_forecast,,,,
MM AN PHU,13,49,0,49,0.0,pre_shock_forecast,,,,
MM AN PHU,14,66,0,66,0.0,pre_shock_forecast,,,,
MM AN PHU,15,114,0,114,0.0,pre_shock_forecast,,,,
MM AN PHU,16,179,93,86,0.519553,pre_shock_forecast,,,,
MM AN PHU,17,219,0,219,0.0,pre_shock_forecast,,,,
MM AN PHU,18,262,0,262,0.0,pre_shock_forecast,,,,
MM AN PHU,19,221,0,221,0.0,pre_shock_forecast,,,,
MM AN PHU,20,66,0,66,0.0,pre_shock_forecast,,,,
MM AN PHU,21,109,109,0,1.0,pre_shock_forecast,,,,
MM AN PHU,22,69,0,69,0.0,pre_shock_forecast,,,,
MM AN PHU,23,125,0,125,0.0,pre_shock_forecast,,,,
MM AN PHU,24,76,0,76,0.0,pre_shock_forecast,,,,
MM AN PHU,25,87,0,87,0.0,pre_shock_forecast,,,,
MM AN PHU,26,211,186,25,0.881517,pre_shock_forecast,,,,
MM AN PHU,27,56,0,56,0.0,pre_shock_forecast,,,,
MM AN PHU,28,134,0,134,0.0,pre_shock_forecast,,,,
MM AN PHU,29,98,0,98,0.0,pre_shock_forecast,,,,
MM AN PHU,30,202,0,202,0.0,pre_shock_forecast,,,,
MM AN PHU,31,129,129,0,1.0,pre_shock_forecast,,,,
MM AN PHU,32,177,0,177,0.0,pre_shock_forecast,,,,
MM AN PHU,33,137,0,137,0.0,pre_shock_forecast,,,,
MM AN PHU,34,137,0,137,0.0,pre_shock_forecast,,,,
MM AN PHU,35,137,0,137,0.0,pre_shock_forecast,,,,
MM AN PHU,36,111,111,0,1.0,pre_shock_forecast,,,,
MM AN PHU,37,136,0,136,0.0,pre_shock_forecast,,,,
MM AN PHU,38,139,0,139,0.0,pre_shock_forecast,,,,
MM AN PHU,39,196,0,196,0.0,pre_shock_forecast,,,,
MM AN PHU,40,307,0,307,0.0,pre_shock_forecast,,,,
MM AN PHU,41,45,45,0,1.0,pre_shock_forecast,,,,
MM AN PHU,42,37,37,0,1.0,pre_shock_forecast,,,,
MM AN PHU,43,89,89,0,1.0,pre_shock_forecast,,,,
MM AN PHU,44,75,75,0,1.0,pre_shock_forecast,,,,
MM AN PHU,45,76,76,0,1.0,pre_shock_forecast,,,,
MM AN PHU,46,66,66,0,1.0,pre_shock_forecast,,,,
MM AN PHU,47,119,0,119,0.0,pre_shock_forecast,,,,
MM AN PHU,48,72,0,72,0.0,pre_shock_forecast,,,,
MM AN PHU,49,156,0,156,0.0,pre_shock_forecast,,,,
