source,period,vehicle,from_store,to_store,sku,lt_qty,lt_unit_cost,lt_fixed_cost,lt_total_cost,pattern_id,lambda_value
CG_LT,100,,MM BIEN HOA,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,5,0.6,2.0,5.125664,LT_AN RICE CRACKER SEAWEED 111.3G_T100_4,1.0
CG_LT,100,,MM BINH PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,5.976661,LT_AN RICE CRACKER SEAWEED 111.3G_T100_4,1.0
CG_LT,103,,MM BIEN HOA,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,3,0.6,1.324439,3.355591,LT_AN RICE CRACKER SEAWEED 111.3G_T103_1,0.66222
CG_LT,103,,MM BINH PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,1.324439,4.451339,LT_AN RICE CRACKER SEAWEED 111.3G_T103_1,0.66222
CG_LT,103,,MM HIEP PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,2,0.6,1.324439,2.278834,LT_AN RICE CRACKER SEAWEED 111.3G_T103_1,0.66222
CG_LT,103,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,10,0.6,2.0,7.909859,LT_AN RICE CRACKER SEAWEED 111.3G_T103_3,1.0
CG_LT,103,,MM BINH PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.539484,LT_AN RICE CRACKER SEAWEED 111.3G_T103_3,1.0
CG_LT,103,,MM HIEP PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,10,0.6,2.0,7.796127,LT_AN RICE CRACKER SEAWEED 111.3G_T103_3,1.0
CG_LT,103,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.274286,LT_AN RICE CRACKER SEAWEED 111.3G_T103_4,1.0
CG_LT,103,,MM BIEN HOA,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,5,0.6,2.0,5.093733,LT_AN RICE CRACKER SEAWEED 111.3G_T103_4,1.0
CG_LT,103,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,2.0,3.888956,LT_AN RICE CRACKER SEAWEED 111.3G_T103_5,1.0
CG_LT,103,,MM BIEN HOA,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,6,0.6,2.0,5.528622,LT_AN RICE CRACKER SEAWEED 111.3G_T103_5,1.0
CG_LT,104,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,2.0,2.605651,LT_AN RICE CRACKER SEAWEED 111.3G_T104_1,1.0
CG_LT,104,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.646724,LT_AN RICE CRACKER SEAWEED 111.3G_T104_1,1.0
CG_LT,104,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,2.0,2.753907,LT_AN RICE CRACKER SEAWEED 111.3G_T104_1,1.0
CG_LT,104,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,4,0.6,2.0,4.257822,LT_AN RICE CRACKER SEAWEED 111.3G_T104_3,1.0
