iteration,current_cost,candidate_cost,best_cost,temperature,accepted,new_best,destroy_op,repair_op,feasible
0,5267449250869.997,5267449250869.997,5267449250869.997,263372462544.49988,1.0,1.0,initial,initial,1.0
1,5110230337353.696,5110230337353.696,5110230337353.696,263372462544.49988,1.0,1.0,destroy_random_route,repair_random,1.0
2,5239328293913.197,5239328293913.197,5110230337353.696,262845717619.4109,1.0,0.0,destroy_random_delivery,repair_random,1.0
3,5255563678663.197,5255563678663.197,5110230337353.696,262320026184.17206,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
4,5261392795949.298,5261392795949.298,5110230337353.696,261795386131.8037,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
5,5261392795949.298,5558379827548.197,5110230337353.696,261271795359.5401,0.0,0.0,destroy_worst_delivery,repair_random,1.0
6,5572183122753.496,5572183122753.496,5110230337353.696,260749251768.821,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
7,5596163427085.296,5596163427085.296,5110230337353.696,260227753265.2834,1.0,0.0,destroy_random_period,repair_regret2,1.0
8,5647392895676.597,5647392895676.597,5110230337353.696,259707297758.7528,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
9,5647392895676.597,5760596903843.997,5110230337353.696,259187883163.2353,0.0,0.0,destroy_random_route,repair_greedy,1.0
10,5658157752315.397,5658157752315.397,5110230337353.696,258669507396.9088,1.0,0.0,destroy_shaw_stores,repair_random,1.0
11,5743228281900.998,5743228281900.998,5110230337353.696,258152168382.115,1.0,0.0,destroy_random_route,repair_regret2,1.0
12,5744825655823.998,5744825655823.998,5110230337353.696,257635864045.35077,1.0,0.0,destroy_random_period,repair_regret2,1.0
13,5761744435515.998,5761744435515.998,5110230337353.696,257120592317.26007,1.0,0.0,destroy_random_period,repair_greedy,1.0
14,5781935860202.499,5781935860202.499,5110230337353.696,256606351132.62555,1.0,0.0,destroy_random_route,repair_random,1.0
15,5781935860102.599,5781935860102.599,5110230337353.696,256093138430.3603,1.0,0.0,destroy_random_period,repair_regret2,1.0
16,5781935860102.599,5781935860102.599,5110230337353.696,255580952153.49957,1.0,0.0,destroy_random_period,repair_random,1.0
17,5902103007548.499,5902103007548.499,5110230337353.696,255069790249.19257,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
18,5902103007492.6,5902103007492.6,5110230337353.696,254559650668.69418,1.0,0.0,destroy_random_period,repair_greedy,1.0
19,5902103007522.3,5902103007522.3,5110230337353.696,254050531367.35678,1.0,0.0,destroy_random_delivery,repair_random,1.0
20,5902103007522.3,5902103007522.3,5110230337353.696,253542430304.62207,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
21,5915413377165.899,5915413377165.899,5110230337353.696,253035345444.01282,1.0,0.0,destroy_random_route,repair_greedy,1.0
22,5904066118222.199,5904066118222.199,5110230337353.696,252529274753.1248,1.0,0.0,destroy_worst_delivery,repair_random,1.0
23,5904066118222.199,5904066118222.199,5110230337353.696,252024216203.61853,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
24,5904066118222.199,5904066118222.199,5110230337353.696,251520167771.2113,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
25,5904066118222.199,5904066118222.199,5110230337353.696,251017127435.66888,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
26,5915874863634.399,5915874863634.399,5110230337353.696,250515093180.79755,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
27,5915874863639.3,5915874863639.3,5110230337353.696,250014062994.43594,1.0,0.0,destroy_shaw_stores,repair_random,1.0
28,5908592550545.998,5908592550545.998,5110230337353.696,249514034868.44708,1.0,0.0,destroy_random_route,repair_regret2,1.0
29,5904066117756.298,5904066117756.298,5110230337353.696,249015006798.71017,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
30,5904066117756.298,5904066117756.298,5110230337353.696,248516976785.11276,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
31,5904066118201.798,5904066118201.798,5110230337353.696,248019942831.54254,1.0,0.0,destroy_random_route,repair_random,1.0
32,5904066118185.198,5904066118185.198,5110230337353.696,247523902945.87946,1.0,0.0,destroy_random_period,repair_regret2,1.0
33,5904066118185.198,5904066118185.198,5110230337353.696,247028855139.9877,1.0,0.0,destroy_random_period,repair_regret2,1.0
34,5904066118185.198,5904066118185.198,5110230337353.696,246534797429.70773,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
35,5904066118199.099,5904066118199.099,5110230337353.696,246041727834.84833,1.0,0.0,destroy_shaw_stores,repair_random,1.0
36,5904066118266.398,5904066118266.398,5110230337353.696,245549644379.17862,1.0,0.0,destroy_random_period,repair_random,1.0
37,5904066118266.398,5904066118266.398,5110230337353.696,245058545090.42026,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
38,5902103007144.398,5902103007144.398,5110230337353.696,244568428000.2394,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
39,5902103006993.898,5902103006993.898,5110230337353.696,244079291144.23892,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
40,5906847610106.597,5906847610106.597,5110230337353.696,243591132561.95044,1.0,0.0,destroy_random_route,repair_regret2,1.0
41,5906847610041.397,5906847610041.397,5110230337353.696,243103950296.82654,1.0,0.0,destroy_random_route,repair_greedy,1.0
42,5906847610041.397,5906847610041.397,5110230337353.696,242617742396.23288,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
43,5906847610138.397,5906847610138.397,5110230337353.696,242132506911.4404,1.0,0.0,destroy_random_period,repair_random,1.0
44,5897143568414.695,5897143568414.695,5110230337353.696,241648241897.61752,1.0,0.0,destroy_worst_delivery,repair_random,1.0
45,5904066118069.8955,5904066118069.8955,5110230337353.696,241164945413.8223,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
46,5904066118444.197,5904066118444.197,5110230337353.696,240682615522.99466,1.0,0.0,destroy_random_route,repair_random,1.0
47,5904066118444.197,5904066118444.197,5110230337353.696,240201250291.94867,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
48,5904066118444.197,5904066118444.197,5110230337353.696,239720847791.36478,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
49,5904066118444.197,5904066118444.197,5110230337353.696,239241406095.78204,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
50,5904066118378.997,5904066118378.997,5110230337353.696,238762923283.59048,1.0,0.0,destroy_random_period,repair_greedy,1.0
51,5904066117817.8955,5904066117817.8955,5110230337353.696,238285397437.02332,1.0,0.0,destroy_random_route,repair_regret2,1.0
52,5904066117817.8955,5904066117817.8955,5110230337353.696,237808826642.14926,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
53,5897143568255.995,5897143568255.995,5110230337353.696,237333208988.86496,1.0,0.0,destroy_worst_delivery,repair_random,1.0
54,5911206686639.095,5911206686639.095,5110230337353.696,236858542570.88724,1.0,0.0,destroy_random_route,repair_regret2,1.0
55,5911206686639.095,5911206686639.095,5110230337353.696,236384825485.74545,1.0,0.0,destroy_random_period,repair_regret2,1.0
56,5911206686467.495,5911206686467.495,5110230337353.696,235912055834.77396,1.0,0.0,destroy_random_route,repair_greedy,1.0
57,5939250607450.995,5939250607450.995,5110230337353.696,235440231723.1044,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
58,5932319552522.995,5932319552522.995,5110230337353.696,234969351259.6582,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
59,5932319552941.394,5932319552941.394,5110230337353.696,234499412557.1389,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
60,5933225952536.394,5933225952536.394,5110230337353.696,234030413732.0246,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
61,5933225952469.094,5933225952469.094,5110230337353.696,233562352904.56055,1.0,0.0,destroy_random_period,repair_regret2,1.0
62,5933225952333.395,5933225952333.395,5110230337353.696,233095228198.75143,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
63,5933225952388.295,5933225952388.295,5110230337353.696,232629037742.35394,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
64,5939979109223.295,5939979109223.295,5110230337353.696,232163779666.86923,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
65,5939979109307.295,5939979109307.295,5110230337353.696,231699452107.5355,1.0,0.0,destroy_shaw_stores,repair_random,1.0
66,5939979109105.3955,5939979109105.3955,5110230337353.696,231236053203.32043,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
67,5939979109105.3955,5939979109105.3955,5110230337353.696,230773581096.9138,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
68,5919674964853.3955,5919674964853.3955,5110230337353.696,230312033934.71997,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
69,5919674965003.8955,5919674965003.8955,5110230337353.696,229851409866.85052,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
70,5917778392049.296,5917778392049.296,5110230337353.696,229391707047.11682,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
71,5917778392123.695,5917778392123.695,5110230337353.696,228932923633.02258,1.0,0.0,destroy_shaw_stores,repair_random,1.0
72,5911780868783.996,5911780868783.996,5110230337353.696,228475057785.75653,1.0,0.0,destroy_random_period,repair_regret2,1.0
73,5911780868768.096,5911780868768.096,5110230337353.696,228018107670.18503,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
74,5911780868768.096,5911780868768.096,5110230337353.696,227562071454.84467,1.0,0.0,destroy_random_period,repair_regret2,1.0
75,5911780868768.096,5911780868768.096,5110230337353.696,227106947311.93497,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
76,5911780868679.595,5911780868679.595,5110230337353.696,226652733417.3111,1.0,0.0,destroy_random_route,repair_regret2,1.0
77,5911780868762.795,5911780868762.795,5110230337353.696,226199427950.47647,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
78,5911780868762.795,5911780868762.795,5110230337353.696,225747029094.57553,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
79,5905291324869.395,5905291324869.395,5110230337353.696,225295535036.38638,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
80,5905291324869.395,5905291324869.395,5110230337353.696,224844943966.3136,1.0,0.0,destroy_random_period,repair_greedy,1.0
81,5905291324873.8955,5905291324873.8955,5110230337353.696,224395254078.38098,1.0,0.0,destroy_random_period,repair_greedy,1.0
82,5905291324941.195,5905291324941.195,5110230337353.696,223946463570.2242,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
83,5903337517770.095,5903337517770.095,5110230337353.696,223498570643.08377,1.0,0.0,destroy_worst_delivery,repair_random,1.0
84,5903337517770.095,5903337517770.095,5110230337353.696,223051573501.7976,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
85,5903337517835.693,5903337517835.693,5110230337353.696,222605470354.794,1.0,0.0,destroy_shaw_stores,repair_random,1.0
86,5910260067472.594,5910260067472.594,5110230337353.696,222160259414.0844,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
87,5907626940671.294,5907626940671.294,5110230337353.696,221715938895.25626,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
88,5907626940667.895,5907626940667.895,5110230337353.696,221272507017.46573,1.0,0.0,destroy_shaw_stores,repair_random,1.0
89,5907626940667.895,5907626940667.895,5110230337353.696,220829962003.4308,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
90,5907626940598.194,5907626940598.194,5110230337353.696,220388302079.42392,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
91,5903337517695.294,5903337517695.294,5110230337353.696,219947525475.26508,1.0,0.0,destroy_worst_delivery,repair_random,1.0
92,5902103006941.093,5902103006941.093,5110230337353.696,219507630424.31454,1.0,0.0,destroy_worst_delivery,repair_random,1.0
93,5902103007008.393,5902103007008.393,5110230337353.696,219068615163.4659,1.0,0.0,destroy_random_period,repair_random,1.0
94,5902103007092.393,5902103007092.393,5110230337353.696,218630477933.13898,1.0,0.0,destroy_random_period,repair_random,1.0
95,5902103007092.393,5902103007092.393,5110230337353.696,218193216977.2727,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
96,5902103007055.693,5902103007055.693,5110230337353.696,217756830543.31815,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
97,5902103007071.594,5902103007071.594,5110230337353.696,217321316882.2315,1.0,0.0,destroy_random_period,repair_random,1.0
98,5902103007071.594,5902103007071.594,5110230337353.696,216886674248.46704,1.0,0.0,destroy_random_period,repair_regret2,1.0
99,5902103007071.594,5902103007071.594,5110230337353.696,216452900899.9701,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
100,5902103007060.193,5902103007060.193,5110230337353.696,216019995098.17017,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
