node_id,parent_id,depth,status,objective,fractional_lambda_count,branch_var,branch_lambda_value,branch_sense_from_parent,branch_value_from_parent,incumbent_objective
0,,0,branched,5110204450885.837,420,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T9_2,0.5019599417631802,root,,inf
2,0.0,1,branched,5110204450886.833,420,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T9_1,0.5019599417631802,>= 1,1.0,inf
4,2.0,2,infeasible,inf,0,,,>= 1,1.0,inf
3,2.0,2,branched,5110204454844.908,420,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T139_2,0.49657186850898183,<= 0,0.0,inf
6,3.0,3,branched,5110204454844.908,420,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T139_1,0.49657186850898183,>= 1,1.0,inf
8,6.0,4,branched,5110204454844.908,420,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T139_3,0.49657186850898183,>= 1,1.0,inf
10,8.0,5,branched,5110204454865.024,419,LT_OREO VANILLA 110.4/105G_T148_2,0.49473701451442487,>= 1,1.0,inf
12,10.0,6,pruned_by_depth,5110204454865.489,419,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T134_1,0.5052950692938216,>= 1,1.0,inf
11,10.0,6,pruned_by_depth,5110204454865.284,419,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T134_1,0.5052950692938216,<= 0,0.0,inf
9,8.0,5,branched,5110204454852.141,420,LT_OREO VANILLA 110.4/105G_T148_2,0.49473701451442487,<= 0,0.0,inf
14,9.0,6,pruned_by_depth,5110204454852.605,420,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T134_1,0.5052950692938216,>= 1,1.0,inf
13,9.0,6,pruned_by_depth,5110204454852.4,420,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T134_1,0.5052950692938216,<= 0,0.0,inf
7,6.0,4,branched,5110204454852.141,420,LT_OREO VANILLA 110.4/105G_T148_2,0.49473701451442487,<= 0,0.0,inf
16,7.0,5,branched,5110204454852.605,420,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T134_3,0.5052950692938216,>= 1,1.0,inf
18,16.0,6,pruned_by_depth,5110204454852.605,420,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T134_1,0.5052950692938216,>= 1,1.0,inf
