candidate_pairs_before_pruning,pairs_after_pruning,pairs_accepted_stackelberg,pairs_recovered_stackelberg_fallback,patterns_built_before_dedup,patterns_deduplicated_before_gnn,patterns_removed_by_product_period_cap,patterns_built_before_gnn,max_columns_per_product_period,active_product_period_count,patterns_kept_after_gnn,collect_teacher_mode,runtime_gnn_mode,episode,duplicate_id_rejects,duplicate_signature_rejects,empty_flow_rejects,patterns_added_to_pool,selected_patterns,objective,improvement
1348,5392,40,4532,4532,3252,493,787,3,277,787,True,False,1,0,0,0,787,1138,5110204473078.05,42243279.20800781
216,864,44,484,484,361,10,113,3,72,113,True,False,2,0,0,0,113,1185,5110204450888.73,22189.3193359375
109,436,44,24,24,20,0,4,3,39,4,True,False,3,0,0,0,4,1187,5110204450885.837,2.8935546875
107,428,44,8,8,8,0,0,3,38,0,True,False,4,0,0,0,0,1187,5110204450885.837,0.0
104,416,44,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1187,5110204450886.833,0.0
1618,6472,8,0,0,0,0,0,3,295,0,True,False,1,0,0,0,0,0,inf,0.0
105,420,44,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1190,5110204454844.908,0.0
102,408,44,8,8,8,0,0,3,36,0,True,False,1,0,0,0,0,1190,5110204454844.908,0.0
105,420,44,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1190,5110204454844.908,0.0
107,428,44,8,8,8,0,0,3,38,0,True,False,1,0,0,0,0,1190,5110204454865.024,0.0
105,420,44,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1190,5110204454865.489,0.0
105,420,44,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1190,5110204454865.284,0.0
102,408,44,8,8,8,0,0,3,36,0,True,False,1,0,0,0,0,1191,5110204454852.141,0.0
104,416,44,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1191,5110204454852.605,0.0
104,416,44,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1191,5110204454852.4,0.0
105,420,44,8,8,8,0,0,3,37,0,True,False,1,0,0,0,0,1191,5110204454852.141,0.0
107,428,44,8,8,8,0,0,3,38,0,True,False,1,0,0,0,0,1191,5110204454852.605,0.0
102,408,44,8,8,8,0,0,3,36,0,True,False,1,0,0,0,0,1191,5110204454852.605,0.0
