episode,total_cost,improvement,proposed_columns,added_columns,selected_patterns,branch_node_id,branch_depth,branch_sense_from_parent,branch_var_from_parent
0,5110246716357.258,0.0,0,0,1322,0,0,root,
1,5110204473078.05,42243279.20800781,787,787,1138,0,0,root,
2,5110204450888.73,22189.3193359375,113,113,1185,0,0,root,
3,5110204450885.837,2.8935546875,4,4,1187,0,0,root,
4,5110204450885.837,0.0,0,0,1187,0,0,root,
0,5110204450886.833,0.0,0,0,1187,2,1,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T9_2
1,5110204450886.833,0.0,0,0,1187,2,1,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T9_2
0,inf,0.0,0,0,0,4,2,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T9_1
1,inf,0.0,0,0,0,4,2,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T9_1
0,5110204454844.908,0.0,0,0,1190,3,2,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T9_1
1,5110204454844.908,0.0,0,0,1190,3,2,<= 0,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T9_1
0,5110204454844.908,0.0,0,0,1190,6,3,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T139_2
1,5110204454844.908,0.0,0,0,1190,6,3,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T139_2
0,5110204454844.908,0.0,0,0,1190,8,4,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T139_1
1,5110204454844.908,0.0,0,0,1190,8,4,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T139_1
0,5110204454865.024,0.0,0,0,1190,10,5,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T139_3
1,5110204454865.024,0.0,0,0,1190,10,5,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T139_3
0,5110204454865.489,0.0,0,0,1190,12,6,>= 1,LT_OREO VANILLA 110.4/105G_T148_2
1,5110204454865.489,0.0,0,0,1190,12,6,>= 1,LT_OREO VANILLA 110.4/105G_T148_2
0,5110204454865.284,0.0,0,0,1190,11,6,<= 0,LT_OREO VANILLA 110.4/105G_T148_2
1,5110204454865.284,0.0,0,0,1190,11,6,<= 0,LT_OREO VANILLA 110.4/105G_T148_2
0,5110204454852.141,0.0,0,0,1191,9,5,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T139_3
1,5110204454852.141,0.0,0,0,1191,9,5,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T139_3
0,5110204454852.605,0.0,0,0,1191,14,6,>= 1,LT_OREO VANILLA 110.4/105G_T148_2
1,5110204454852.605,0.0,0,0,1191,14,6,>= 1,LT_OREO VANILLA 110.4/105G_T148_2
0,5110204454852.4,0.0,0,0,1191,13,6,<= 0,LT_OREO VANILLA 110.4/105G_T148_2
1,5110204454852.4,0.0,0,0,1191,13,6,<= 0,LT_OREO VANILLA 110.4/105G_T148_2
0,5110204454852.141,0.0,0,0,1191,7,4,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T139_1
1,5110204454852.141,0.0,0,0,1191,7,4,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T139_1
0,5110204454852.605,0.0,0,0,1191,16,5,>= 1,LT_OREO VANILLA 110.4/105G_T148_2
1,5110204454852.605,0.0,0,0,1191,16,5,>= 1,LT_OREO VANILLA 110.4/105G_T148_2
0,5110204454852.605,0.0,0,0,1191,18,6,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T134_3
1,5110204454852.605,0.0,0,0,1191,18,6,>= 1,PRICED_E1_shortage_ratio_AN RICE CRACKER SEAWEED 111.3G_T134_3
