store,period,forecast_demand,forecast_fulfilled_demand,forecast_shortage,forecast_fulfillment_rate,mode,total_realized_demand,fulfilled_demand,post_shock_shortage,post_shock_fulfillment_rate
MM AN PHU,1,113.0,113.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,2,151.0,151.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,3,51.0,51.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,4,221.0,221.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,5,133.0,133.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,6,70.0,70.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,7,88.0,0.0,88.0,0.0,pre_shock_forecast,,,,
MM AN PHU,8,194.0,0.0,194.0,0.0,pre_shock_forecast,,,,
MM AN PHU,9,137.0,0.0,137.0,0.0,pre_shock_forecast,,,,
MM AN PHU,10,137.0,0.0,137.0,0.0,pre_shock_forecast,,,,
MM AN PHU,11,214.0,112.0,102.0,0.523364,pre_shock_forecast,,,,
MM AN PHU,12,161.0,0.0,161.0,0.0,pre_shock_forecast,,,,
MM AN PHU,13,49.0,0.0,49.0,0.0,pre_shock_forecast,,,,
MM AN PHU,14,66.0,0.0,66.0,0.0,pre_shock_forecast,,,,
MM AN PHU,15,114.0,0.0,114.0,0.0,pre_shock_forecast,,,,
MM AN PHU,16,179.0,93.0,86.0,0.519553,pre_shock_forecast,,,,
MM AN PHU,17,219.0,0.0,219.0,0.0,pre_shock_forecast,,,,
MM AN PHU,18,262.0,0.0,262.0,0.0,pre_shock_forecast,,,,
MM AN PHU,19,221.0,0.0,221.0,0.0,pre_shock_forecast,,,,
MM AN PHU,20,66.0,0.0,66.0,0.0,pre_shock_forecast,,,,
MM AN PHU,21,109.0,109.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,22,69.0,0.0,69.0,0.0,pre_shock_forecast,,,,
MM AN PHU,23,125.0,0.0,125.0,0.0,pre_shock_forecast,,,,
MM AN PHU,24,76.0,0.0,76.0,0.0,pre_shock_forecast,,,,
MM AN PHU,25,87.0,0.0,87.0,0.0,pre_shock_forecast,,,,
MM AN PHU,26,211.0,186.0,25.0,0.881517,pre_shock_forecast,,,,
MM AN PHU,27,56.0,0.0,56.0,0.0,pre_shock_forecast,,,,
MM AN PHU,28,134.0,0.0,134.0,0.0,pre_shock_forecast,,,,
MM AN PHU,29,98.0,0.0,98.0,0.0,pre_shock_forecast,,,,
MM AN PHU,30,202.0,0.0,202.0,0.0,pre_shock_forecast,,,,
MM AN PHU,31,129.0,129.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,32,177.0,0.0,177.0,0.0,pre_shock_forecast,,,,
MM AN PHU,33,137.0,0.0,137.0,0.0,pre_shock_forecast,,,,
MM AN PHU,34,137.0,0.0,137.0,0.0,pre_shock_forecast,,,,
MM AN PHU,35,137.0,0.0,137.0,0.0,pre_shock_forecast,,,,
MM AN PHU,36,111.0,111.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,37,136.0,0.0,136.0,0.0,pre_shock_forecast,,,,
MM AN PHU,38,139.0,0.0,139.0,0.0,pre_shock_forecast,,,,
MM AN PHU,39,196.0,0.0,196.0,0.0,pre_shock_forecast,,,,
MM AN PHU,40,307.0,0.0,307.0,0.0,pre_shock_forecast,,,,
MM AN PHU,41,45.0,45.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,42,37.0,37.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,43,89.0,89.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,44,75.0,75.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,45,76.0,76.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,46,66.0,66.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,47,119.0,0.0,119.0,0.0,pre_shock_forecast,,,,
MM AN PHU,48,72.0,0.0,72.0,0.0,pre_shock_forecast,,,,
MM AN PHU,49,156.0,0.0,156.0,0.0,pre_shock_forecast,,,,
MM AN PHU,50,101.0,0.0,101.0,0.0,pre_shock_forecast,,,,
MM AN PHU,51,280.0,0.0,280.0,0.0,pre_shock_forecast,,,,
MM AN PHU,52,129.0,0.0,129.0,0.0,pre_shock_forecast,,,,
MM AN PHU,53,216.0,0.0,216.0,0.0,pre_shock_forecast,,,,
MM AN PHU,54,41.0,0.0,41.0,0.0,pre_shock_forecast,,,,
MM AN PHU,55,8.0,0.0,8.0,0.0,pre_shock_forecast,,,,
MM AN PHU,56,33.0,33.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,57,48.0,0.0,48.0,0.0,pre_shock_forecast,,,,
MM AN PHU,58,135.0,0.0,135.0,0.0,pre_shock_forecast,,,,
MM AN PHU,59,134.0,0.0,134.0,0.0,pre_shock_forecast,,,,
MM AN PHU,60,155.0,0.0,155.0,0.0,pre_shock_forecast,,,,
MM AN PHU,61,53.0,53.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,62,87.0,0.0,87.0,0.0,pre_shock_forecast,,,,
MM AN PHU,63,82.0,0.0,82.0,0.0,pre_shock_forecast,,,,
MM AN PHU,64,265.0,0.0,265.0,0.0,pre_shock_forecast,,,,
MM AN PHU,65,106.0,0.0,106.0,0.0,pre_shock_forecast,,,,
MM AN PHU,66,170.0,170.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,67,180.0,0.0,180.0,0.0,pre_shock_forecast,,,,
MM AN PHU,68,82.0,0.0,82.0,0.0,pre_shock_forecast,,,,
MM AN PHU,69,50.0,0.0,50.0,0.0,pre_shock_forecast,,,,
MM AN PHU,70,157.0,0.0,157.0,0.0,pre_shock_forecast,,,,
MM AN PHU,71,245.0,52.0,193.0,0.212245,pre_shock_forecast,,,,
MM AN PHU,72,154.0,0.0,154.0,0.0,pre_shock_forecast,,,,
MM AN PHU,73,115.0,0.0,115.0,0.0,pre_shock_forecast,,,,
MM AN PHU,74,108.0,0.0,108.0,0.0,pre_shock_forecast,,,,
MM AN PHU,75,40.0,0.0,40.0,0.0,pre_shock_forecast,,,,
MM AN PHU,76,44.0,44.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,77,52.0,52.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,78,64.0,64.0,0.0,1.0,pre_shock_forecast,,,,
