source,period,vehicle,from_store,to_store,sku,lt_qty,lt_unit_cost,lt_fixed_cost,lt_total_cost,pattern_id,lambda_value
CG_LT,100,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,7,0.6,1.628555,5.66445,LT_AN RICE CRACKER SEAWEED 111.3G_T100_1,0.814278
CG_LT,100,,MM HIEP PHU,MM BIEN HOA,AN RICE CRACKER SEAWEED 111.3G,2,0.6,1.628555,3.105372,LT_AN RICE CRACKER SEAWEED 111.3G_T100_1,0.814278
CG_LT,103,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,8,0.6,1.837995,6.539976,LT_AN RICE CRACKER SEAWEED 111.3G_T103_1,0.918998
CG_LT,103,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,1.837995,4.979188,LT_AN RICE CRACKER SEAWEED 111.3G_T103_1,0.918998
CG_LT,103,,MM HIEP PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,6,0.6,1.837995,5.544902,LT_AN RICE CRACKER SEAWEED 111.3G_T103_1,0.918998
CG_LT,103,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,10,0.6,2.0,7.922256,LT_AN RICE CRACKER SEAWEED 111.3G_T103_5,1.0
CG_LT,103,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.971784,LT_AN RICE CRACKER SEAWEED 111.3G_T103_5,1.0
CG_LT,103,,MM BIEN HOA,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,3,0.6,2.0,4.008438,LT_AN RICE CRACKER SEAWEED 111.3G_T103_5,1.0
CG_LT,103,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,2.0,3.070861,LT_AN RICE CRACKER SEAWEED 111.3G_T103_5,1.0
CG_LT,104,,MM HIEP PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,6.048441,LT_AN RICE CRACKER SEAWEED 111.3G_T104_3,1.0
CG_LT,104,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,1.254809,4.474582,LT_AN RICE CRACKER SEAWEED 111.3G_T104_5,0.627404
CG_LT,104,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,1.254809,4.749375,LT_AN RICE CRACKER SEAWEED 111.3G_T104_5,0.627404
CG_LT,104,,MM BIEN HOA,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,5,0.6,1.254809,4.163314,LT_AN RICE CRACKER SEAWEED 111.3G_T104_5,0.627404
CG_LT,105,,MM BIEN HOA,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,3,0.6,0.803611,2.418187,LT_AN RICE CRACKER SEAWEED 111.3G_T105_1,0.401806
CG_LT,105,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,0.803611,1.868363,LT_AN RICE CRACKER SEAWEED 111.3G_T105_1,0.401806
CG_LT,105,,MM HIEP PHU,MM BIEN HOA,AN RICE CRACKER SEAWEED 111.3G,1,0.6,0.803611,1.13025,LT_AN RICE CRACKER SEAWEED 111.3G_T105_1,0.401806
CG_LT,105,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,2.0,3.139094,LT_AN RICE CRACKER SEAWEED 111.3G_T105_5,1.0
CG_LT,105,,MM BIEN HOA,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,6.202471,LT_AN RICE CRACKER SEAWEED 111.3G_T105_5,1.0
CG_LT,105,,MM HIEP PHU,MM BIEN HOA,AN RICE CRACKER SEAWEED 111.3G,6,0.6,2.0,5.722129,LT_AN RICE CRACKER SEAWEED 111.3G_T105_5,1.0
CG_LT,106,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.499208,LT_AN RICE CRACKER SEAWEED 111.3G_T106_1,1.0
CG_LT,106,,MM DA NANG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,1.403251,5.024553,LT_AN RICE CRACKER SEAWEED 111.3G_T106_4,0.701625
CG_LT,106,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,1.403251,4.378067,LT_AN RICE CRACKER SEAWEED 111.3G_T106_4,0.701625
CG_LT,108,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.84705,LT_AN RICE CRACKER SEAWEED 111.3G_T108_1,1.0
CG_LT,108,,MM HIEP PHU,MM BIEN HOA,AN RICE CRACKER SEAWEED 111.3G,6,0.6,2.0,5.428294,LT_AN RICE CRACKER SEAWEED 111.3G_T108_1,1.0
CG_LT,108,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,2.0,3.854775,LT_AN RICE CRACKER SEAWEED 111.3G_T108_1,1.0
CG_LT,108,,MM HIEP PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,1,0.6,2.0,2.781861,LT_AN RICE CRACKER SEAWEED 111.3G_T108_1,1.0
CG_LT,108,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,4,0.6,2.0,4.610205,LT_AN RICE CRACKER SEAWEED 111.3G_T108_2,1.0
CG_LT,108,,MM HIEP PHU,MM BIEN HOA,AN RICE CRACKER SEAWEED 111.3G,10,0.6,2.0,7.802597,LT_AN RICE CRACKER SEAWEED 111.3G_T108_3,1.0
CG_LT,108,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,6.074018,LT_AN RICE CRACKER SEAWEED 111.3G_T108_3,1.0
CG_LT,108,,MM HIEP PHU,MM BIEN HOA,AN RICE CRACKER SEAWEED 111.3G,1,0.6,2.0,2.657336,LT_AN RICE CRACKER SEAWEED 111.3G_T108_4,1.0
CG_LT,108,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.671674,LT_AN RICE CRACKER SEAWEED 111.3G_T108_4,1.0
CG_LT,108,,MM HIEP PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.2878,LT_AN RICE CRACKER SEAWEED 111.3G_T108_4,1.0
CG_LT,108,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.642914,LT_AN RICE CRACKER SEAWEED 111.3G_T108_5,1.0
CG_LT,108,,MM HIEP PHU,MM BIEN HOA,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.5926,LT_AN RICE CRACKER SEAWEED 111.3G_T108_5,1.0
