iteration,current_cost,candidate_cost,best_cost,temperature,accepted,new_best,destroy_op,repair_op,feasible
0,9267893559557.607,9267893559557.607,9267893559557.607,463394677978.8804,1.0,1.0,initial,initial,1.0
1,9025597217001.004,9025597217001.004,9025597217001.004,463394677978.8804,1.0,1.0,destroy_random_route,repair_random,1.0
2,9025597217001.004,9317870333697.205,9025597217001.004,462467888622.9226,0.0,0.0,destroy_random_route,repair_random,1.0
3,9083763590660.902,9083763590660.902,9025597217001.004,461542952845.67676,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
4,9083763590660.902,9441700979053.9,9025597217001.004,460619866939.9854,0.0,0.0,destroy_random_route,repair_random,1.0
5,9090943307218.404,9090943307218.404,9025597217001.004,459698627206.10547,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
6,9424614771065.203,9424614771065.203,9025597217001.004,458779229951.69324,1.0,0.0,destroy_worst_delivery,repair_random,1.0
7,9430415314914.502,9430415314914.502,9025597217001.004,457861671491.78986,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
8,9438470863645.602,9438470863645.602,9025597217001.004,456945948148.8063,1.0,0.0,destroy_shaw_stores,repair_random,1.0
9,9489991538812.004,9489991538812.004,9025597217001.004,456032056252.50867,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
10,9489991538812.004,9544253593700.504,9025597217001.004,455119992140.00366,0.0,0.0,destroy_shaw_stores,repair_greedy,1.0
11,9558272188555.805,9558272188555.805,9025597217001.004,454209752155.72363,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
12,9558272188555.805,9789280242004.805,9025597217001.004,453301332651.4122,0.0,0.0,destroy_worst_delivery,repair_regret2,1.0
13,9559326008811.904,9559326008811.904,9025597217001.004,452394729986.1094,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
14,9560431685828.104,9560431685828.104,9025597217001.004,451489940526.13715,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
15,9746126304817.402,9746126304817.402,9025597217001.004,450586960645.0849,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
16,9758313950061.303,9758313950061.303,9025597217001.004,449685786723.79474,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
17,9758313950142.904,9758313950142.904,9025597217001.004,448786415150.34717,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
18,9803754346626.402,9803754346626.402,9025597217001.004,447888842320.04645,1.0,0.0,destroy_random_route,repair_random,1.0
19,9803754346624.8,9803754346624.8,9025597217001.004,446993064635.4064,1.0,0.0,destroy_shaw_stores,repair_random,1.0
20,9803754346632.102,9803754346632.102,9025597217001.004,446099078506.13556,1.0,0.0,destroy_shaw_stores,repair_random,1.0
21,9803754346632.102,9827451290359.1,9025597217001.004,445206880349.1233,0.0,0.0,destroy_random_route,repair_regret2,1.0
22,9803754346634.902,9803754346634.902,9025597217001.004,444316466588.42505,1.0,0.0,destroy_random_period,repair_random,1.0
23,9884129842648.396,9884129842648.396,9025597217001.004,443427833655.24817,1.0,0.0,destroy_random_route,repair_greedy,1.0
24,9884129842648.396,9884129842648.396,9025597217001.004,442540977987.9377,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
25,9908717098823.996,9908717098823.996,9025597217001.004,441655896031.9618,1.0,0.0,destroy_worst_delivery,repair_random,1.0
26,9897717709711.098,9897717709711.098,9025597217001.004,440772584239.8979,1.0,0.0,destroy_random_period,repair_regret2,1.0
27,9873266228162.998,9873266228162.998,9025597217001.004,439891039071.4181,1.0,0.0,destroy_random_route,repair_regret2,1.0
28,9861357252665.295,9861357252665.295,9025597217001.004,439011256993.27527,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
29,9804926124584.396,9804926124584.396,9025597217001.004,438133234479.2887,1.0,0.0,destroy_random_route,repair_regret2,1.0
30,9804926124584.396,9804926124584.396,9025597217001.004,437256968010.33014,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
31,9805265623332.496,9805265623332.496,9025597217001.004,436382454074.30945,1.0,0.0,destroy_random_period,repair_regret2,1.0
32,9801687169277.795,9801687169277.795,9025597217001.004,435509689166.1608,1.0,0.0,destroy_random_delivery,repair_random,1.0
33,9801687169359.396,9801687169359.396,9025597217001.004,434638669787.8285,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
34,9851035013816.498,9851035013816.498,9025597217001.004,433769392448.2528,1.0,0.0,destroy_random_route,repair_greedy,1.0
35,9846636238231.197,9846636238231.197,9025597217001.004,432901853663.3563,1.0,0.0,destroy_random_route,repair_random,1.0
36,9852050003564.197,9852050003564.197,9025597217001.004,432036049956.0296,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
37,9852050003652.998,9852050003652.998,9025597217001.004,431171977856.11755,1.0,0.0,destroy_random_period,repair_random,1.0
38,9852050003759.7,9852050003759.7,9025597217001.004,430309633900.40533,1.0,0.0,destroy_random_period,repair_random,1.0
39,9849403909352.0,9849403909352.0,9025597217001.004,429449014632.60455,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
40,9849403909352.0,9849403909352.0,9025597217001.004,428590116603.33936,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
41,9871254026185.1,9871254026185.1,9025597217001.004,427732936370.1327,1.0,0.0,destroy_random_period,repair_greedy,1.0
42,9856104613892.598,9856104613892.598,9025597217001.004,426877470497.3924,1.0,0.0,destroy_random_route,repair_regret2,1.0
43,9856104613892.598,9856104613892.598,9025597217001.004,426023715556.3976,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
44,9860889517407.598,9860889517407.598,9025597217001.004,425171668125.2848,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
45,9860889517407.598,9860889517407.598,9025597217001.004,424321324789.03424,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
46,9852623294576.598,9852623294576.598,9025597217001.004,423472682139.4562,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
47,9841644805891.0,9841644805891.0,9025597217001.004,422625736775.17725,1.0,0.0,destroy_random_period,repair_regret2,1.0
48,9880641719936.7,9880641719936.7,9025597217001.004,421780485301.6269,1.0,0.0,destroy_worst_delivery,repair_random,1.0
49,9880641719966.7,9880641719966.7,9025597217001.004,420936924331.0236,1.0,0.0,destroy_shaw_stores,repair_random,1.0
50,9880641719966.7,9880641719966.7,9025597217001.004,420095050482.3616,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
51,9880334982928.7,9880334982928.7,9025597217001.004,419254860381.39685,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
52,9875633124962.805,9875633124962.805,9025597217001.004,418416350660.63403,1.0,0.0,destroy_random_route,repair_random,1.0
53,9844987272387.305,9844987272387.305,9025597217001.004,417579517959.31274,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
54,9857818803003.203,9857818803003.203,9025597217001.004,416744358923.3941,1.0,0.0,destroy_random_route,repair_random,1.0
55,9858045577753.197,9858045577753.197,9025597217001.004,415910870205.5473,1.0,0.0,destroy_random_route,repair_random,1.0
56,9851447375074.197,9851447375074.197,9025597217001.004,415079048465.1362,1.0,0.0,destroy_random_delivery,repair_random,1.0
57,9837016623362.896,9837016623362.896,9025597217001.004,414248890368.20593,1.0,0.0,destroy_random_route,repair_regret2,1.0
58,9890405999578.594,9890405999578.594,9025597217001.004,413420392587.46954,1.0,0.0,destroy_random_route,repair_greedy,1.0
59,9890405999578.594,9890405999578.594,9025597217001.004,412593551802.2946,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
60,9890405999578.594,9890405999578.594,9025597217001.004,411768364698.69,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
61,9900146663279.895,9900146663279.895,9025597217001.004,410944827969.2926,1.0,0.0,destroy_worst_delivery,repair_random,1.0
62,9895843262008.895,9895843262008.895,9025597217001.004,410122938313.354,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
63,9895843261992.994,9895843261992.994,9025597217001.004,409302692436.7273,1.0,0.0,destroy_random_period,repair_greedy,1.0
64,9895843261992.994,9907799895423.295,9025597217001.004,408484087051.8538,0.0,0.0,destroy_worst_delivery,repair_greedy,1.0
65,9888281063193.395,9888281063193.395,9025597217001.004,407667118877.7501,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
66,9888281063260.695,9888281063260.695,9025597217001.004,406851784639.9946,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
67,9888281063260.695,9888281063260.695,9025597217001.004,406038081070.71466,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
68,9855048284088.795,9855048284088.795,9025597217001.004,405226004908.57324,1.0,0.0,destroy_random_route,repair_regret2,1.0
69,9855048284088.795,9855048284088.795,9025597217001.004,404415552898.7561,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
70,9854212909107.795,9854212909107.795,9025597217001.004,403606721792.9586,1.0,0.0,destroy_random_delivery,repair_random,1.0
71,9854518922339.895,9854518922339.895,9025597217001.004,402799508349.3727,1.0,0.0,destroy_random_delivery,repair_random,1.0
72,9854518922272.596,9854518922272.596,9025597217001.004,401993909332.67395,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
73,9854518922272.596,9854518922272.596,9025597217001.004,401189921514.0086,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
74,9873970633317.994,9873970633317.994,9025597217001.004,400387541670.9806,1.0,0.0,destroy_worst_delivery,repair_random,1.0
75,9875240063518.193,9875240063518.193,9025597217001.004,399586766587.6386,1.0,0.0,destroy_random_route,repair_regret2,1.0
76,9862879443137.193,9862879443137.193,9025597217001.004,398787593054.4633,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
77,9848187634766.793,9848187634766.793,9025597217001.004,397990017868.3544,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
78,9848187634766.793,9848187634766.793,9025597217001.004,397194037832.6177,1.0,0.0,destroy_random_period,repair_greedy,1.0
79,9903367854824.094,9903367854824.094,9025597217001.004,396399649756.95245,1.0,0.0,destroy_random_route,repair_greedy,1.0
80,9908264249133.094,9908264249133.094,9025597217001.004,395606850457.43854,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
81,9899070414155.893,9899070414155.893,9025597217001.004,394815636756.5237,1.0,0.0,destroy_random_route,repair_regret2,1.0
82,9939318274751.594,9939318274751.594,9025597217001.004,394026005483.0106,1.0,0.0,destroy_random_route,repair_greedy,1.0
83,9931302403733.695,9931302403733.695,9025597217001.004,393237953472.0446,1.0,0.0,destroy_random_period,repair_regret2,1.0
84,9936971500872.695,9936971500872.695,9025597217001.004,392451477565.1005,1.0,0.0,destroy_worst_delivery,repair_random,1.0
85,9936971500872.695,9936971500872.695,9025597217001.004,391666574609.97034,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
86,9874603732366.791,9874603732366.791,9025597217001.004,390883241460.75037,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
87,9874603732360.994,9874603732360.994,9025597217001.004,390101474977.82886,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
88,9866427583417.693,9866427583417.693,9025597217001.004,389321272027.87317,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
89,9834167371793.592,9834167371793.592,9025597217001.004,388542629483.81744,1.0,0.0,destroy_random_route,repair_regret2,1.0
90,9834167371793.592,9834167371793.592,9025597217001.004,387765544224.8498,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
91,9839123120232.592,9839123120232.592,9025597217001.004,386990013136.4001,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
92,9829341941420.094,9829341941420.094,9025597217001.004,386216033110.12726,1.0,0.0,destroy_random_delivery,repair_random,1.0
93,9829341941420.094,9847874951904.094,9025597217001.004,385443601043.907,0.0,0.0,destroy_shaw_stores,repair_random,1.0
94,9829341941414.293,9829341941414.293,9025597217001.004,384672713841.81915,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
95,9835088194895.193,9835088194895.193,9025597217001.004,383903368414.1355,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
96,9848038451936.193,9848038451936.193,9025597217001.004,383135561677.30725,1.0,0.0,destroy_worst_delivery,repair_random,1.0
97,9842189787217.193,9842189787217.193,9025597217001.004,382369290553.95264,1.0,0.0,destroy_worst_delivery,repair_random,1.0
98,9843462750505.393,9843462750505.393,9025597217001.004,381604551972.8447,1.0,0.0,destroy_worst_delivery,repair_random,1.0
99,9843462750505.393,9843462750505.393,9025597217001.004,380841342868.89905,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
100,9843462750516.893,9843462750516.893,9025597217001.004,380079660183.16125,1.0,0.0,destroy_random_period,repair_random,1.0
101,9843462750516.893,9843462750516.893,9025597217001.004,379319500862.7949,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
102,9840816656187.295,9840816656187.295,9025597217001.004,378560861861.06934,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
103,9840816656271.596,9840816656271.596,9025597217001.004,377803740137.34717,1.0,0.0,destroy_shaw_stores,repair_random,1.0
104,9836537954682.795,9836537954682.795,9025597217001.004,377048132657.07245,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
105,9829379100143.195,9829379100143.195,9025597217001.004,376294036391.7583,1.0,0.0,destroy_random_route,repair_random,1.0
106,9850517403105.596,9850517403105.596,9025597217001.004,375541448318.9748,1.0,0.0,destroy_random_period,repair_greedy,1.0
107,9843371017111.195,9843371017111.195,9025597217001.004,374790365422.33685,1.0,0.0,destroy_random_period,repair_random,1.0
108,9843371017111.195,9843371017111.195,9025597217001.004,374040784691.4922,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
109,9843371017111.195,9850787152803.195,9025597217001.004,373292703122.1092,0.0,0.0,destroy_worst_delivery,repair_regret2,1.0
110,9834227929966.693,9834227929966.693,9025597217001.004,372546117715.865,1.0,0.0,destroy_random_delivery,repair_random,1.0
111,9834227929953.693,9834227929953.693,9025597217001.004,371801025480.4333,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
112,9812464482475.793,9812464482475.793,9025597217001.004,371057423429.4724,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
113,9812464482448.893,9812464482448.893,9025597217001.004,370315308582.61346,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
114,9812464482448.893,9812464482448.893,9025597217001.004,369574677965.44824,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
115,9801485993779.992,9801485993779.992,9025597217001.004,368835528609.51733,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
116,9788997384349.393,9788997384349.393,9025597217001.004,368097857552.2983,1.0,0.0,destroy_random_route,repair_regret2,1.0
117,9789773138535.896,9789773138535.896,9025597217001.004,367361661837.19366,1.0,0.0,destroy_random_route,repair_regret2,1.0
118,9789773138707.098,9789773138707.098,9025597217001.004,366626938513.5193,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
119,9795624295358.998,9795624295358.998,9025597217001.004,365893684636.49225,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
120,9795624295264.297,9795624295264.297,9025597217001.004,365161897267.21924,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
121,9818165774298.197,9818165774298.197,9025597217001.004,364431573472.6848,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
122,9815777724597.098,9815777724597.098,9025597217001.004,363702710325.73944,1.0,0.0,destroy_random_delivery,repair_random,1.0
123,9815777724597.098,9815777724597.098,9025597217001.004,362975304905.08795,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
124,9815777724597.098,9815777724597.098,9025597217001.004,362249354295.2778,1.0,0.0,destroy_random_period,repair_greedy,1.0
125,9818621461011.896,9818621461011.896,9025597217001.004,361524855586.6872,1.0,0.0,destroy_random_delivery,repair_random,1.0
126,9818621460933.797,9818621460933.797,9025597217001.004,360801805875.5138,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
127,9818621460933.797,9818621460933.797,9025597217001.004,360080202263.76276,1.0,0.0,destroy_random_period,repair_regret2,1.0
128,9818054440698.797,9818054440698.797,9025597217001.004,359360041859.2352,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
129,9816239275840.695,9816239275840.695,9025597217001.004,358641321775.5168,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
130,9816239275840.695,9816239275840.695,9025597217001.004,357924039131.96576,1.0,0.0,destroy_random_period,repair_regret2,1.0
131,9807811878523.496,9807811878523.496,9025597217001.004,357208191053.70184,1.0,0.0,destroy_random_route,repair_random,1.0
132,9807811878523.496,9807811878523.496,9025597217001.004,356493774671.5944,1.0,0.0,destroy_random_period,repair_greedy,1.0
133,9807811878373.395,9807811878373.395,9025597217001.004,355780787122.2512,1.0,0.0,destroy_random_route,repair_regret2,1.0
134,9807811878393.994,9807811878393.994,9025597217001.004,355069225548.0067,1.0,0.0,destroy_random_period,repair_random,1.0
135,9807811878393.994,9896786652823.594,9025597217001.004,354359087096.9107,0.0,0.0,destroy_random_route,repair_greedy,1.0
136,9807811878424.496,9807811878424.496,9025597217001.004,353650368922.71686,1.0,0.0,destroy_random_period,repair_random,1.0
137,9807811878424.496,9807811878424.496,9025597217001.004,352943068184.8714,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
138,9807811878488.396,9807811878488.396,9025597217001.004,352237182048.50165,1.0,0.0,destroy_random_period,repair_random,1.0
139,9807811878488.396,9807811878488.396,9025597217001.004,351532707684.40466,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
140,9807811878474.197,9807811878474.197,9025597217001.004,350829642269.0358,1.0,0.0,destroy_random_period,repair_regret2,1.0
141,9870519687830.297,9870519687830.297,9025597217001.004,350127982984.49774,1.0,0.0,destroy_random_route,repair_random,1.0
142,9869228248110.998,9869228248110.998,9025597217001.004,349427727018.52875,1.0,0.0,destroy_random_delivery,repair_random,1.0
143,9888253870843.6,9888253870843.6,9025597217001.004,348728871564.4917,1.0,0.0,destroy_random_route,repair_random,1.0
144,9888041422070.6,9888041422070.6,9025597217001.004,348031413821.36273,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
145,9888041422070.6,9888041422070.6,9025597217001.004,347335350993.72003,1.0,0.0,destroy_random_period,repair_regret2,1.0
146,9888041422064.398,9888041422064.398,9025597217001.004,346640680291.7326,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
147,9882365377981.6,9882365377981.6,9025597217001.004,345947398931.1491,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
148,9820489702464.693,9820489702464.693,9025597217001.004,345255504133.2868,1.0,0.0,destroy_random_route,repair_random,1.0
149,9843308837261.795,9843308837261.795,9025597217001.004,344564993125.0202,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
150,9832428023699.795,9832428023699.795,9025597217001.004,343875863138.77014,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
151,9876052246284.295,9876052246284.295,9025597217001.004,343188111412.4926,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
152,9862746542399.297,9862746542399.297,9025597217001.004,342501735189.6676,1.0,0.0,destroy_random_period,repair_random,1.0
153,9845508936908.398,9845508936908.398,9025597217001.004,341816731719.28827,1.0,0.0,destroy_random_delivery,repair_random,1.0
154,9840542606420.096,9840542606420.096,9025597217001.004,341133098255.8497,1.0,0.0,destroy_random_route,repair_random,1.0
155,9840542606565.496,9840542606565.496,9025597217001.004,340450832059.33795,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
156,9840629163894.096,9840629163894.096,9025597217001.004,339769930395.2193,1.0,0.0,destroy_random_delivery,repair_random,1.0
157,9840629163748.697,9840629163748.697,9025597217001.004,339090390534.42883,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
158,9840629163651.096,9840629163651.096,9025597217001.004,338412209753.36,1.0,0.0,destroy_random_period,repair_regret2,1.0
159,9840629163398.996,9840629163398.996,9025597217001.004,337735385333.8533,1.0,0.0,destroy_random_route,repair_regret2,1.0
160,9846821513613.697,9846821513613.697,9025597217001.004,337059914563.18555,1.0,0.0,destroy_random_delivery,repair_random,1.0
161,9846821513613.697,9846821513613.697,9025597217001.004,336385794734.0592,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
162,9854855786856.697,9854855786856.697,9025597217001.004,335713023144.59106,1.0,0.0,destroy_worst_delivery,repair_random,1.0
163,9857158394701.896,9857158394701.896,9025597217001.004,335041597098.3019,1.0,0.0,destroy_random_period,repair_greedy,1.0
164,9856046802390.896,9856046802390.896,9025597217001.004,334371513904.1053,1.0,0.0,destroy_worst_delivery,repair_random,1.0
165,9853171062568.896,9853171062568.896,9025597217001.004,333702770876.29706,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
166,9878029614284.297,9878029614284.297,9025597217001.004,333035365334.54443,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
167,9870467415487.098,9870467415487.098,9025597217001.004,332369294603.87537,1.0,0.0,destroy_random_period,repair_regret2,1.0
168,9877651817018.398,9877651817018.398,9025597217001.004,331704556014.6676,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
169,9877651816938.598,9877651816938.598,9025597217001.004,331041146902.63824,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
170,9806542157349.094,9806542157349.094,9025597217001.004,330379064608.83295,1.0,0.0,destroy_random_route,repair_regret2,1.0
171,9824125607725.395,9824125607725.395,9025597217001.004,329718306479.6153,1.0,0.0,destroy_worst_delivery,repair_random,1.0
172,9816584451067.395,9816584451067.395,9025597217001.004,329058869866.65607,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
