node_id,parent_id,depth,status,objective,fractional_lambda_count,branch_var,branch_lambda_value,branch_sense_from_parent,branch_value_from_parent,incumbent_objective
0,,0,branched,9025560147056.145,932,LT_BANH GAO AN TAO BIEN 174.9G_T39_3,0.5003096845860386,root,,inf
2,0.0,1,branched,9025560147060.299,931,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T85_4,0.5013043480114354,>= 1,1.0,inf
4,2.0,2,branched,9025560147060.299,931,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T85_3,0.5013043480114354,>= 1,1.0,inf
6,4.0,3,branched,9025560147075.625,930,LT_BANH GAO AN TAO BIEN 174.9G_T44_5,0.5013839796739488,>= 1,1.0,inf
8,6.0,4,branched,9025560147077.354,929,LT_BANH GAO AN TAO BIEN 174.9G_T17_5,0.49709738868562725,>= 1,1.0,inf
10,8.0,5,branched,9025560147083.238,928,LT_BANH GAO AN TAO BIEN 174.9G_T17_3,0.5005355400817377,>= 1,1.0,inf
12,10.0,6,pruned_by_depth,9025560147083.81,927,LT_OREO VANILLA 110.4/105G_T8_2,0.4969707437653598,>= 1,1.0,inf
11,10.0,6,pruned_by_depth,9025560147088.35,928,LT_OREO VANILLA 110.4/105G_T8_2,0.4969707437653598,<= 0,0.0,inf
9,8.0,5,branched,9025560147078.672,929,LT_OREO VANILLA 110.4/105G_T8_2,0.4969707437653598,<= 0,0.0,inf
14,9.0,6,pruned_by_depth,9025560150463.967,930,LT_OREO VANILLA 110.4/105G_T78_1,0.49663280853729663,>= 1,1.0,inf
13,9.0,6,pruned_by_depth,9025560150372.5,930,LT_OREO VANILLA 110.4/105G_T78_1,0.49663280853729663,<= 0,0.0,inf
7,6.0,4,branched,9025560147076.75,929,LT_BANH GAO AN TAO BIEN 174.9G_T17_5,0.49709738868562725,<= 0,0.0,inf
16,7.0,5,branched,9025560147082.633,928,LT_BANH GAO AN TAO BIEN 174.9G_T17_3,0.5005355400817377,>= 1,1.0,inf
18,16.0,6,pruned_by_depth,9025560147083.207,927,LT_OREO VANILLA 110.4/105G_T8_2,0.4969707437653598,>= 1,1.0,inf
17,16.0,6,pruned_by_depth,9025560147087.746,928,LT_OREO VANILLA 110.4/105G_T8_2,0.4969707437653598,<= 0,0.0,inf
