candidate_pairs_before_pruning,pairs_after_pruning,pairs_accepted_stackelberg,pairs_recovered_stackelberg_fallback,patterns_built_before_dedup,patterns_deduplicated_before_gnn,patterns_removed_by_product_period_cap,patterns_built_before_gnn,max_columns_per_product_period,active_product_period_count,patterns_kept_after_gnn,collect_teacher_mode,runtime_gnn_mode,episode,duplicate_id_rejects,duplicate_signature_rejects,empty_flow_rejects,patterns_added_to_pool,selected_patterns,objective,improvement
2991,11964,140,7908,7980,5767,950,1263,3,448,1263,True,False,1,0,0,0,1263,2211,9025562373157.252,65172545.765625
645,2580,68,1740,1740,1309,42,389,3,188,389,True,False,2,0,0,0,389,2367,9025560154352.764,2218804.48828125
232,928,80,56,56,42,1,13,3,67,13,True,False,3,0,0,0,13,2377,9025560149580.172,4772.591796875
222,888,80,20,20,15,1,4,3,65,4,True,False,4,0,0,0,4,2380,9025560149087.898,492.2734375
223,892,80,24,24,18,1,5,3,65,5,True,False,5,0,0,0,5,2385,9025560148506.17,581.728515625
223,892,80,24,24,18,1,5,3,65,5,True,False,6,0,0,0,5,2390,9025560148055.742,450.427734375
223,892,80,24,24,18,1,5,3,65,5,True,False,7,0,0,0,5,2395,9025560147705.924,349.818359375
223,892,80,24,24,18,1,5,3,65,5,True,False,8,0,0,0,5,2400,9025560147433.65,272.2734375
223,892,80,24,24,18,1,5,3,65,5,True,False,9,0,0,0,5,2405,9025560147221.479,212.171875
223,892,80,24,24,18,1,5,3,65,5,True,False,10,0,0,0,5,2410,9025560147056.145,165.333984375
223,892,80,16,16,12,0,4,3,65,4,True,False,1,4,0,0,0,2410,9025560147060.299,0.0
223,892,80,16,16,12,0,4,3,65,4,True,False,1,4,0,0,0,2410,9025560147060.299,0.0
223,892,80,16,16,12,0,4,3,65,4,True,False,1,4,0,0,0,2410,9025560147075.625,0.0
223,892,80,16,16,12,0,4,3,65,4,True,False,1,4,0,0,0,2409,9025560147077.354,0.0
223,892,80,16,16,12,0,4,3,65,4,True,False,1,4,0,0,0,2409,9025560147083.238,0.0
223,892,80,16,16,12,0,4,3,65,4,True,False,1,4,0,0,0,2409,9025560147083.81,0.0
223,892,80,16,16,12,0,4,3,65,4,True,False,1,4,0,0,0,2409,9025560147088.35,0.0
223,892,80,16,16,12,0,4,3,65,4,True,False,1,4,0,0,0,2409,9025560147078.672,0.0
226,904,80,24,24,18,0,6,3,66,6,True,False,1,6,0,0,0,2409,9025560150463.967,0.0
226,904,80,24,24,18,0,6,3,66,6,True,False,1,6,0,0,0,2410,9025560150372.5,0.0
225,900,80,24,24,18,0,6,3,66,6,True,False,1,6,0,0,0,2409,9025560147076.75,0.0
225,900,80,24,24,18,0,6,3,66,6,True,False,1,6,0,0,0,2409,9025560147082.633,0.0
225,900,80,24,24,18,0,6,3,66,6,True,False,1,6,0,0,0,2409,9025560147083.207,0.0
225,900,80,24,24,18,0,6,3,66,6,True,False,1,6,0,0,0,2409,9025560147087.746,0.0
