episode,total_cost,improvement,proposed_columns,added_columns,selected_patterns,branch_node_id,branch_depth,branch_sense_from_parent,branch_var_from_parent
0,9025627545703.018,0.0,0,0,1998,0,0,root,
1,9025562373157.252,65172545.765625,1263,1263,2211,0,0,root,
2,9025560154352.764,2218804.48828125,389,389,2367,0,0,root,
3,9025560149580.172,4772.591796875,13,13,2377,0,0,root,
4,9025560149087.898,492.2734375,4,4,2380,0,0,root,
5,9025560148506.17,581.728515625,5,5,2385,0,0,root,
6,9025560148055.742,450.427734375,5,5,2390,0,0,root,
7,9025560147705.924,349.818359375,5,5,2395,0,0,root,
8,9025560147433.65,272.2734375,5,5,2400,0,0,root,
9,9025560147221.479,212.171875,5,5,2405,0,0,root,
10,9025560147056.145,165.333984375,5,5,2410,0,0,root,
0,9025560147060.299,0.0,0,0,2410,2,1,>= 1,LT_BANH GAO AN TAO BIEN 174.9G_T39_3
1,9025560147060.299,0.0,4,0,2410,2,1,>= 1,LT_BANH GAO AN TAO BIEN 174.9G_T39_3
0,9025560147060.299,0.0,0,0,2410,4,2,>= 1,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T85_4
1,9025560147060.299,0.0,4,0,2410,4,2,>= 1,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T85_4
0,9025560147075.625,0.0,0,0,2410,6,3,>= 1,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T85_3
1,9025560147075.625,0.0,4,0,2410,6,3,>= 1,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T85_3
0,9025560147077.354,0.0,0,0,2409,8,4,>= 1,LT_BANH GAO AN TAO BIEN 174.9G_T44_5
1,9025560147077.354,0.0,4,0,2409,8,4,>= 1,LT_BANH GAO AN TAO BIEN 174.9G_T44_5
0,9025560147083.238,0.0,0,0,2409,10,5,>= 1,LT_BANH GAO AN TAO BIEN 174.9G_T17_5
1,9025560147083.238,0.0,4,0,2409,10,5,>= 1,LT_BANH GAO AN TAO BIEN 174.9G_T17_5
0,9025560147083.81,0.0,0,0,2409,12,6,>= 1,LT_BANH GAO AN TAO BIEN 174.9G_T17_3
1,9025560147083.81,0.0,4,0,2409,12,6,>= 1,LT_BANH GAO AN TAO BIEN 174.9G_T17_3
0,9025560147088.35,0.0,0,0,2409,11,6,<= 0,LT_BANH GAO AN TAO BIEN 174.9G_T17_3
1,9025560147088.35,0.0,4,0,2409,11,6,<= 0,LT_BANH GAO AN TAO BIEN 174.9G_T17_3
0,9025560147078.672,0.0,0,0,2409,9,5,<= 0,LT_BANH GAO AN TAO BIEN 174.9G_T17_5
1,9025560147078.672,0.0,4,0,2409,9,5,<= 0,LT_BANH GAO AN TAO BIEN 174.9G_T17_5
0,9025560150463.967,0.0,0,0,2409,14,6,>= 1,LT_OREO VANILLA 110.4/105G_T8_2
1,9025560150463.967,0.0,6,0,2409,14,6,>= 1,LT_OREO VANILLA 110.4/105G_T8_2
0,9025560150372.5,0.0,0,0,2410,13,6,<= 0,LT_OREO VANILLA 110.4/105G_T8_2
1,9025560150372.5,0.0,6,0,2410,13,6,<= 0,LT_OREO VANILLA 110.4/105G_T8_2
0,9025560147076.75,0.0,0,0,2409,7,4,<= 0,LT_BANH GAO AN TAO BIEN 174.9G_T44_5
1,9025560147076.75,0.0,6,0,2409,7,4,<= 0,LT_BANH GAO AN TAO BIEN 174.9G_T44_5
0,9025560147082.633,0.0,0,0,2409,16,5,>= 1,LT_BANH GAO AN TAO BIEN 174.9G_T17_5
1,9025560147082.633,0.0,6,0,2409,16,5,>= 1,LT_BANH GAO AN TAO BIEN 174.9G_T17_5
0,9025560147083.207,0.0,0,0,2409,18,6,>= 1,LT_BANH GAO AN TAO BIEN 174.9G_T17_3
1,9025560147083.207,0.0,6,0,2409,18,6,>= 1,LT_BANH GAO AN TAO BIEN 174.9G_T17_3
0,9025560147087.746,0.0,0,0,2409,17,6,<= 0,LT_BANH GAO AN TAO BIEN 174.9G_T17_3
1,9025560147087.746,0.0,6,0,2409,17,6,<= 0,LT_BANH GAO AN TAO BIEN 174.9G_T17_3
