node_id,parent_id,depth,status,objective,fractional_lambda_count,branch_var,branch_lambda_value,branch_sense_from_parent,branch_value_from_parent,incumbent_objective
0,,0,branched,9025557990408.361,887,LT_OREO VANILLA 110.4/105G_T115_5,0.49877612352801637,root,,inf
2,0.0,1,branched,9025557990409.734,887,LT_AN RICE CRACKER SEAWEED 111.3G_T75_2,0.4967103110149134,>= 1,1.0,inf
4,2.0,2,branched,9025557990411.764,886,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T103_1,0.5039918334656692,>= 1,1.0,inf
6,4.0,3,branched,9025557990411.764,886,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T103_2,0.5039918334656692,>= 1,1.0,inf
8,6.0,4,branched,9025557990411.764,886,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T103_3,0.5039918334656692,>= 1,1.0,inf
10,8.0,5,branched,9025557990424.281,885,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_3,0.5040620673022367,>= 1,1.0,inf
12,10.0,6,pruned_by_depth,9025557990424.281,885,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_1,0.5040620673022367,>= 1,1.0,inf
11,10.0,6,pruned_by_depth,9025557990424.281,885,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_1,0.5040620673022367,<= 0,0.0,inf
9,8.0,5,branched,9025557990417.174,886,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_3,0.5040620673022367,<= 0,0.0,inf
14,9.0,6,pruned_by_depth,9025557990417.174,886,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_1,0.5040620673022367,>= 1,1.0,inf
13,9.0,6,pruned_by_depth,9025557990417.174,886,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_1,0.5040620673022367,<= 0,0.0,inf
7,6.0,4,branched,9025557990417.174,886,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_3,0.5040620673022367,<= 0,0.0,inf
16,7.0,5,branched,9025557990417.174,886,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_2,0.5040620673022367,>= 1,1.0,inf
18,16.0,6,pruned_by_depth,9025557990424.643,885,LT_AN RICE CRACKER SEAWEED 111.3G_T116_1,0.49474819228099515,>= 1,1.0,inf
17,16.0,6,pruned_by_depth,9025557990417.174,886,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_1,0.5040620673022367,<= 0,0.0,inf
