candidate_pairs_before_pruning,pairs_after_pruning,pairs_accepted_stackelberg,pairs_recovered_stackelberg_fallback,patterns_built_before_dedup,patterns_deduplicated_before_gnn,patterns_removed_by_product_period_cap,patterns_built_before_gnn,max_columns_per_product_period,active_product_period_count,patterns_kept_after_gnn,collect_teacher_mode,runtime_gnn_mode,episode,duplicate_id_rejects,duplicate_signature_rejects,empty_flow_rejects,patterns_added_to_pool,selected_patterns,objective,improvement
3007,12028,108,8024,8076,5881,920,1275,3,446,1275,True,False,1,0,0,0,1275,2187,9025559499729.049,68030540.27929688
674,2696,108,1780,1780,1321,63,396,3,193,396,True,False,2,0,0,0,396,2333,9025557996162.174,1503566.875
243,972,112,76,76,57,1,18,3,71,18,True,False,3,0,0,0,18,2340,9025557990408.361,5753.8125
220,880,112,0,0,0,0,0,3,65,0,True,False,4,0,0,0,0,2340,9025557990408.361,0.0
220,880,112,0,0,0,0,0,3,65,0,True,False,1,0,0,0,0,2340,9025557990409.734,0.0
222,888,112,12,12,9,0,3,3,66,3,True,False,1,3,0,0,0,2340,9025557990411.764,0.0
222,888,112,12,12,9,0,3,3,66,3,True,False,1,3,0,0,0,2340,9025557990411.764,0.0
224,896,112,12,12,9,0,3,3,66,3,True,False,1,3,0,0,0,2340,9025557990411.764,0.0
218,872,112,0,0,0,0,0,3,64,0,True,False,1,0,0,0,0,2340,9025557990424.281,0.0
222,888,112,12,12,9,0,3,3,66,3,True,False,1,3,0,0,0,2340,9025557990424.281,0.0
222,888,112,12,12,9,0,3,3,66,3,True,False,1,3,0,0,0,2340,9025557990424.281,0.0
224,896,112,12,12,9,0,3,3,66,3,True,False,1,3,0,0,0,2341,9025557990417.174,0.0
224,896,112,12,12,9,0,3,3,66,3,True,False,1,3,0,0,0,2341,9025557990417.174,0.0
224,896,112,12,12,9,0,3,3,66,3,True,False,1,3,0,0,0,2341,9025557990417.174,0.0
224,896,112,12,12,9,0,3,3,66,3,True,False,1,3,0,0,0,2341,9025557990417.174,0.0
222,888,112,12,12,9,0,3,3,66,3,True,False,1,3,0,0,0,2341,9025557990417.174,0.0
222,888,112,12,12,9,0,3,3,66,3,True,False,1,3,0,0,0,2341,9025557990424.643,0.0
222,888,112,12,12,9,0,3,3,66,3,True,False,1,3,0,0,0,2341,9025557990417.174,0.0
