episode,total_cost,improvement,proposed_columns,added_columns,selected_patterns,branch_node_id,branch_depth,branch_sense_from_parent,branch_var_from_parent
0,9025627530269.328,0.0,0,0,1978,0,0,root,
1,9025559499729.049,68030540.27929688,1275,1275,2187,0,0,root,
2,9025557996162.174,1503566.875,396,396,2333,0,0,root,
3,9025557990408.361,5753.8125,18,18,2340,0,0,root,
4,9025557990408.361,0.0,0,0,2340,0,0,root,
0,9025557990409.734,0.0,0,0,2340,2,1,>= 1,LT_OREO VANILLA 110.4/105G_T115_5
1,9025557990409.734,0.0,0,0,2340,2,1,>= 1,LT_OREO VANILLA 110.4/105G_T115_5
0,9025557990411.764,0.0,0,0,2340,4,2,>= 1,LT_AN RICE CRACKER SEAWEED 111.3G_T75_2
1,9025557990411.764,0.0,3,0,2340,4,2,>= 1,LT_AN RICE CRACKER SEAWEED 111.3G_T75_2
0,9025557990411.764,0.0,0,0,2340,6,3,>= 1,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T103_1
1,9025557990411.764,0.0,3,0,2340,6,3,>= 1,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T103_1
0,9025557990411.764,0.0,0,0,2340,8,4,>= 1,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T103_2
1,9025557990411.764,0.0,3,0,2340,8,4,>= 1,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T103_2
0,9025557990424.281,0.0,0,0,2340,10,5,>= 1,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T103_3
1,9025557990424.281,0.0,0,0,2340,10,5,>= 1,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T103_3
0,9025557990424.281,0.0,0,0,2340,12,6,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_3
1,9025557990424.281,0.0,3,0,2340,12,6,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_3
0,9025557990424.281,0.0,0,0,2340,11,6,<= 0,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_3
1,9025557990424.281,0.0,3,0,2340,11,6,<= 0,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_3
0,9025557990417.174,0.0,0,0,2341,9,5,<= 0,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T103_3
1,9025557990417.174,0.0,3,0,2341,9,5,<= 0,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T103_3
0,9025557990417.174,0.0,0,0,2341,14,6,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_3
1,9025557990417.174,0.0,3,0,2341,14,6,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_3
0,9025557990417.174,0.0,0,0,2341,13,6,<= 0,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_3
1,9025557990417.174,0.0,3,0,2341,13,6,<= 0,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_3
0,9025557990417.174,0.0,0,0,2341,7,4,<= 0,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T103_2
1,9025557990417.174,0.0,3,0,2341,7,4,<= 0,PRICED_E1_shortage_ratio_BANH GAO AN TAO BIEN 174.9G_T103_2
0,9025557990417.174,0.0,0,0,2341,16,5,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_3
1,9025557990417.174,0.0,3,0,2341,16,5,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_3
0,9025557990424.643,0.0,0,0,2341,18,6,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_2
1,9025557990424.643,0.0,3,0,2341,18,6,>= 1,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_2
0,9025557990417.174,0.0,0,0,2341,17,6,<= 0,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_2
1,9025557990417.174,0.0,3,0,2341,17,6,<= 0,PRICED_E2_shortage_ratio_OREO VANILLA 110.4/105G_T91_2
