store,period,forecast_demand,forecast_fulfilled_demand,forecast_shortage,forecast_fulfillment_rate,mode,total_realized_demand,fulfilled_demand,post_shock_shortage,post_shock_fulfillment_rate
MM AN PHU,1,137.0,137.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,2,172.0,172.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,3,64.0,64.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,4,235.0,235.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,5,154.0,154.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,6,80.0,80.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,7,91.0,0.0,91.0,0.0,pre_shock_forecast,,,,
MM AN PHU,8,198.0,0.0,198.0,0.0,pre_shock_forecast,,,,
MM AN PHU,9,152.0,0.0,152.0,0.0,pre_shock_forecast,,,,
MM AN PHU,10,168.0,0.0,168.0,0.0,pre_shock_forecast,,,,
MM AN PHU,11,287.0,112.0,175.0,0.390244,pre_shock_forecast,,,,
MM AN PHU,12,205.0,0.0,205.0,0.0,pre_shock_forecast,,,,
MM AN PHU,13,60.0,0.0,60.0,0.0,pre_shock_forecast,,,,
MM AN PHU,14,82.0,0.0,82.0,0.0,pre_shock_forecast,,,,
MM AN PHU,15,143.0,0.0,143.0,0.0,pre_shock_forecast,,,,
MM AN PHU,16,186.0,7.0,179.0,0.037634,pre_shock_forecast,,,,
MM AN PHU,17,229.0,0.0,229.0,0.0,pre_shock_forecast,,,,
MM AN PHU,18,263.0,0.0,263.0,0.0,pre_shock_forecast,,,,
MM AN PHU,19,258.0,0.0,258.0,0.0,pre_shock_forecast,,,,
MM AN PHU,20,128.0,0.0,128.0,0.0,pre_shock_forecast,,,,
MM AN PHU,21,181.0,72.0,109.0,0.39779,pre_shock_forecast,,,,
MM AN PHU,22,99.0,0.0,99.0,0.0,pre_shock_forecast,,,,
MM AN PHU,23,236.0,0.0,236.0,0.0,pre_shock_forecast,,,,
