node_id,parent_id,depth,status,objective,fractional_lambda_count,branch_var,branch_lambda_value,branch_sense_from_parent,branch_value_from_parent,incumbent_objective
0,,0,branched,17387980403.09919,18,LT_OREO CHOCOLATE 110.4/105G_T6_5,0.5231878625422794,root,,inf
2,0.0,1,infeasible,inf,0,,,>= 1,1.0,inf
1,0.0,1,branched,17387981456.5288,17,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T4_2,0.5242080942917708,<= 0,0.0,inf
4,1.0,2,branched,17387981457.480385,16,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T3_2,0.4327126519607185,>= 1,1.0,inf
6,4.0,3,branched,17387981458.61496,16,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T3_1,0.4327126519607185,>= 1,1.0,inf
8,6.0,4,branched,17387981503.8448,15,LT_OREO CHOCOLATE 110.4/105G_T3_3,0.6130196342656016,>= 1,1.0,inf
10,8.0,5,branched,17387982633.631348,15,LT_OREO CHOCOLATE 110.4/105G_T3_5,0.44578088328331056,>= 1,1.0,inf
12,10.0,6,infeasible,inf,0,,,>= 1,1.0,inf
11,10.0,6,pruned_by_depth,17387984687.325787,16,LT_OREO CHOCOLATE 110.4/105G_T3_4,0.5648225078389143,<= 0,0.0,inf
9,8.0,5,branched,17387984626.009003,16,LT_OREO CHOCOLATE 110.4/105G_T1_3,0.6525106801339595,<= 0,0.0,inf
14,9.0,6,pruned_by_depth,17387984626.479267,16,LT_OREO CHOCOLATE 110.4/105G_T1_1,0.5401535141171225,>= 1,1.0,inf
13,9.0,6,pruned_by_depth,17387983189.050945,15,LT_OREO VANILLA 110.4/105G_T7_1,0.3162128262593819,<= 0,0.0,inf
7,6.0,4,branched,17387980022.52233,15,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T3_3,0.4327126519607185,<= 0,0.0,inf
16,7.0,5,infeasible,inf,0,,,>= 1,1.0,inf
15,7.0,5,branched,17387980036.791477,14,LT_OREO CHOCOLATE 110.4/105G_T3_3,0.6130196342656016,<= 0,0.0,inf
