candidate_pairs_before_pruning,pairs_after_pruning,pairs_accepted_stackelberg,pairs_recovered_stackelberg_fallback,patterns_built_before_dedup,patterns_deduplicated_before_gnn,patterns_removed_by_product_period_cap,patterns_built_before_gnn,max_columns_per_product_period,active_product_period_count,patterns_kept_after_gnn,collect_teacher_mode,runtime_gnn_mode,episode,duplicate_id_rejects,duplicate_signature_rejects,empty_flow_rejects,patterns_added_to_pool,selected_patterns,objective,improvement
37,148,0,120,120,93,0,27,3,12,27,True,False,1,0,0,0,27,50,17387981405.76328,477177.3663406372
5,20,0,12,12,9,0,3,3,2,3,True,False,2,0,0,0,3,52,17387980800.189636,605.5736427307129
5,20,0,8,8,6,0,2,3,2,2,True,False,3,0,0,0,2,54,17387980496.626625,303.5630111694336
5,20,0,8,8,6,0,2,3,2,2,True,False,4,0,0,0,2,54,17387980403.09919,93.52743530273438
48,192,0,0,0,0,0,0,3,13,0,True,False,1,0,0,0,0,0,inf,0.0
7,28,0,4,4,3,0,1,3,3,1,True,False,1,1,0,0,0,53,17387981456.5288,0.0
7,28,0,4,4,3,0,1,3,3,1,True,False,1,1,0,0,0,53,17387981457.480385,0.0
7,28,0,4,4,3,0,1,3,3,1,True,False,1,1,0,0,0,53,17387981458.61496,0.0
7,28,0,4,4,3,0,1,3,3,1,True,False,1,1,0,0,0,53,17387981503.8448,0.0
9,36,0,8,8,6,0,2,3,4,2,True,False,1,2,0,0,0,53,17387982633.631348,0.0
48,192,0,0,0,0,0,0,3,13,0,True,False,1,0,0,0,0,0,inf,0.0
7,28,0,4,4,3,0,1,3,3,1,True,False,1,1,0,0,0,54,17387984687.325787,0.0
7,28,0,4,4,3,0,1,3,3,1,True,False,1,1,0,0,0,54,17387984626.009003,0.0
7,28,0,4,4,3,0,1,3,3,1,True,False,1,1,0,0,0,54,17387984626.479267,0.0
10,40,0,16,16,12,0,4,3,4,4,True,False,1,1,0,0,3,54,17387984625.39896,0.7357559204101562
7,28,0,4,4,3,0,1,3,3,1,True,False,2,0,0,0,1,55,17387983189.050945,1436.348014831543
5,20,0,0,0,0,0,0,3,2,0,True,False,3,0,0,0,0,55,17387983189.050945,0.0
5,20,0,0,0,0,0,0,3,2,0,True,False,1,0,0,0,0,54,17387980022.52233,0.0
48,192,0,0,0,0,0,0,3,13,0,True,False,1,0,0,0,0,0,inf,0.0
5,20,0,0,0,0,0,0,3,2,0,True,False,1,0,0,0,0,56,17387980036.791477,0.0
