episode,total_cost,improvement,proposed_columns,added_columns,selected_patterns,branch_node_id,branch_depth,branch_sense_from_parent,branch_var_from_parent
0,17388458583.12962,0.0,0,0,43,0,0,root,
1,17387981405.76328,477177.3663406372,27,27,50,0,0,root,
2,17387980800.189636,605.5736427307129,3,3,52,0,0,root,
3,17387980496.626625,303.5630111694336,2,2,54,0,0,root,
4,17387980403.09919,93.52743530273438,2,2,54,0,0,root,
0,inf,0.0,0,0,0,2,1,>= 1,LT_OREO CHOCOLATE 110.4/105G_T6_5
1,inf,0.0,0,0,0,2,1,>= 1,LT_OREO CHOCOLATE 110.4/105G_T6_5
0,17387981456.5288,0.0,0,0,53,1,1,<= 0,LT_OREO CHOCOLATE 110.4/105G_T6_5
1,17387981456.5288,0.0,1,0,53,1,1,<= 0,LT_OREO CHOCOLATE 110.4/105G_T6_5
0,17387981457.480385,0.0,0,0,53,4,2,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T4_2
1,17387981457.480385,0.0,1,0,53,4,2,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T4_2
0,17387981458.61496,0.0,0,0,53,6,3,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T3_2
1,17387981458.61496,0.0,1,0,53,6,3,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T3_2
0,17387981503.8448,0.0,0,0,53,8,4,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T3_1
1,17387981503.8448,0.0,1,0,53,8,4,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T3_1
0,17387982633.631348,0.0,0,0,53,10,5,>= 1,LT_OREO CHOCOLATE 110.4/105G_T3_3
1,17387982633.631348,0.0,2,0,53,10,5,>= 1,LT_OREO CHOCOLATE 110.4/105G_T3_3
0,inf,0.0,0,0,0,12,6,>= 1,LT_OREO CHOCOLATE 110.4/105G_T3_5
1,inf,0.0,0,0,0,12,6,>= 1,LT_OREO CHOCOLATE 110.4/105G_T3_5
0,17387984687.325787,0.0,0,0,54,11,6,<= 0,LT_OREO CHOCOLATE 110.4/105G_T3_5
1,17387984687.325787,0.0,1,0,54,11,6,<= 0,LT_OREO CHOCOLATE 110.4/105G_T3_5
0,17387984626.009003,0.0,0,0,54,9,5,<= 0,LT_OREO CHOCOLATE 110.4/105G_T3_3
1,17387984626.009003,0.0,1,0,54,9,5,<= 0,LT_OREO CHOCOLATE 110.4/105G_T3_3
0,17387984626.479267,0.0,0,0,54,14,6,>= 1,LT_OREO CHOCOLATE 110.4/105G_T1_3
1,17387984626.479267,0.0,1,0,54,14,6,>= 1,LT_OREO CHOCOLATE 110.4/105G_T1_3
0,17387984626.134716,0.0,0,0,53,13,6,<= 0,LT_OREO CHOCOLATE 110.4/105G_T1_3
1,17387984625.39896,0.7357559204101562,4,3,54,13,6,<= 0,LT_OREO CHOCOLATE 110.4/105G_T1_3
2,17387983189.050945,1436.348014831543,1,1,55,13,6,<= 0,LT_OREO CHOCOLATE 110.4/105G_T1_3
3,17387983189.050945,0.0,0,0,55,13,6,<= 0,LT_OREO CHOCOLATE 110.4/105G_T1_3
0,17387980022.52233,0.0,0,0,54,7,4,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T3_1
1,17387980022.52233,0.0,0,0,54,7,4,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T3_1
0,inf,0.0,0,0,0,16,5,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T3_3
1,inf,0.0,0,0,0,16,5,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T3_3
0,17387980036.791477,0.0,0,0,56,15,5,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T3_3
1,17387980036.791477,0.0,0,0,56,15,5,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T3_3
