store,period,forecast_demand,forecast_fulfilled_demand,forecast_shortage,forecast_fulfillment_rate,mode,total_realized_demand,fulfilled_demand,post_shock_shortage,post_shock_fulfillment_rate
MM AN PHU,1,105.0,105.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,2,139.0,139.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,3,231.0,59.8,171.2,0.258874,pre_shock_forecast,,,,
MM AN PHU,4,276.0,172.2,103.8,0.623913,pre_shock_forecast,,,,
MM AN PHU,5,113.0,0.0,113.0,0.0,pre_shock_forecast,,,,
MM AN PHU,6,511.0,427.8,83.2,0.837182,pre_shock_forecast,,,,
MM AN PHU,7,62.0,31.0,31.0,0.5,pre_shock_forecast,,,,
MM BINH PHU,1,39.0,39.0,0.0,1.0,pre_shock_forecast,,,,
MM BINH PHU,2,40.0,40.0,0.0,1.0,pre_shock_forecast,,,,
MM BINH PHU,3,34.0,34.0,0.0,1.0,pre_shock_forecast,,,,
MM BINH PHU,4,22.0,22.0,0.0,1.0,pre_shock_forecast,,,,
MM BINH PHU,5,8.0,8.0,0.0,1.0,pre_shock_forecast,,,,
MM BINH PHU,6,31.0,31.0,0.0,1.0,pre_shock_forecast,,,,
MM BINH PHU,7,23.0,22.2,0.8,0.965217,pre_shock_forecast,,,,
MM DA NANG,1,49.0,49.0,0.0,1.0,pre_shock_forecast,,,,
MM DA NANG,2,87.0,87.0,0.0,1.0,pre_shock_forecast,,,,
MM DA NANG,3,29.0,29.0,0.0,1.0,pre_shock_forecast,,,,
MM DA NANG,4,18.0,18.0,0.0,1.0,pre_shock_forecast,,,,
MM DA NANG,5,153.0,145.6,7.4,0.951634,pre_shock_forecast,,,,
MM DA NANG,6,34.0,34.0,0.0,1.0,pre_shock_forecast,,,,
MM DA NANG,7,34.0,26.0,8.0,0.764706,pre_shock_forecast,,,,
MM HIEP PHU,1,11.0,11.0,0.0,1.0,pre_shock_forecast,,,,
MM HIEP PHU,2,27.0,27.0,0.0,1.0,pre_shock_forecast,,,,
MM HIEP PHU,3,20.0,20.0,0.0,1.0,pre_shock_forecast,,,,
MM HIEP PHU,4,22.0,22.0,0.0,1.0,pre_shock_forecast,,,,
MM HIEP PHU,5,43.0,43.0,0.0,1.0,pre_shock_forecast,,,,
MM HIEP PHU,6,14.0,14.0,0.0,1.0,pre_shock_forecast,,,,
MM HIEP PHU,7,16.0,16.0,0.0,1.0,pre_shock_forecast,,,,
MM AN PHU,1,,,,,post_shock_realized,127.464,127.464,0.0,1.0
MM AN PHU,2,,,,,post_shock_realized,192.352,192.352,0.0,1.0
MM AN PHU,3,,,,,post_shock_realized,254.4,75.712,178.688,0.29761
MM AN PHU,4,,,,,post_shock_realized,299.4,80.472,218.928,0.268778
MM AN PHU,5,,,,,post_shock_realized,153.248,0.0,153.248,0.0
MM AN PHU,6,,,,,post_shock_realized,517.552,427.8,89.752,0.826584
MM AN PHU,7,,,,,post_shock_realized,76.976,31.0,45.976,0.402723
MM BINH PHU,1,,,,,post_shock_realized,39.0,39.0,0.0,1.0
MM BINH PHU,2,,,,,post_shock_realized,40.0,40.0,0.0,1.0
MM BINH PHU,3,,,,,post_shock_realized,34.0,34.0,0.0,1.0
MM BINH PHU,4,,,,,post_shock_realized,22.0,22.0,0.0,1.0
MM BINH PHU,5,,,,,post_shock_realized,8.0,8.0,0.0,1.0
MM BINH PHU,6,,,,,post_shock_realized,31.0,31.0,0.0,1.0
MM BINH PHU,7,,,,,post_shock_realized,23.0,22.2,0.8,0.965217
MM DA NANG,1,,,,,post_shock_realized,28.408,28.408,0.0,1.0
MM DA NANG,2,,,,,post_shock_realized,39.264,39.264,0.0,1.0
MM DA NANG,3,,,,,post_shock_realized,13.088,13.088,0.0,1.0
MM DA NANG,4,,,,,post_shock_realized,5.832,0.944,4.888,0.161866
MM DA NANG,5,,,,,post_shock_realized,153.0,143.0,10.0,0.934641
MM DA NANG,6,,,,,post_shock_realized,40.552,40.552,0.0,1.0
MM DA NANG,7,,,,,post_shock_realized,34.0,26.0,8.0,0.764706
MM HIEP PHU,1,,,,,post_shock_realized,9.128,9.128,0.0,1.0
MM HIEP PHU,2,,,,,post_shock_realized,21.384,21.384,0.0,1.0
MM HIEP PHU,3,,,,,post_shock_realized,12.512,12.512,0.0,1.0
MM HIEP PHU,4,,,,,post_shock_realized,10.768,10.768,0.0,1.0
MM HIEP PHU,5,,,,,post_shock_realized,2.752,2.752,0.0,1.0
MM HIEP PHU,6,,,,,post_shock_realized,0.896,0.896,0.0,1.0
MM HIEP PHU,7,,,,,post_shock_realized,1.024,1.024,0.0,1.0
