store,period,forecast_demand,forecast_fulfilled_demand,forecast_shortage,forecast_fulfillment_rate,mode,total_realized_demand,fulfilled_demand,post_shock_shortage,post_shock_fulfillment_rate
MM AN PHU,1,105,105,0,1.0,pre_shock_forecast,,,,
MM AN PHU,2,139,139,0,1.0,pre_shock_forecast,,,,
MM AN PHU,3,231,60,171,0.258874,pre_shock_forecast,,,,
MM AN PHU,4,276,172,104,0.623913,pre_shock_forecast,,,,
MM AN PHU,5,113,0,113,0.0,pre_shock_forecast,,,,
MM AN PHU,6,511,428,83,0.837182,pre_shock_forecast,,,,
MM AN PHU,7,62,31,31,0.5,pre_shock_forecast,,,,
MM BINH PHU,1,39,39,0,1.0,pre_shock_forecast,,,,
MM BINH PHU,2,40,40,0,1.0,pre_shock_forecast,,,,
MM BINH PHU,3,34,34,0,1.0,pre_shock_forecast,,,,
MM BINH PHU,4,22,22,0,1.0,pre_shock_forecast,,,,
MM BINH PHU,5,8,8,0,1.0,pre_shock_forecast,,,,
MM BINH PHU,6,31,31,0,1.0,pre_shock_forecast,,,,
MM BINH PHU,7,23,22,1,0.965217,pre_shock_forecast,,,,
MM DA NANG,1,49,49,0,1.0,pre_shock_forecast,,,,
MM DA NANG,2,87,87,0,1.0,pre_shock_forecast,,,,
MM DA NANG,3,29,29,0,1.0,pre_shock_forecast,,,,
MM DA NANG,4,18,18,0,1.0,pre_shock_forecast,,,,
MM DA NANG,5,153,146,7,0.951634,pre_shock_forecast,,,,
MM DA NANG,6,34,34,0,1.0,pre_shock_forecast,,,,
MM DA NANG,7,34,26,8,0.764706,pre_shock_forecast,,,,
MM HIEP PHU,1,11,11,0,1.0,pre_shock_forecast,,,,
MM HIEP PHU,2,27,27,0,1.0,pre_shock_forecast,,,,
MM HIEP PHU,3,20,20,0,1.0,pre_shock_forecast,,,,
MM HIEP PHU,4,22,22,0,1.0,pre_shock_forecast,,,,
MM HIEP PHU,5,43,43,0,1.0,pre_shock_forecast,,,,
MM HIEP PHU,6,14,14,0,1.0,pre_shock_forecast,,,,
MM HIEP PHU,7,16,16,0,1.0,pre_shock_forecast,,,,
MM AN PHU,1,,,,,post_shock_realized,127,127,0,1.0
MM AN PHU,2,,,,,post_shock_realized,192,192,0,1.0
MM AN PHU,3,,,,,post_shock_realized,254,76,179,0.29761
MM AN PHU,4,,,,,post_shock_realized,299,80,219,0.268778
MM AN PHU,5,,,,,post_shock_realized,153,0,153,0.0
MM AN PHU,6,,,,,post_shock_realized,518,428,90,0.826584
MM AN PHU,7,,,,,post_shock_realized,77,31,46,0.402723
MM BINH PHU,1,,,,,post_shock_realized,39,39,0,1.0
MM BINH PHU,2,,,,,post_shock_realized,40,40,0,1.0
MM BINH PHU,3,,,,,post_shock_realized,34,34,0,1.0
MM BINH PHU,4,,,,,post_shock_realized,22,22,0,1.0
MM BINH PHU,5,,,,,post_shock_realized,8,8,0,1.0
MM BINH PHU,6,,,,,post_shock_realized,31,31,0,1.0
MM BINH PHU,7,,,,,post_shock_realized,23,22,1,0.965217
MM DA NANG,1,,,,,post_shock_realized,28,28,0,1.0
MM DA NANG,2,,,,,post_shock_realized,39,39,0,1.0
MM DA NANG,3,,,,,post_shock_realized,13,13,0,1.0
MM DA NANG,4,,,,,post_shock_realized,6,1,5,0.161866
MM DA NANG,5,,,,,post_shock_realized,153,143,10,0.934641
MM DA NANG,6,,,,,post_shock_realized,41,41,0,1.0
MM DA NANG,7,,,,,post_shock_realized,34,26,8,0.764706
MM HIEP PHU,1,,,,,post_shock_realized,9,9,0,1.0
MM HIEP PHU,2,,,,,post_shock_realized,21,21,0,1.0
MM HIEP PHU,3,,,,,post_shock_realized,13,13,0,1.0
MM HIEP PHU,4,,,,,post_shock_realized,11,11,0,1.0
MM HIEP PHU,5,,,,,post_shock_realized,3,3,0,1.0
MM HIEP PHU,6,,,,,post_shock_realized,1,1,0,1.0
MM HIEP PHU,7,,,,,post_shock_realized,1,1,0,1.0
