iteration,current_cost,candidate_cost,best_cost,temperature,accepted,new_best,destroy_op,repair_op,feasible
0,18603920886.9,18603920886.9,18603920886.9,930196045.3450001,1.0,1.0,initial,initial,0.0
1,18603920886.9,18603974545.6,18603920886.9,930196045.3450001,0.0,0.0,destroy_random_route,repair_random,0.0
2,18603920886.9,18603961836.9,18603920886.9,928335653.2543101,0.0,0.0,destroy_worst_delivery,repair_regret2,0.0
3,18603920886.9,18603974545.6,18603920886.9,926478981.9478015,0.0,0.0,destroy_random_period,repair_regret2,0.0
4,18603920886.9,18603946275.9,18603920886.9,924626023.9839059,0.0,0.0,destroy_worst_delivery,repair_greedy,0.0
5,18600639501.1,18600639501.1,18600639501.1,922776771.9359381,1.0,1.0,destroy_shaw_stores,repair_random,1.0
6,18600639501.1,18600694527.499996,18600639501.1,920931218.3920662,0.0,0.0,destroy_random_route,repair_regret2,0.0
7,18561782870.7,18561782870.7,18561782870.7,919089355.9552821,1.0,1.0,destroy_shaw_stores,repair_regret2,1.0
8,18561808259.7,18561808259.7,18561782870.7,917251177.2433715,1.0,0.0,destroy_worst_delivery,repair_random,1.0
9,18561808259.7,18561832536.5,18561782870.7,915416674.8888848,0.0,0.0,destroy_random_route,repair_greedy,0.0
10,18561817268.7,18561817268.7,18561782870.7,913585841.539107,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
11,18561817268.7,18561832536.5,18561782870.7,911758669.8560288,0.0,0.0,destroy_random_route,repair_greedy,0.0
12,18561817268.7,18561817268.7,18561782870.7,909935152.5163168,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
13,18561817268.7,18561817268.7,18561782870.7,908115282.2112842,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
14,18561817268.7,18561832536.5,18561782870.7,906299051.6468616,0.0,0.0,destroy_random_route,repair_greedy,0.0
15,18561817268.7,18561832536.5,18561782870.7,904486453.5435678,0.0,0.0,destroy_random_route,repair_greedy,0.0
16,18561817268.7,18561832536.5,18561782870.7,902677480.6364807,0.0,0.0,destroy_random_period,repair_greedy,0.0
17,18561817268.7,18561817268.7,18561782870.7,900872125.6752077,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
18,18561823820.7,18561823820.7,18561782870.7,899070381.4238573,1.0,0.0,destroy_shaw_stores,repair_random,1.0
19,18561823820.7,18561823820.7,18561782870.7,897272240.6610097,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
20,18561823820.7,18561832536.5,18561782870.7,895477696.1796876,0.0,0.0,destroy_random_route,repair_greedy,0.0
21,18561823820.7,18561832536.5,18561782870.7,893686740.7873282,0.0,0.0,destroy_random_period,repair_random,0.0
22,18561823820.7,18561832536.5,18561782870.7,891899367.3057536,0.0,0.0,destroy_random_route,repair_greedy,0.0
23,18561823820.7,18561823820.7,18561782870.7,890115568.5711421,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
24,18561823820.7,18561832588.1,18561782870.7,888335337.4339998,0.0,0.0,destroy_random_route,repair_random,0.0
25,18561823820.7,18561832536.5,18561782870.7,886558666.7591318,0.0,0.0,destroy_shaw_stores,repair_regret2,0.0
26,18561823872.3,18561823872.3,18561782870.7,884785549.4256135,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
27,18561823872.3,18561832606.199997,18561782870.7,883015978.3267623,0.0,0.0,destroy_random_period,repair_random,0.0
28,18561823820.7,18561823820.7,18561782870.7,881249946.3701088,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
29,18561823820.7,18561823820.7,18561782870.7,879487446.4773686,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
30,18561823820.7,18561832588.1,18561782870.7,877728471.5844139,0.0,0.0,destroy_random_period,repair_random,0.0
31,18561823820.7,18561832607.499996,18561782870.7,875973014.641245,0.0,0.0,destroy_random_period,repair_random,0.0
32,18561823872.3,18561823872.3,18561782870.7,874221068.6119626,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
33,18561823872.3,18561832536.5,18561782870.7,872472626.4747386,0.0,0.0,destroy_random_route,repair_greedy,0.0
34,18561823872.3,18561823872.3,18561782870.7,870727681.2217891,1.0,0.0,destroy_shaw_stores,repair_random,1.0
35,18561823872.3,18561832606.199997,18561782870.7,868986225.8593456,0.0,0.0,destroy_random_delivery,repair_random,0.0
36,18561823820.7,18561823820.7,18561782870.7,867248253.4076269,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
37,18561823820.7,18561823820.7,18561782870.7,865513756.9008116,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
38,18561823872.3,18561823872.3,18561782870.7,863782729.38701,1.0,0.0,destroy_shaw_stores,repair_random,1.0
39,18561823872.3,18561823872.3,18561782870.7,862055163.928236,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
40,18561823872.3,18561823872.3,18561782870.7,860331053.6003796,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
41,18561823872.3,18561823872.3,18561782870.7,858610391.4931788,1.0,0.0,destroy_shaw_stores,repair_random,1.0
42,18561823872.3,18561823872.3,18561782870.7,856893170.7101924,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
43,18561823872.3,18561823872.3,18561782870.7,855179384.368772,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
44,18561823820.7,18561823820.7,18561782870.7,853469025.6000345,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
45,18561823872.3,18561823872.3,18561782870.7,851762087.5488344,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
46,18561823820.7,18561823820.7,18561782870.7,850058563.3737367,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
47,18561823820.7,18561832588.1,18561782870.7,848358446.2469893,0.0,0.0,destroy_random_route,repair_random,0.0
48,18561823820.7,18561832607.499996,18561782870.7,846661729.3544953,0.0,0.0,destroy_random_delivery,repair_random,0.0
49,18561823820.7,18561832536.5,18561782870.7,844968405.8957863,0.0,0.0,destroy_random_period,repair_greedy,0.0
50,18561823820.7,18561823820.7,18561782870.7,843278469.0839947,1.0,0.0,destroy_worst_delivery,repair_random,1.0
51,18561823820.7,18561823820.7,18561782870.7,841591912.1458267,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
52,18561823820.7,18561823820.7,18561782870.7,839908728.321535,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
53,18561823820.7,18561823820.7,18561782870.7,838228910.8648919,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
54,18561823820.7,18561823820.7,18561782870.7,836552453.0431621,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
55,18561823820.7,18561823820.7,18561782870.7,834879348.1370758,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
56,18561823820.7,18561832536.5,18561782870.7,833209589.4408016,0.0,0.0,destroy_random_route,repair_greedy,0.0
57,18561823820.7,18561823820.7,18561782870.7,831543170.26192,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
58,18561823820.7,18561823820.7,18561782870.7,829880083.9213961,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
59,18561823820.7,18561832536.5,18561782870.7,828220323.7535534,0.0,0.0,destroy_random_period,repair_regret2,0.0
60,18561823820.7,18561823820.7,18561782870.7,826563883.1060463,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
61,18561823820.7,18561823820.7,18561782870.7,824910755.3398342,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
62,18561823820.7,18561823820.7,18561782870.7,823260933.8291545,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
63,18561823820.7,18561823820.7,18561782870.7,821614411.9614962,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
64,18561823820.7,18561823820.7,18561782870.7,819971183.1375732,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
65,18561823820.7,18561823820.7,18561782870.7,818331240.771298,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
66,18561823820.7,18561823820.7,18561782870.7,816694578.2897555,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
67,18561823820.7,18561823820.7,18561782870.7,815061189.133176,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
68,18561823820.7,18561832536.5,18561782870.7,813431066.7549096,0.0,0.0,destroy_random_period,repair_regret2,0.0
69,18561823820.7,18561832536.5,18561782870.7,811804204.6213998,0.0,0.0,destroy_random_route,repair_regret2,0.0
70,18561823820.7,18561823820.7,18561782870.7,810180596.212157,1.0,0.0,destroy_worst_delivery,repair_random,1.0
71,18561823820.7,18561832588.1,18561782870.7,808560235.0197327,0.0,0.0,destroy_random_period,repair_random,0.0
72,18561823872.3,18561823872.3,18561782870.7,806943114.5496932,1.0,0.0,destroy_shaw_stores,repair_random,1.0
73,18561823872.3,18561823872.3,18561782870.7,805329228.3205938,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
74,18561823872.3,18561823872.3,18561782870.7,803718569.8639526,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
75,18561823872.3,18561823872.3,18561782870.7,802111132.7242247,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
76,18561823872.3,18561823872.3,18561782870.7,800506910.4587762,1.0,0.0,destroy_random_route,repair_random,1.0
77,18561823872.3,18561832536.5,18561782870.7,798905896.6378586,0.0,0.0,destroy_random_period,repair_regret2,0.0
78,18561823872.3,18561832588.1,18561782870.7,797308084.8445829,0.0,0.0,destroy_random_delivery,repair_greedy,0.0
79,18561823872.3,18561832588.1,18561782870.7,795713468.6748937,0.0,0.0,destroy_shaw_stores,repair_random,0.0
80,18561823872.3,18561823872.3,18561782870.7,794122041.737544,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
81,18561823872.3,18561832588.1,18561782870.7,792533797.6540688,0.0,0.0,destroy_shaw_stores,repair_random,0.0
82,18561823872.3,18561832536.5,18561782870.7,790948730.0587606,0.0,0.0,destroy_random_period,repair_regret2,0.0
83,18561823872.3,18561823872.3,18561782870.7,789366832.5986431,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
84,18561823820.7,18561823820.7,18561782870.7,787788098.9334458,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
85,18561823820.7,18561823820.7,18561782870.7,786212522.7355789,1.0,0.0,destroy_random_delivery,repair_random,1.0
86,18561823820.7,18561823820.7,18561782870.7,784640097.6901077,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
87,18561823820.7,18561823820.7,18561782870.7,783070817.4947275,1.0,0.0,destroy_worst_delivery,repair_random,1.0
88,18561823872.3,18561823872.3,18561782870.7,781504675.859738,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
89,18561823872.3,18561832536.5,18561782870.7,779941666.5080185,0.0,0.0,destroy_random_period,repair_greedy,0.0
90,18561823872.3,18561823872.3,18561782870.7,778381783.1750025,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
91,18561823872.3,18561832606.199997,18561782870.7,776825019.6086525,0.0,0.0,destroy_random_delivery,repair_random,0.0
92,18561823872.3,18561832536.5,18561782870.7,775271369.5694351,0.0,0.0,destroy_random_period,repair_regret2,0.0
93,18561823872.3,18561832588.1,18561782870.7,773720826.8302963,0.0,0.0,destroy_shaw_stores,repair_regret2,0.0
94,18561823872.3,18561823872.3,18561782870.7,772173385.1766357,1.0,0.0,destroy_random_delivery,repair_random,1.0
95,18561823872.3,18561832588.1,18561782870.7,770629038.4062824,0.0,0.0,destroy_shaw_stores,repair_regret2,0.0
96,18561823872.3,18561823872.3,18561782870.7,769087780.3294698,1.0,0.0,destroy_worst_delivery,repair_random,1.0
