node_id,parent_id,depth,status,objective,fractional_lambda_count,branch_var,branch_lambda_value,branch_sense_from_parent,branch_value_from_parent,incumbent_objective
0,,0,branched,18562176451.18478,19,LT_OREO CHOCOLATE 110.4/105G_T2_2,0.48857709955945844,root,,inf
2,0.0,1,branched,18562176451.527973,19,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_1,0.434744693686678,>= 1,1.0,inf
4,2.0,2,branched,18562176451.527973,19,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_2,0.434744693686678,>= 1,1.0,inf
6,4.0,3,branched,18562176451.527973,19,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3,0.434744693686678,>= 1,1.0,inf
8,6.0,4,branched,18562176463.442318,18,LT_OREO CHOCOLATE 110.4/105G_T6_3,0.6260670336202396,>= 1,1.0,inf
10,8.0,5,branched,18562177929.96751,17,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T6_3,0.4258911323922787,>= 1,1.0,inf
12,10.0,6,pruned_by_depth,18562181211.993423,17,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T6_1,0.4258911323922787,>= 1,1.0,inf
11,10.0,6,pruned_by_depth,18562180105.464546,17,LT_OREO CHOCOLATE 110.4/105G_T6_1,0.4189207830889161,<= 0,0.0,inf
9,8.0,5,branched,18562178215.13644,16,LT_OREO CHOCOLATE 110.4/105G_T4_5,0.6300755508155685,<= 0,0.0,inf
14,9.0,6,pruned_by_depth,18562179796.568123,16,LT_OREO CHOCOLATE 110.4/105G_T6_2,0.3612972102126215,>= 1,1.0,inf
13,9.0,6,pruned_by_depth,18562184300.704002,15,LT_OREO CHOCOLATE 110.4/105G_T6_2,0.3612972102126215,<= 0,0.0,inf
7,6.0,4,branched,18562176455.267185,19,LT_OREO CHOCOLATE 110.4/105G_T6_3,0.6260670336202396,<= 0,0.0,inf
16,7.0,5,branched,18562177921.792377,18,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T6_3,0.4258911323922787,>= 1,1.0,inf
18,16.0,6,pruned_by_depth,18562181203.81829,18,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T6_1,0.4258911323922787,>= 1,1.0,inf
17,16.0,6,pruned_by_depth,18562180097.289413,18,LT_OREO CHOCOLATE 110.4/105G_T6_1,0.4189207830889161,<= 0,0.0,inf
