candidate_pairs_before_pruning,pairs_after_pruning,pairs_accepted_stackelberg,pairs_recovered_stackelberg_fallback,patterns_built_before_dedup,patterns_deduplicated_before_gnn,patterns_removed_by_product_period_cap,patterns_built_before_gnn,max_columns_per_product_period,active_product_period_count,patterns_kept_after_gnn,collect_teacher_mode,runtime_gnn_mode,episode,duplicate_id_rejects,duplicate_signature_rejects,empty_flow_rejects,patterns_added_to_pool,selected_patterns,objective,improvement
47,188,0,160,160,128,4,28,3,12,28,True,False,1,0,0,0,28,51,18562179116.87144,508133.51594924927
7,28,0,12,12,10,0,2,3,4,2,True,False,2,0,0,0,2,53,18562176659.762444,2457.1089973449707
4,16,0,4,4,3,0,1,3,3,1,True,False,3,0,0,0,1,54,18562176519.893353,139.86909103393555
4,16,0,4,4,3,0,1,3,3,1,True,False,4,0,0,0,1,54,18562176451.18478,68.70857238769531
6,24,0,4,4,3,0,1,3,3,1,True,False,1,1,0,0,0,54,18562176451.527973,0.0
6,24,0,4,4,3,0,1,3,3,1,True,False,1,1,0,0,0,54,18562176451.527973,0.0
6,24,0,4,4,3,0,1,3,3,1,True,False,1,1,0,0,0,54,18562176451.527973,0.0
6,24,0,4,4,3,0,1,3,3,1,True,False,1,1,0,0,0,54,18562176463.442318,0.0
9,36,0,16,16,12,0,4,3,3,4,True,False,1,4,0,0,0,54,18562177929.96751,0.0
9,36,0,16,16,12,0,4,3,3,4,True,False,1,4,0,0,0,54,18562181211.993423,0.0
9,36,0,8,8,6,0,2,3,3,2,True,False,1,2,0,0,0,55,18562180105.464546,0.0
9,36,0,12,12,10,0,2,3,3,2,True,False,1,2,0,0,0,54,18562178215.13644,0.0
10,40,0,16,16,13,0,3,3,4,3,True,False,1,3,0,0,0,54,18562179796.568123,0.0
11,44,0,20,20,17,0,3,3,4,3,True,False,1,3,0,0,0,53,18562184300.704002,0.0
6,24,0,4,4,3,0,1,3,3,1,True,False,1,1,0,0,0,54,18562176455.267185,0.0
9,36,0,16,16,12,0,4,3,3,4,True,False,1,4,0,0,0,54,18562177921.792377,0.0
9,36,0,16,16,12,0,4,3,3,4,True,False,1,4,0,0,0,54,18562181203.81829,0.0
9,36,0,8,8,6,0,2,3,3,2,True,False,1,2,0,0,0,55,18562180097.289413,0.0
