episode,total_cost,improvement,proposed_columns,added_columns,selected_patterns,branch_node_id,branch_depth,branch_sense_from_parent,branch_var_from_parent
0,18562687250.38739,0.0,0,0,47,0,0,root,
1,18562179116.87144,508133.51594924927,28,28,51,0,0,root,
2,18562176659.762444,2457.1089973449707,2,2,53,0,0,root,
3,18562176519.893353,139.86909103393555,1,1,54,0,0,root,
4,18562176451.18478,68.70857238769531,1,1,54,0,0,root,
0,18562176451.527973,0.0,0,0,54,2,1,>= 1,LT_OREO CHOCOLATE 110.4/105G_T2_2
1,18562176451.527973,0.0,1,0,54,2,1,>= 1,LT_OREO CHOCOLATE 110.4/105G_T2_2
0,18562176451.527973,0.0,0,0,54,4,2,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_1
1,18562176451.527973,0.0,1,0,54,4,2,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_1
0,18562176451.527973,0.0,0,0,54,6,3,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_2
1,18562176451.527973,0.0,1,0,54,6,3,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_2
0,18562176463.442318,0.0,0,0,54,8,4,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3
1,18562176463.442318,0.0,1,0,54,8,4,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3
0,18562177929.96751,0.0,0,0,54,10,5,>= 1,LT_OREO CHOCOLATE 110.4/105G_T6_3
1,18562177929.96751,0.0,4,0,54,10,5,>= 1,LT_OREO CHOCOLATE 110.4/105G_T6_3
0,18562181211.993423,0.0,0,0,54,12,6,>= 1,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T6_3
1,18562181211.993423,0.0,4,0,54,12,6,>= 1,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T6_3
0,18562180105.464546,0.0,0,0,55,11,6,<= 0,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T6_3
1,18562180105.464546,0.0,2,0,55,11,6,<= 0,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T6_3
0,18562178215.13644,0.0,0,0,54,9,5,<= 0,LT_OREO CHOCOLATE 110.4/105G_T6_3
1,18562178215.13644,0.0,2,0,54,9,5,<= 0,LT_OREO CHOCOLATE 110.4/105G_T6_3
0,18562179796.568123,0.0,0,0,54,14,6,>= 1,LT_OREO CHOCOLATE 110.4/105G_T4_5
1,18562179796.568123,0.0,3,0,54,14,6,>= 1,LT_OREO CHOCOLATE 110.4/105G_T4_5
0,18562184300.704002,0.0,0,0,53,13,6,<= 0,LT_OREO CHOCOLATE 110.4/105G_T4_5
1,18562184300.704002,0.0,3,0,53,13,6,<= 0,LT_OREO CHOCOLATE 110.4/105G_T4_5
0,18562176455.267185,0.0,0,0,54,7,4,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3
1,18562176455.267185,0.0,1,0,54,7,4,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3
0,18562177921.792377,0.0,0,0,54,16,5,>= 1,LT_OREO CHOCOLATE 110.4/105G_T6_3
1,18562177921.792377,0.0,4,0,54,16,5,>= 1,LT_OREO CHOCOLATE 110.4/105G_T6_3
0,18562181203.81829,0.0,0,0,54,18,6,>= 1,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T6_3
1,18562181203.81829,0.0,4,0,54,18,6,>= 1,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T6_3
0,18562180097.289413,0.0,0,0,55,17,6,<= 0,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T6_3
1,18562180097.289413,0.0,2,0,55,17,6,<= 0,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T6_3
