iteration,current_cost,candidate_cost,best_cost,temperature,accepted,new_best,destroy_op,repair_op,feasible
0,21076876976.5,21076876976.5,21076876976.5,1053843849.825,1.0,1.0,initial,initial,0.0
1,21076876976.5,21076897846.5,21076876976.5,1053843849.825,0.0,0.0,destroy_random_route,repair_random,0.0
2,21076876976.5,21076893994.5,21076876976.5,1051736162.12535,0.0,0.0,destroy_low_demand_stores,repair_random,0.0
3,21076876976.5,21076902365.5,21076876976.5,1049632689.8010993,0.0,0.0,destroy_worst_delivery,repair_greedy,0.0
4,21076876976.5,21076893994.5,21076876976.5,1047533424.4214971,0.0,0.0,destroy_low_demand_stores,repair_random,0.0
5,21076876976.5,21076902365.5,21076876976.5,1045438357.5726541,0.0,0.0,destroy_worst_delivery,repair_greedy,0.0
6,21073595590.7,21073595590.7,21073595590.7,1043347480.8575088,1.0,1.0,destroy_shaw_stores,repair_random,1.0
7,21073595590.7,21073646661.899998,21073595590.7,1041260785.8957938,0.0,0.0,destroy_random_route,repair_regret2,0.0
8,21034738960.3,21034738960.3,21034738960.3,1039178264.3240021,1.0,1.0,destroy_shaw_stores,repair_regret2,1.0
9,21034764349.3,21034764349.3,21034738960.3,1037099907.7953541,1.0,0.0,destroy_worst_delivery,repair_random,1.0
10,21034779843.0,21034779843.0,21034738960.3,1035025707.9797634,1.0,0.0,destroy_random_route,repair_greedy,1.0
11,21034779843.0,21034805644.1,21034738960.3,1032955656.5638039,0.0,0.0,destroy_random_route,repair_random,0.0
12,21034779843.0,21034788628.499996,21034738960.3,1030889745.2506763,0.0,0.0,destroy_random_delivery,repair_random,0.0
13,21034796878.0,21034796878.0,21034738960.3,1028827965.7601749,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
14,21034796928.3,21034796928.3,21034738960.3,1026770309.8286545,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
15,21034796928.3,21034796928.3,21034738960.3,1024716769.2089972,1.0,0.0,destroy_worst_delivery,repair_random,1.0
16,21034796876.7,21034796876.7,21034738960.3,1022667335.6705792,1.0,0.0,destroy_random_route,repair_greedy,1.0
17,21034796876.7,21034796876.7,21034738960.3,1020622000.999238,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
18,21034796876.7,21034805592.5,21034738960.3,1018580756.9972396,0.0,0.0,destroy_shaw_stores,repair_greedy,0.0
19,21034796876.7,21034796876.7,21034738960.3,1016543595.4832451,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
20,21034796876.7,21034796876.7,21034738960.3,1014510508.2922786,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
21,21034796876.7,21034796876.7,21034738960.3,1012481487.2756941,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
22,21034796928.3,21034796928.3,21034738960.3,1010456524.3011427,1.0,0.0,destroy_random_delivery,repair_random,1.0
23,21034796928.3,21034805644.1,21034738960.3,1008435611.2525403,0.0,0.0,destroy_random_route,repair_random,0.0
24,21034796928.3,21034805644.1,21034738960.3,1006418740.0300353,0.0,0.0,destroy_shaw_stores,repair_regret2,0.0
