node_id,parent_id,depth,status,objective,fractional_lambda_count,branch_var,branch_lambda_value,branch_sense_from_parent,branch_value_from_parent,incumbent_objective
0,,0,branched,21035031892.3682,22,LT_OREO CHOCOLATE 110.4/105G_T6_3,0.5044302294925721,root,,inf
2,0.0,1,branched,21035032883.59741,22,LT_OREO CHOCOLATE 110.4/105G_T2_5,0.5110091183657013,>= 1,1.0,inf
4,2.0,2,branched,21035032883.778873,22,LT_OREO CHOCOLATE 110.4/105G_T2_1,0.4639330559154952,>= 1,1.0,inf
6,4.0,3,branched,21035032899.9687,22,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_1,0.46134984498887505,>= 1,1.0,inf
8,6.0,4,branched,21035032899.9687,22,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_2,0.46134984498887505,>= 1,1.0,inf
10,8.0,5,branched,21035032923.135323,21,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T4_2,0.4475622718993546,>= 1,1.0,inf
12,10.0,6,pruned_by_depth,21035032923.737484,21,LT_OREO CHOCOLATE 110.4/105G_T4_1,0.5981834373061071,>= 1,1.0,inf
11,10.0,6,pruned_by_depth,21035032938.596115,19,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T3_1,0.6698956349558873,<= 0,0.0,inf
9,8.0,5,branched,21035032899.9687,22,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3,0.46134984498887505,<= 0,0.0,inf
14,9.0,6,pruned_by_depth,21035032923.135323,21,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T4_2,0.4475622718993546,>= 1,1.0,inf
13,9.0,6,pruned_by_depth,21035032911.046,21,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T4_2,0.4475622718993546,<= 0,0.0,inf
7,6.0,4,branched,21035032899.9687,22,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_2,0.46134984498887505,<= 0,0.0,inf
16,7.0,5,branched,21035032899.9687,22,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3,0.46134984498887505,>= 1,1.0,inf
18,16.0,6,pruned_by_depth,21035032923.135323,21,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T4_2,0.4475622718993546,>= 1,1.0,inf
17,16.0,6,pruned_by_depth,21035032911.046,21,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T4_2,0.4475622718993546,<= 0,0.0,inf
