candidate_pairs_before_pruning,pairs_after_pruning,pairs_accepted_stackelberg,pairs_recovered_stackelberg_fallback,patterns_built_before_dedup,patterns_deduplicated_before_gnn,patterns_removed_by_product_period_cap,patterns_built_before_gnn,max_columns_per_product_period,active_product_period_count,patterns_kept_after_gnn,collect_teacher_mode,runtime_gnn_mode,episode,duplicate_id_rejects,duplicate_signature_rejects,empty_flow_rejects,patterns_added_to_pool,selected_patterns,objective,improvement
69,276,0,224,224,172,18,34,3,13,34,True,False,1,0,0,0,34,53,21035032292.3141,588281.6059417725
18,72,0,24,24,18,0,6,3,5,6,True,False,2,0,0,0,6,56,21035031892.69369,399.6204071044922
14,56,0,28,28,21,2,5,3,4,5,True,False,3,0,0,0,5,57,21035031892.3682,0.32549285888671875
14,56,0,8,0,0,0,0,3,4,0,True,False,4,0,0,0,0,57,21035031892.3682,0.0
9,36,0,8,0,0,0,0,3,4,0,True,False,1,0,0,0,0,57,21035032883.59741,0.0
12,48,0,8,0,0,0,0,3,4,0,True,False,1,0,0,0,0,57,21035032883.778873,0.0
12,48,0,12,4,3,0,1,3,4,1,True,False,1,1,0,0,0,57,21035032899.9687,0.0
12,48,0,12,4,3,0,1,3,4,1,True,False,1,1,0,0,0,57,21035032899.9687,0.0
17,68,0,12,4,3,0,1,3,4,1,True,False,1,1,0,0,0,57,21035032923.135323,0.0
12,48,0,12,4,3,0,1,3,4,1,True,False,1,1,0,0,0,57,21035032923.737484,0.0
12,48,0,12,4,3,0,1,3,4,1,True,False,1,1,0,0,0,58,21035032938.596115,0.0
17,68,0,12,4,3,0,1,3,4,1,True,False,1,1,0,0,0,57,21035032899.9687,0.0
17,68,0,12,4,3,0,1,3,4,1,True,False,1,1,0,0,0,57,21035032923.135323,0.0
17,68,0,12,4,3,0,1,3,4,1,True,False,1,1,0,0,0,59,21035032911.046,0.0
12,48,0,12,4,3,0,1,3,4,1,True,False,1,1,0,0,0,57,21035032899.9687,0.0
17,68,0,12,4,3,0,1,3,4,1,True,False,1,1,0,0,0,57,21035032899.9687,0.0
17,68,0,12,4,3,0,1,3,4,1,True,False,1,1,0,0,0,57,21035032923.135323,0.0
17,68,0,12,4,3,0,1,3,4,1,True,False,1,1,0,0,0,59,21035032911.046,0.0
