episode,total_cost,improvement,proposed_columns,added_columns,selected_patterns,branch_node_id,branch_depth,branch_sense_from_parent,branch_var_from_parent
0,21035620573.92004,0.0,0,0,48,0,0,root,
1,21035032292.3141,588281.6059417725,34,34,53,0,0,root,
2,21035031892.69369,399.6204071044922,6,6,56,0,0,root,
3,21035031892.3682,0.32549285888671875,5,5,57,0,0,root,
4,21035031892.3682,0.0,0,0,57,0,0,root,
0,21035032883.59741,0.0,0,0,57,2,1,>= 1,LT_OREO CHOCOLATE 110.4/105G_T6_3
1,21035032883.59741,0.0,0,0,57,2,1,>= 1,LT_OREO CHOCOLATE 110.4/105G_T6_3
0,21035032883.778873,0.0,0,0,57,4,2,>= 1,LT_OREO CHOCOLATE 110.4/105G_T2_5
1,21035032883.778873,0.0,0,0,57,4,2,>= 1,LT_OREO CHOCOLATE 110.4/105G_T2_5
0,21035032899.9687,0.0,0,0,57,6,3,>= 1,LT_OREO CHOCOLATE 110.4/105G_T2_1
1,21035032899.9687,0.0,1,0,57,6,3,>= 1,LT_OREO CHOCOLATE 110.4/105G_T2_1
0,21035032899.9687,0.0,0,0,57,8,4,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_1
1,21035032899.9687,0.0,1,0,57,8,4,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_1
0,21035032923.135323,0.0,0,0,57,10,5,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_2
1,21035032923.135323,0.0,1,0,57,10,5,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_2
0,21035032923.737484,0.0,0,0,57,12,6,>= 1,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T4_2
1,21035032923.737484,0.0,1,0,57,12,6,>= 1,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T4_2
0,21035032938.596115,0.0,0,0,58,11,6,<= 0,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T4_2
1,21035032938.596115,0.0,1,0,58,11,6,<= 0,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T4_2
0,21035032899.9687,0.0,0,0,57,9,5,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_2
1,21035032899.9687,0.0,1,0,57,9,5,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_2
0,21035032923.135323,0.0,0,0,57,14,6,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3
1,21035032923.135323,0.0,1,0,57,14,6,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3
0,21035032911.046,0.0,0,0,59,13,6,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3
1,21035032911.046,0.0,1,0,59,13,6,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3
0,21035032899.9687,0.0,0,0,57,7,4,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_1
1,21035032899.9687,0.0,1,0,57,7,4,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_1
0,21035032899.9687,0.0,0,0,57,16,5,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_2
1,21035032899.9687,0.0,1,0,57,16,5,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_2
0,21035032923.135323,0.0,0,0,57,18,6,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3
1,21035032923.135323,0.0,1,0,57,18,6,>= 1,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3
0,21035032911.046,0.0,0,0,59,17,6,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3
1,21035032911.046,0.0,1,0,59,17,6,<= 0,PRICED_E1_shortage_ratio_OREO VANILLA 110.4/105G_T2_3
