source,period,vehicle,from_store,to_store,sku,lt_qty,lt_unit_cost,lt_fixed_cost,lt_total_cost,pattern_id,lambda_value
CG_LT,1,,MM BIEN HOA,MM DA NANG,OREO CHOCOLATE 110.4/105G,9,0.6,2.0,7.344604,LT_OREO CHOCOLATE 110.4/105G_T1_3,1.0
CG_LT,2,,MM AN PHU,MM DA NANG,OREO CHOCOLATE 110.4/105G,7,0.6,2.0,6.199951,LT_OREO CHOCOLATE 110.4/105G_T2_1,1.0
CG_LT,2,,MM BIEN HOA,MM DA NANG,OREO CHOCOLATE 110.4/105G,9,0.6,2.0,7.406532,LT_OREO CHOCOLATE 110.4/105G_T2_1,1.0
CG_LT,2,,MM BINH DUONG,MM AN PHU,OREO CHOCOLATE 110.4/105G,7,0.6,2.0,6.298121,LT_OREO CHOCOLATE 110.4/105G_T2_1,1.0
CG_LT,2,,MM BINH PHU,MM DA NANG,OREO CHOCOLATE 110.4/105G,7,0.6,2.0,6.047108,LT_OREO CHOCOLATE 110.4/105G_T2_1,1.0
CG_LT,2,,MM AN PHU,MM DA NANG,OREO CHOCOLATE 110.4/105G,5,0.6,1.022018,3.962993,LT_OREO CHOCOLATE 110.4/105G_T2_5,0.511009
CG_LT,2,,MM BIEN HOA,MM DA NANG,OREO CHOCOLATE 110.4/105G,4,0.6,1.022018,3.533117,LT_OREO CHOCOLATE 110.4/105G_T2_5,0.511009
CG_LT,2,,MM BINH PHU,MM DA NANG,OREO CHOCOLATE 110.4/105G,4,0.6,1.022018,3.218754,LT_OREO CHOCOLATE 110.4/105G_T2_5,0.511009
CG_LT,3,,MM HIEP PHU,MM DA NANG,OREO CHOCOLATE 110.4/105G,7,0.6,1.425639,5.646156,LT_OREO CHOCOLATE 110.4/105G_T3_2,0.712819
CG_LT,3,,MM BINH PHU,MM AN PHU,OREO CHOCOLATE 110.4/105G,7,0.6,2.0,6.051291,LT_OREO CHOCOLATE 110.4/105G_T3_3,1.0
CG_LT,3,,MM BIEN HOA,MM DA NANG,OREO CHOCOLATE 110.4/105G,4,0.6,2.0,4.423711,LT_OREO CHOCOLATE 110.4/105G_T3_5,1.0
CG_LT,3,,MM BINH PHU,MM AN PHU,OREO CHOCOLATE 110.4/105G,4,0.6,2.0,4.589836,LT_OREO CHOCOLATE 110.4/105G_T3_5,1.0
CG_LT,3,,MM HIEP PHU,MM AN PHU,OREO CHOCOLATE 110.4/105G,2,0.6,2.0,3.245658,LT_OREO CHOCOLATE 110.4/105G_T3_5,1.0
CG_LT,3,,MM HIEP PHU,MM DA NANG,OREO CHOCOLATE 110.4/105G,6,0.6,2.0,5.488571,LT_OREO CHOCOLATE 110.4/105G_T3_5,1.0
CG_LT,4,,MM BIEN HOA,MM AN PHU,OREO CHOCOLATE 110.4/105G,3,0.6,0.634172,2.315937,LT_OREO CHOCOLATE 110.4/105G_T4_1,0.317086
CG_LT,4,,MM BIEN HOA,MM DA NANG,OREO CHOCOLATE 110.4/105G,2,0.6,0.634172,1.968981,LT_OREO CHOCOLATE 110.4/105G_T4_1,0.317086
CG_LT,4,,MM BINH PHU,MM DA NANG,OREO CHOCOLATE 110.4/105G,1,0.6,0.634172,1.323311,LT_OREO CHOCOLATE 110.4/105G_T4_1,0.317086
CG_LT,4,,MM HIEP PHU,MM DA NANG,OREO CHOCOLATE 110.4/105G,1,0.6,0.634172,1.288861,LT_OREO CHOCOLATE 110.4/105G_T4_1,0.317086
CG_LT,4,,MM BIEN HOA,MM DA NANG,OREO CHOCOLATE 110.4/105G,3,0.6,2.0,3.525808,LT_OREO CHOCOLATE 110.4/105G_T4_5,1.0
CG_LT,4,,MM BINH DUONG,MM AN PHU,OREO CHOCOLATE 110.4/105G,6,0.6,2.0,5.720899,LT_OREO CHOCOLATE 110.4/105G_T4_5,1.0
CG_LT,4,,MM BINH DUONG,MM DA NANG,OREO CHOCOLATE 110.4/105G,8,0.6,2.0,6.795554,LT_OREO CHOCOLATE 110.4/105G_T4_5,1.0
CG_LT,4,,MM BINH PHU,MM AN PHU,OREO CHOCOLATE 110.4/105G,8,0.6,2.0,7.096996,LT_OREO CHOCOLATE 110.4/105G_T4_5,1.0
CG_LT,5,,MM BIEN HOA,MM AN PHU,OREO CHOCOLATE 110.4/105G,9,0.6,2.0,7.698794,LT_OREO CHOCOLATE 110.4/105G_T5_3,1.0
CG_LT,5,,MM BIEN HOA,MM BINH PHU,OREO CHOCOLATE 110.4/105G,3,0.6,1.810735,3.821345,LT_OREO CHOCOLATE 110.4/105G_T5_4,0.905367
CG_LT,5,,MM BIEN HOA,MM DA NANG,OREO CHOCOLATE 110.4/105G,4,0.6,1.810735,4.036026,LT_OREO CHOCOLATE 110.4/105G_T5_4,0.905367
CG_LT,5,,MM BINH DUONG,MM AN PHU,OREO CHOCOLATE 110.4/105G,8,0.6,1.810735,6.464855,LT_OREO CHOCOLATE 110.4/105G_T5_4,0.905367
CG_LT,5,,MM BIEN HOA,MM DA NANG,OREO CHOCOLATE 110.4/105G,0,0.6,0.183986,0.260423,LT_OREO CHOCOLATE 110.4/105G_T5_5,0.091993
CG_LT,5,,MM BINH PHU,MM AN PHU,OREO CHOCOLATE 110.4/105G,0,0.6,0.183986,0.476296,LT_OREO CHOCOLATE 110.4/105G_T5_5,0.091993
CG_LT,6,,MM BIEN HOA,MM BINH PHU,OREO CHOCOLATE 110.4/105G,3,0.6,1.00886,2.749234,LT_OREO CHOCOLATE 110.4/105G_T6_3,0.50443
CG_LT,6,,MM BINH DUONG,MM AN PHU,OREO CHOCOLATE 110.4/105G,1,0.6,1.00886,1.592704,LT_OREO CHOCOLATE 110.4/105G_T6_3,0.50443
CG_LT,6,,MM BINH DUONG,MM DA NANG,OREO CHOCOLATE 110.4/105G,3,0.6,1.00886,2.980906,LT_OREO CHOCOLATE 110.4/105G_T6_3,0.50443
CG_LT,6,,MM DA NANG,MM AN PHU,OREO CHOCOLATE 110.4/105G,1,0.6,1.00886,1.447192,LT_OREO CHOCOLATE 110.4/105G_T6_3,0.50443
CG_LT,6,,MM BIEN HOA,MM DA NANG,OREO CHOCOLATE 110.4/105G,8,0.6,2.0,6.71316,LT_OREO CHOCOLATE 110.4/105G_T6_4,1.0
CG_LT,6,,MM BINH DUONG,MM AN PHU,OREO CHOCOLATE 110.4/105G,5,0.6,2.0,4.954463,LT_OREO CHOCOLATE 110.4/105G_T6_4,1.0
CG_LT,6,,MM DA NANG,MM AN PHU,OREO CHOCOLATE 110.4/105G,2,0.6,2.0,3.027759,LT_OREO CHOCOLATE 110.4/105G_T6_4,1.0
CG_LT,6,,MM HIEP PHU,MM AN PHU,OREO CHOCOLATE 110.4/105G,5,0.6,2.0,5.263382,LT_OREO CHOCOLATE 110.4/105G_T6_4,1.0
CG_LT,6,,MM BIEN HOA,MM AN PHU,OREO CHOCOLATE 110.4/105G,0,0.6,0.372135,0.525816,LT_OREO CHOCOLATE 110.4/105G_T6_5,0.186067
CG_LT,6,,MM BINH DUONG,MM BINH PHU,OREO CHOCOLATE 110.4/105G,1,0.6,0.372135,1.143115,LT_OREO CHOCOLATE 110.4/105G_T6_5,0.186067
CG_LT,6,,MM BINH DUONG,MM DA NANG,OREO CHOCOLATE 110.4/105G,2,0.6,0.372135,1.376552,LT_OREO CHOCOLATE 110.4/105G_T6_5,0.186067
CG_LT,6,,MM DA NANG,MM AN PHU,OREO CHOCOLATE 110.4/105G,0,0.6,0.372135,0.605894,LT_OREO CHOCOLATE 110.4/105G_T6_5,0.186067
CG_LT,7,,MM BIEN HOA,MM AN PHU,OREO CHOCOLATE 110.4/105G,9,0.6,2.0,7.289578,LT_OREO CHOCOLATE 110.4/105G_T7_2,1.0
CG_LT,7,,MM BIEN HOA,MM DA NANG,OREO CHOCOLATE 110.4/105G,4,0.6,2.0,4.148643,LT_OREO CHOCOLATE 110.4/105G_T7_2,1.0
CG_LT,7,,MM HIEP PHU,MM AN PHU,OREO CHOCOLATE 110.4/105G,2,0.6,2.0,3.016171,LT_OREO CHOCOLATE 110.4/105G_T7_2,1.0
CG_LT,7,,MM HIEP PHU,MM BINH PHU,OREO CHOCOLATE 110.4/105G,8,0.6,2.0,6.939843,LT_OREO CHOCOLATE 110.4/105G_T7_2,1.0
CG_LT,7,,MM BIEN HOA,MM AN PHU,OREO CHOCOLATE 110.4/105G,9,0.6,2.0,7.657735,LT_OREO CHOCOLATE 110.4/105G_T7_3,1.0
CG_LT,7,,MM BIEN HOA,MM BINH PHU,OREO CHOCOLATE 110.4/105G,3,0.6,2.0,3.624193,LT_OREO CHOCOLATE 110.4/105G_T7_3,1.0
CG_LT,7,,MM BINH DUONG,MM DA NANG,OREO CHOCOLATE 110.4/105G,4,0.6,2.0,4.159286,LT_OREO CHOCOLATE 110.4/105G_T7_3,1.0
CG_LT,7,,MM HIEP PHU,MM DA NANG,OREO CHOCOLATE 110.4/105G,6,0.6,2.0,5.41271,LT_OREO CHOCOLATE 110.4/105G_T7_3,1.0
CG_LT,7,,MM BIEN HOA,MM AN PHU,OREO CHOCOLATE 110.4/105G,2,0.6,1.415866,2.322865,LT_OREO CHOCOLATE 110.4/105G_T7_4,0.707933
CG_LT,7,,MM BINH DUONG,MM AN PHU,OREO CHOCOLATE 110.4/105G,4,0.6,1.415866,3.657102,LT_OREO CHOCOLATE 110.4/105G_T7_4,0.707933
CG_LT,7,,MM HIEP PHU,MM BINH PHU,OREO CHOCOLATE 110.4/105G,2,0.6,1.415866,2.451589,LT_OREO CHOCOLATE 110.4/105G_T7_4,0.707933
CG_LT,7,,MM HIEP PHU,MM DA NANG,OREO CHOCOLATE 110.4/105G,6,0.6,1.415866,5.095227,LT_OREO CHOCOLATE 110.4/105G_T7_4,0.707933
CG_LT,7,,MM BIEN HOA,MM AN PHU,OREO CHOCOLATE 110.4/105G,4,0.6,1.749335,4.435504,LT_OREO CHOCOLATE 110.4/105G_T7_5,0.874668
CG_LT,7,,MM BIEN HOA,MM BINH PHU,OREO CHOCOLATE 110.4/105G,7,0.6,1.749335,6.207872,LT_OREO CHOCOLATE 110.4/105G_T7_5,0.874668
CG_LT,4,,MM BINH PHU,MM AN PHU,OREO VANILLA 110.4/105G,10,0.6,2.0,7.999532,LT_OREO VANILLA 110.4/105G_T4_1,1.0
CG_LT,4,,MM DA NANG,MM AN PHU,OREO VANILLA 110.4/105G,2,0.6,2.0,3.144392,LT_OREO VANILLA 110.4/105G_T4_1,1.0
CG_LT,4,,MM BINH DUONG,MM AN PHU,OREO VANILLA 110.4/105G,3,0.6,2.0,3.961188,LT_OREO VANILLA 110.4/105G_T4_2,1.0
CG_LT,4,,MM DA NANG,MM BIEN HOA,OREO VANILLA 110.4/105G,2,0.6,2.0,3.100936,LT_OREO VANILLA 110.4/105G_T4_2,1.0
CG_LT,4,,MM BINH DUONG,MM BIEN HOA,OREO VANILLA 110.4/105G,7,0.6,2.0,5.944316,LT_OREO VANILLA 110.4/105G_T4_3,1.0
CG_LT,4,,MM DA NANG,MM AN PHU,OREO VANILLA 110.4/105G,10,0.6,2.0,7.76643,LT_OREO VANILLA 110.4/105G_T4_3,1.0
CG_LT,4,,MM HIEP PHU,MM AN PHU,OREO VANILLA 110.4/105G,9,0.6,2.0,7.129555,LT_OREO VANILLA 110.4/105G_T4_3,1.0
CG_LT,4,,MM HIEP PHU,MM BIEN HOA,OREO VANILLA 110.4/105G,1,0.6,2.0,2.628894,LT_OREO VANILLA 110.4/105G_T4_3,1.0
CG_LT,4,,MM BINH DUONG,MM AN PHU,OREO VANILLA 110.4/105G,2,0.6,2.0,3.300069,LT_OREO VANILLA 110.4/105G_T4_4,1.0
CG_LT,4,,MM BINH DUONG,MM BIEN HOA,OREO VANILLA 110.4/105G,8,0.6,2.0,6.961432,LT_OREO VANILLA 110.4/105G_T4_4,1.0
CG_LT,4,,MM BINH PHU,MM AN PHU,OREO VANILLA 110.4/105G,3,0.6,2.0,3.732142,LT_OREO VANILLA 110.4/105G_T4_4,1.0
CG_LT,4,,MM DA NANG,MM AN PHU,OREO VANILLA 110.4/105G,9,0.6,2.0,7.545125,LT_OREO VANILLA 110.4/105G_T4_4,1.0
CG_LT,4,,MM BINH PHU,MM AN PHU,OREO VANILLA 110.4/105G,9,0.6,2.0,7.318019,LT_OREO VANILLA 110.4/105G_T4_5,1.0
CG_LT,6,,MM HIEP PHU,MM AN PHU,OREO VANILLA 110.4/105G,10,0.6,2.0,7.953167,LT_OREO VANILLA 110.4/105G_T6_2,1.0
CG_LT,7,,MM HIEP PHU,MM BIEN HOA,OREO VANILLA 110.4/105G,0,0.6,0.035889,0.113601,LT_OREO VANILLA 110.4/105G_T7_1,0.017945
CG_LT,7,,MM DA NANG,MM AN PHU,OREO VANILLA 110.4/105G,7,0.6,2.0,6.364955,LT_OREO VANILLA 110.4/105G_T7_4,1.0
CG_LT,7,,MM DA NANG,MM BIEN HOA,OREO VANILLA 110.4/105G,9,0.6,2.0,7.269868,LT_OREO VANILLA 110.4/105G_T7_4,1.0
CG_LT,7,,MM HIEP PHU,MM AN PHU,OREO VANILLA 110.4/105G,5,0.6,2.0,4.994418,LT_OREO VANILLA 110.4/105G_T7_4,1.0
CG_LT,7,,MM HIEP PHU,MM BIEN HOA,OREO VANILLA 110.4/105G,10,0.6,2.0,7.893614,LT_OREO VANILLA 110.4/105G_T7_4,1.0
CG_LT,7,,MM BINH PHU,MM AN PHU,OREO VANILLA 110.4/105G,0,0.6,0.094357,0.234378,LT_OREO VANILLA 110.4/105G_T7_5,0.047179
CG_LT,7,,MM BINH PHU,MM BIEN HOA,OREO VANILLA 110.4/105G,0,0.6,0.094357,0.119905,LT_OREO VANILLA 110.4/105G_T7_5,0.047179
CG_LT,7,,MM DA NANG,MM AN PHU,OREO VANILLA 110.4/105G,0,0.6,0.094357,0.299774,LT_OREO VANILLA 110.4/105G_T7_5,0.047179
