source_instance,branch_node_id,episode,column_index,pattern_id,product,period,pattern_flows_json,column_features_json,constraint_features_json,constraint_state_hash,edge_constraint_indices_json,edge_attrs_json,gnn_prob,combined_score,normalized_rc_gain,reduced_cost,mean_acceptance_score,selected_by_gnn,selected_by_classical_fallback,passed_to_rmp,adaptive_k_star,selection_mode,full_negative_reduced_cost_columns,classical_fallback_enabled,classical_fallback_used,label_source,selected_in_rmp,lambda_value,teacher_label,teacher_score,cg_objective_after_reopt,cg_objective_improvement
base_c__normal_global__seed53710185,0,1,0,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T1_1,OREO CHOCOLATE 110.4/105G,1,"[{""donor"": ""MM AN PHU"", ""receiver"": ""MM DA NANG"", ""quantity"": 5.852326966089038}]","[-0.3409307897090912, 5.8523268699646, 1.0, 5.8523268699646, 5.8523268699646, 1.0, 0.11423710733652115, 0.561099648475647, 0.3409307897090912, 0.10000000149011612, 5.878259181976318, 5.5113959312438965]","[[1.0, 5.8523268699646, 5.8523268699646, 0.0, 1.0, 1.0, 0.0], [0.0, 24.799999237060547, 5.8523268699646, 18.947673797607422, 0.03875968977808952, 0.0, 1.0], [0.0, 38.692325592041016, 5.8523268699646, 32.84000015258789, 0.02519378624856472, 0.0, 1.0], [0.0, 24.399999618530273, 5.8523268699646, 18.547672271728516, 0.03937007859349251, 0.0, 1.0], [1.0, 190.68800354003906, 139.93800354003906, 50.74999237060547, 1.0, 1.0, 0.0], [0.0, 59.50400161743164, 59.50400161743164, 0.0, 0.01652783341705799, 0.0, 1.0], [0.0, 35.79359436035156, 35.79359436035156, 0.0, 0.02717864327132702, 0.0, 1.0], [0.0, 31.403947830200195, 31.403947830200195, 0.0, 0.03086043708026409, 0.0, 1.0], [0.0, 13.236465454101562, 13.236465454101562, 0.0, 0.07024215906858444, 0.0, 1.0], [820.0, 267.0873718261719, 98.03135681152344, 169.05599975585938, 1.0, 1.0, 0.0], [0.0, 43.939422607421875, 43.939422607421875, 0.0, 0.022252177819609642, 0.0, 1.0], [0.0, 27.560482025146484, 27.560482025146484, 0.0, 0.03501341491937637, 0.0, 1.0], [0.0, 23.399999618530273, 23.399999618530273, 0.0, 0.04098360612988472, 0.0, 1.0], [0.0, 3.1314549446105957, 3.1314549446105957, 0.0, 0.24204547703266144, 0.0, 1.0], [820.0, 47.865360260009766, 47.865360260009766, 0.0, 1.0, 1.0, 0.0], [0.0, 28.55388641357422, 28.55388641357422, 0.0, 0.033836498856544495, 0.0, 1.0], [0.0, 21.689268112182617, 21.689268112182617, 0.0, 0.04407370090484619, 0.0, 1.0], [0.0, 4.9747514724731445, 4.9747514724731445, 0.0, 0.1673709750175476, 0.0, 1.0], [820.0, 490.49298095703125, 158.29869079589844, 332.1943054199219, 1.0, 1.0, 0.0], [0.0, 30.2933406829834, 30.2933406829834, 0.0, 0.03195568174123764, 0.0, 1.0], [0.0, 19.821155548095703, 19.821155548095703, 0.0, 0.04802807420492172, 0.0, 1.0], [0.0, 4.832353115081787, 4.832353115081787, 0.0, 0.17145738005638123, 0.0, 1.0], [-202.06719970703125, 5.058145523071289, 5.058145523071289, 0.0, 0.16506701707839966, 0.0, 1.0], [1.0, 5.800000190734863, 5.800000190734863, 0.0, 1.0, 1.0, 0.0], [820.0, 522.2185668945312, 157.9615478515625, 364.2570495605469, 1.0, 1.0, 0.0], [0.0, 32.686790466308594, 32.686790466308594, 0.0, 0.02968522720038891, 0.0, 1.0], [0.0, 27.12249755859375, 27.12249755859375, 0.0, 0.03555871918797493, 0.0, 1.0], [0.0, 3.9710710048675537, 3.9710710048675537, 0.0, 0.2011638879776001, 0.0, 1.0], [1.0, 16.68976402282715, 16.68976402282715, 0.0, 1.0, 1.0, 0.0], [820.0, 2.540426731109619, 2.540426731109619, 0.0, 1.0, 1.0, 0.0], [0.0, 6.524713516235352, 2.540426731109619, 3.9842865467071533, 0.13289542496204376, 0.0, 1.0], [0.0, 12.212872505187988, 2.540426731109619, 9.672446250915527, 0.07568377256393433, 0.0, 1.0], [1.0, 68.34777069091797, 68.34777069091797, 0.0, 1.0, 1.0, 0.0], [0.0, 106.11111450195312, 68.34777069091797, 37.76334762573242, 0.009336099028587341, 0.0, 1.0], [0.0, 269.8598327636719, 68.34777069091797, 201.51206970214844, 0.0036919463891535997, 0.0, 1.0], [0.0, 121.01683044433594, 68.34777069091797, 52.66905975341797, 0.008195591159164906, 0.0, 1.0], [1.0, 111.14945983886719, 111.14945983886719, 0.0, 1.0, 1.0, 0.0], [0.0, 267.4717712402344, 111.14945983886719, 156.3223114013672, 0.0037247862201184034, 0.0, 1.0], [0.0, 113.98715209960938, 111.14945983886719, 2.837693929672241, 0.008696623146533966, 0.0, 1.0], [0.0, 72.76712036132812, 72.76712036132812, 0.0, 0.01355617493391037, 0.0, 1.0], [0.0, 38.60329055786133, 38.38233947753906, 0.2209506332874298, 0.025250427424907684, 0.0, 1.0], [820.0, 306.305908203125, 306.305908203125, 0.0, 1.0, 1.0, 0.0], [0.0, 256.4692077636719, 256.4692077636719, 0.0, 0.003883959725499153, 0.0, 1.0], [0.0, 105.402587890625, 105.402587890625, 0.0, 0.009398267604410648, 0.0, 1.0], [0.0, 5.199999809265137, 5.199999809265137, 0.0, 0.16129031777381897, 0.0, 1.0], [0.0, 11.050512313842773, 11.050512313842773, 0.0, 0.08298402279615402, 0.0, 1.0], [820.0, 125.678955078125, 125.678955078125, 0.0, 1.0, 1.0, 0.0], [0.0, 95.63970947265625, 95.63970947265625, 0.0, 0.01034771278500557, 0.0, 1.0], [0.0, 39.28693389892578, 39.28693389892578, 0.0, 0.024821942672133446, 0.0, 1.0], [0.0, 4.2227959632873535, 4.2227959632873535, 0.0, 0.19146832823753357, 0.0, 1.0], [0.0, 8.9237699508667, 8.9237699508667, 0.0, 0.10076815634965897, 0.0, 1.0], [0.9865818619728088, 7.433661937713623, 7.433661937713623, 0.0, 1.0, 1.0, 0.0], [0.0, 16.0, 7.433661937713623, 8.566337585449219, 0.05882352963089943, 0.0, 1.0], [0.0, 32.8409423828125, 7.433661937713623, 25.40727996826172, 0.02955000475049019, 0.0, 1.0], [0.0, 22.755752563476562, 7.433661937713623, 15.322091102600098, 0.042095065116882324, 0.0, 1.0], [820.0, 15.420699119567871, 15.420699119567871, 0.0, 1.0, 1.0, 0.0], [0.0, 55.31062316894531, 42.70921325683594, 12.601408004760742, 0.01775863952934742, 0.0, 1.0], [1.0, 5.933907508850098, 5.933907508850098, 0.0, 1.0, 1.0, 0.0], [0.0, 89.0119857788086, 21.35460662841797, 67.65737915039062, 0.011109631508588791, 0.0, 1.0]]",e5b85ca51003,"[0, 1]","[[5.8523268699646, 1.0, 5.8523268699646], [5.8523268699646, 0.23598092794418335, 0.0]]",0.0,0.010000407514743343,1.3583824778003814e-06,-0.340931,0.1,False,False,True,34,teacher_full_batch_no_gnn_prefilter,34,False,False,teacher_rmp,False,0.0,0,0.0,21035032292.3141,588281.6059417725
base_c__normal_global__seed53710185,0,1,1,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T1_2,OREO CHOCOLATE 110.4/105G,1,"[{""donor"": ""MM BIEN HOA"", ""receiver"": ""MM DA NANG"", ""quantity"": 5.852326966089038}]","[-0.3409307897090912, 5.8523268699646, 1.0, 5.8523268699646, 5.8523268699646, 1.0, 0.17822982370853424, 0.561099648475647, 0.3409307897090912, 0.10000000149011612, 5.878259181976318, 5.5113959312438965]",,e5b85ca51003,"[0, 2]","[[5.8523268699646, 1.0, 5.8523268699646], [5.8523268699646, 0.15125291049480438, 0.0]]",0.0,0.010000407514743343,1.3583824778003814e-06,-0.340931,0.1,False,False,True,34,teacher_full_batch_no_gnn_prefilter,34,False,False,teacher_rmp,False,0.0,0,0.0,21035032292.3141,588281.6059417725
base_c__normal_global__seed53710185,0,1,2,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T1_3,OREO CHOCOLATE 110.4/105G,1,"[{""donor"": ""MM BINH DUONG"", ""receiver"": ""MM DA NANG"", ""quantity"": 5.852326966089038}]","[-0.3409307897090912, 5.8523268699646, 1.0, 5.8523268699646, 5.8523268699646, 1.0, 0.11239457875490189, 0.561099648475647, 0.3409307897090912, 0.10000000149011612, 5.878259181976318, 5.5113959312438965]",,e5b85ca51003,"[0, 3]","[[5.8523268699646, 1.0, 5.8523268699646], [5.8523268699646, 0.23984946310520172, 0.0]]",0.0,0.010000407514743343,1.3583824778003814e-06,-0.340931,0.1,False,False,True,34,teacher_full_batch_no_gnn_prefilter,34,False,False,teacher_rmp,True,1.0,1,0.340931,21035032292.3141,588281.6059417725
base_c__normal_global__seed53710185,0,1,3,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T2_1,OREO CHOCOLATE 110.4/105G,2,"[{""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 59.504000000000005}, {""donor"": ""MM BINH PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 35.79359497810697}, {""donor"": ""MM BIEN HOA"", ""receiver"": ""MM AN PHU"", ""quantity"": 31.403948228210332}, {""donor"": ""MM BINH DUONG"", ""receiver"": ""MM AN PHU"", ""quantity"": 13.236465032050948}]","[-53.97520446777344, 139.93800354003906, 4.0, 139.93800354003906, 139.93800354003906, 1.0, 0.22142089903354645, 1.0, 13.49380111694336, 0.10000000149011612, 25.154499053955078, 91.96280670166016]",,e5b85ca51003,"[4, 5, 4, 6, 4, 7, 4, 8]","[[59.50400161743164, 0.312049001455307, 59.50400161743164], [59.50400161743164, 1.0, 0.0], [35.79359436035156, 0.18770764768123627, 35.79359436035156], [35.79359436035156, 1.0, 0.0], [31.403947830200195, 0.16468758881092072, 31.403947830200195], [31.403947830200195, 1.0, 0.0], [13.236465454101562, 0.06941425055265427, 13.236465454101562], [13.236465454101562, 1.0, 0.0]]",0.0,0.010057344748753371,0.0001911491625112304,-47.975203,0.1,False,False,True,34,teacher_full_batch_no_gnn_prefilter,34,False,False,teacher_rmp,True,1.0,1,47.975203,21035032292.3141,588281.6059417725
base_c__normal_global__seed53710185,0,1,4,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T3_1,OREO CHOCOLATE 110.4/105G,3,"[{""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 43.93942279007565}, {""donor"": ""MM BIEN HOA"", ""receiver"": ""MM AN PHU"", ""quantity"": 27.56048114706627}, {""donor"": ""MM BINH DUONG"", ""receiver"": ""MM AN PHU"", ""quantity"": 23.400000000000002}, {""donor"": ""MM BINH PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 3.131454890497144}]","[-80324.8984375, 98.03135681152344, 4.0, 98.03135681152344, 98.03135681152344, 1.0, 0.25, 1.0, 20081.224609375, 0.10000000149011612, 18.819629669189453, 66.81881713867188]",,e5b85ca51003,"[9, 10, 9, 11, 9, 12, 9, 13]","[[43.939422607421875, 0.16451330482959747, 36030.328125], [43.939422607421875, 1.0, 0.0], [27.560482025146484, 0.10318901389837265, 22599.59375], [27.560482025146484, 1.0, 0.0], [23.399999618530273, 0.08761178702116013, 19188.0], [23.399999618530273, 1.0, 0.0], [3.1314549446105957, 0.011724459007382393, 2567.79296875], [3.1314549446105957, 1.0, 0.0]]",0.0,0.10600515662601914,0.3200171887533972,-80318.895423,0.1,False,False,True,34,teacher_full_batch_no_gnn_prefilter,34,False,False,teacher_rmp,True,1.0,1,80318.895423,21035032292.3141,588281.6059417725
base_c__normal_global__seed53710185,0,1,5,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T4_1,OREO CHOCOLATE 110.4/105G,4,"[{""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 28.553885949004716}, {""donor"": ""MM BIEN HOA"", ""receiver"": ""MM AN PHU"", ""quantity"": 19.311475134588164}]","[-39218.875, 47.865360260009766, 2.0, 47.865360260009766, 47.865360260009766, 1.0, 0.45495346188545227, 0.7795134782791138, 19609.4375, 0.10000000149011612, 15.161821365356445, 32.719215393066406]",,e5b85ca51003,"[14, 15, 14, 16]","[[28.55388641357422, 0.596545934677124, 23414.185546875], [28.55388641357422, 1.0, 0.0], [19.31147575378418, 0.403454065322876, 15835.4091796875], [19.31147575378418, 0.8903701305389404, 0.0]]",0.0,0.05687592361238476,0.15625307870794922,-39216.876872,0.1,False,False,True,34,teacher_full_batch_no_gnn_prefilter,34,False,False,teacher_rmp,True,0.8683907521748001,1,34055.573204822605,21035032292.3141,588281.6059417725
base_c__normal_global__seed53710185,0,1,6,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T4_2,OREO CHOCOLATE 110.4/105G,4,"[{""donor"": ""MM BIEN HOA"", ""receiver"": ""MM AN PHU"", ""quantity"": 21.689267192616786}, {""donor"": ""MM BINH PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 4.974751464322781}, {""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 21.201342426653312}]","[-39218.875, 47.865360260009766, 3.0, 47.865360260009766, 47.865360260009766, 1.0, 0.3333333432674408, 0.7795134782791138, 13072.958984375, 0.10000000149011612, 15.161821365356445, 34.719215393066406]",,e5b85ca51003,"[14, 16, 14, 17, 14, 15]","[[21.689268112182617, 0.4531307518482208, 17785.19921875], [21.689268112182617, 1.0, 0.0], [4.9747514724731445, 0.10393217951059341, 4079.296142578125], [4.9747514724731445, 1.0, 0.0], [21.20134162902832, 0.44293707609176636, 17385.1015625], [21.20134162902832, 0.7425028681755066, 0.0]]",0.0,0.0568735330128597,0.15624511004286568,-39214.876872,0.1,False,False,True,34,teacher_full_batch_no_gnn_prefilter,34,False,False,teacher_rmp,True,0.4475622718993546,1,17551.099385085778,21035032292.3141,588281.6059417725
base_c__normal_global__seed53710185,0,1,7,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T4_3,OREO CHOCOLATE 110.4/105G,4,"[{""donor"": ""MM BINH PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 4.974751464322781}, {""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 28.553885949004716}, {""donor"": ""MM BIEN HOA"", ""receiver"": ""MM AN PHU"", ""quantity"": 14.336723670265386}]","[-39218.875, 47.865360260009766, 3.0, 47.865360260009766, 47.865360260009766, 1.0, 0.3333333432674408, 0.7795134782791138, 13072.958984375, 0.10000000149011612, 15.161821365356445, 34.719215393066406]",,e5b85ca51003,"[14, 17, 14, 15, 14, 16]","[[4.9747514724731445, 0.10393217951059341, 4079.296142578125], [4.9747514724731445, 1.0, 0.0], [28.55388641357422, 0.596545934677124, 23414.185546875], [28.55388641357422, 1.0, 0.0], [14.336723327636719, 0.29952189326286316, 11756.11328125], [14.336723327636719, 0.661005437374115, 0.0]]",0.0,0.0568735330128597,0.15624511004286568,-39214.876872,0.1,False,False,True,34,teacher_full_batch_no_gnn_prefilter,34,False,False,teacher_rmp,False,0.0,0,0.0,21035032292.3141,588281.6059417725
base_c__normal_global__seed53710185,0,1,8,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T5_1,OREO CHOCOLATE 110.4/105G,5,"[{""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 30.293339978725903}, {""donor"": ""MM BIEN HOA"", ""receiver"": ""MM AN PHU"", ""quantity"": 19.82115614861222}, {""donor"": ""MM BINH DUONG"", ""receiver"": ""MM AN PHU"", ""quantity"": 4.832352960459929}, {""donor"": ""MM BINH PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 5.05814564988062}]","[-48144.0078125, 60.0049934387207, 4.0, 60.0049934387207, 60.0049934387207, 0.9883133769035339, 0.25, 1.0, 12036.001953125, 0.10000000149011612, 11.699237823486328, 44.00299835205078]",,e5b85ca51003,"[18, 19, 18, 20, 18, 21, 18, 22]","[[30.2933406829834, 0.061761002987623215, 24840.5390625], [30.2933406829834, 1.0, 0.0], [19.821155548095703, 0.04041068255901337, 16253.34765625], [19.821155548095703, 1.0, 0.0], [4.832353115081787, 0.00985203217715025, 3962.529541015625], [4.832353115081787, 1.0, 0.0], [5.058145523071289, 0.010312370955944061, 4147.67919921875], [5.058145523071289, 1.0, -1022.0853881835938]]",0.0,0.06753934872199036,0.19179782907330117,-48138.007323,0.1,False,False,True,34,teacher_full_batch_no_gnn_prefilter,34,False,False,teacher_rmp,True,1.0,1,48138.007323,21035032292.3141,588281.6059417725
base_c__normal_global__seed53710185,0,1,9,PRICED_E1_shortage_ratio_OREO CHOCOLATE 110.4/105G_T5_5,OREO CHOCOLATE 110.4/105G,5,"[{""donor"": ""MM BIEN HOA"", ""receiver"": ""MM BINH PHU"", ""quantity"": 5.799999999999997}, {""donor"": ""MM HIEP PHU"", ""receiver"": ""MM AN PHU"", ""quantity"": 30.293339978725903}, {""donor"": ""MM BIEN HOA"", ""receiver"": ""MM AN PHU"", ""quantity"": 14.021156148612224}, {""donor"": ""MM BINH DUONG"", ""receiver"": ""MM AN PHU"", ""quantity"": 4.832352960459929}]","[-40271.25, 54.94684982299805, 4.0, 54.94684982299805, 54.94684982299805, 0.7441566586494446, 0.3115074336528778, 1.0, 10067.8125, 0.10000000149011612, 11.699237823486328, 40.968109130859375]",,e5b85ca51003,"[23, 20, 18, 19, 18, 20, 18, 21]","[[5.800000190734863, 1.0, 5.800000190734863], [5.800000190734863, 0.2926166355609894, 0.0], [30.2933406829834, 0.061761002987623215, 24840.5390625], [30.2933406829834, 1.0, 0.0], [14.021156311035156, 0.02858584374189377, 11497.34765625], [14.021156311035156, 0.707383394241333, 0.0], [4.832353115081787, 0.00985203217715025, 3962.529541015625], [4.832353115081787, 1.0, 0.0]]",0.0,0.05812904154365741,0.16043013847885804,-40265.248143,0.1,False,False,True,34,teacher_full_batch_no_gnn_prefilter,34,False,False,teacher_rmp,True,0.11870585309734076,1,4779.720630990931,21035032292.3141,588281.6059417725
